VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Sword+0
11	Sword+1
12	Sword+2
13	Sword+3
14	Sword+4
15	Sword+5
16	Sword+6
17	Sword+7
18	Sword+8
19	Sword+9
20	Long Sword+0
21	Long Sword+1
22	Long Sword+2
23	Long Sword+3
24	Long Sword+4
25	Long Sword+5
26	Long Sword+6
27	Long Sword+7
28	Long Sword+8
29	Long Sword+9
30	Crescent Sword+0
31	Crescent Sword+1
32	Crescent Sword+2
33	Crescent Sword+3
34	Crescent Sword+4
35	Crescent Sword+5
36	Crescent Sword+6
37	Crescent Sword+7
38	Crescent Sword+8
39	Crescent Sword+9
40	Bamboo Sword+0
41	Bamboo Sword+1
42	Bamboo Sword+2
43	Bamboo Sword+3
44	Bamboo Sword+4
45	Bamboo Sword+5
46	Bamboo Sword+6
47	Bamboo Sword+7
48	Bamboo Sword+8
49	Bamboo Sword+9
50	Broad Sword+0
51	Broad Sword+1
52	Broad Sword+2
53	Broad Sword+3
54	Broad Sword+4
55	Broad Sword+5
56	Broad Sword+6
57	Broad Sword+7
58	Broad Sword+8
59	Broad Sword+9
60	Silver Sword+0
61	Silver Sword+1
62	Silver Sword+2
63	Silver Sword+3
64	Silver Sword+4
65	Silver Sword+5
66	Silver Sword+6
67	Silver Sword+7
68	Silver Sword+8
69	Silver Sword+9
70	Orchid Sword+0
71	Orchid Sword+1
72	Orchid Sword+2
73	Orchid Sword+3
74	Orchid Sword+4
75	Orchid Sword+5
76	Orchid Sword+6
77	Orchid Sword+7
78	Orchid Sword+8
79	Orchid Sword+9
80	Bastard Sword+0
81	Bastard Sword+1
82	Bastard Sword+2
83	Bastard Sword+3
84	Bastard Sword+4
85	Bastard Sword+5
86	Bastard Sword+6
87	Bastard Sword+7
88	Bastard Sword+8
89	Bastard Sword+9
90	Barbarian Sword+0
91	Barbarian Sword+1
92	Barbarian Sword+2
93	Barbarian Sword+3
94	Barbarian Sword+4
95	Barbarian Sword+5
96	Barbarian Sword+6
97	Barbarian Sword+7
98	Barbarian Sword+8
99	Barbarian Sword+9
100	Bloody Sword+0
101	Bloody Sword+1
102	Bloody Sword+2
103	Bloody Sword+3
104	Bloody Sword+4
105	Bloody Sword+5
106	Bloody Sword+6
107	Bloody Sword+7
108	Bloody Sword+8
109	Bloody Sword+9
110	Great Sword+0
111	Great Sword+1
112	Great Sword+2
113	Great Sword+3
114	Great Sword+4
115	Great Sword+5
116	Great Sword+6
117	Great Sword+7
118	Great Sword+8
119	Great Sword+9
120	Flying Wizard Sword+0
121	Flying Wizard Sword+1
122	Flying Wizard Sword+2
123	Flying Wizard Sword+3
124	Flying Wizard Sword+4
125	Flying Wizard Sword+5
126	Flying Wizard Sword+6
127	Flying Wizard Sword+7
128	Flying Wizard Sword+8
129	Flying Wizard Sword+9
130	Half Moon Sword+0
131	Half Moon Sword+1
132	Half Moon Sword+2
133	Half Moon Sword+3
134	Half Moon Sword+4
135	Half Moon Sword+5
136	Half Moon Sword+6
137	Half Moon Sword+7
138	Half Moon Sword+8
139	Half Moon Sword+9
140	Battle Sword+0
141	Battle Sword+1
142	Battle Sword+2
143	Battle Sword+3
144	Battle Sword+4
145	Battle Sword+5
146	Battle Sword+6
147	Battle Sword+7
148	Battle Sword+8
149	Battle Sword+9
150	Ghost Fang Blade+0
151	Ghost Fang Blade+1
152	Ghost Fang Blade+2
153	Ghost Fang Blade+3
154	Ghost Fang Blade+4
155	Ghost Fang Blade+5
156	Ghost Fang Blade+6
157	Ghost Fang Blade+7
158	Ghost Fang Blade+8
159	Ghost Fang Blade+9
160	Nymph Sword+0
161	Nymph Sword+1
162	Nymph Sword+2
163	Nymph Sword+3
164	Nymph Sword+4
165	Nymph Sword+5
166	Nymph Sword+6
167	Nymph Sword+7
168	Nymph Sword+8
169	Nymph Sword+9
170	Sting Sword+0
171	Sting Sword+1
172	Sting Sword+2
173	Sting Sword+3
174	Sting Sword+4
175	Sting Sword+5
176	Sting Sword+6
177	Sting Sword+7
178	Sting Sword+8
179	Sting Sword+9
180	Poison Sword+0
181	Poison Sword+1
182	Poison Sword+2
183	Poison Sword+3
184	Poison Sword+4
185	Poison Sword+5
186	Poison Sword+6
187	Poison Sword+7
188	Poison Sword+8
189	Poison Sword+9
190	Lion Sword+0
191	Lion Sword+1
192	Lion Sword+2
193	Lion Sword+3
194	Lion Sword+4
195	Lion Sword+5
196	Lion Sword+6
197	Lion Sword+7
198	Lion Sword+8
199	Lion Sword+9
200	Edge Blade+0
201	Edge Blade+1
202	Edge Blade+2
203	Edge Blade+3
204	Edge Blade+4
205	Edge Blade+5
206	Edge Blade+6
207	Edge Blade+7
208	Edge Blade+8
209	Edge Blade+9
210	Deadly Blade+0
211	Deadly Blade+1
212	Deadly Blade+2
213	Deadly Blade+3
214	Deadly Blade+4
215	Deadly Blade+5
216	Deadly Blade+6
217	Deadly Blade+7
218	Deadly Blade+8
219	Deadly Blade+9
220	Lunar Sword+0
221	Lunar Sword+1
222	Lunar Sword+2
223	Lunar Sword+3
224	Lunar Sword+4
225	Lunar Sword+5
226	Lunar Sword+6
227	Lunar Sword+7
228	Lunar Sword+8
229	Lunar Sword+9
230	Heavenly Sword+0
231	Heavenly Sword+1
232	Heavenly Sword+2
233	Heavenly Sword+3
234	Heavenly Sword+4
235	Heavenly Sword+5
236	Heavenly Sword+6
237	Heavenly Sword+7
238	Heavenly Sword+8
239	Heavenly Sword+9
240	Exorcism Sword+0
241	Exorcism Sword+1
242	Exorcism Sword+2
243	Exorcism Sword+3
244	Exorcism Sword+4
245	Exorcism Sword+5
246	Exorcism Sword+6
247	Exorcism Sword+7
248	Exorcism Sword+8
249	Exorcism Sword+9
250	Demon Blade+0
251	Demon Blade+1
252	Demon Blade+2
253	Demon Blade+3
254	Demon Blade+4
255	Demon Blade+5
256	Demon Blade+6
257	Demon Blade+7
258	Demon Blade+8
259	Demon Blade+9
260	Baron Sword+0
261	Baron Sword+1
262	Baron Sword+2
263	Baron Sword+3
264	Baron Sword+4
265	Baron Sword+5
266	Baron Sword+6
267	Baron Sword+7
268	Baron Sword+8
269	Baron Sword+9
270	Triton Sword+0
271	Triton Sword+1
272	Triton Sword+2
273	Triton Sword+3
274	Triton Sword+4
275	Triton Sword+5
276	Triton Sword+6
277	Triton Sword+7
278	Triton Sword+8
279	Triton Sword+9
280	Holy Sword+0
281	Holy Sword+1
282	Holy Sword+2
283	Holy Sword+3
284	Holy Sword+4
285	Holy Sword+5
286	Holy Sword+6
287	Holy Sword+7
288	Holy Sword+8
289	Holy Sword+9
290	Full Moon Sword+0
291	Full Moon Sword+1
292	Full Moon Sword+2
293	Full Moon Sword+3
294	Full Moon Sword+4
295	Full Moon Sword+5
296	Full Moon Sword+6
297	Full Moon Sword+7
298	Full Moon Sword+8
299	Full Moon Sword+9
460	Rune Sword +0
461	Rune Sword +1
462	Rune Sword +2
463	Rune Sword +3
464	Rune Sword +4
465	Rune Sword +5
466	Rune Sword +6
467	Rune Sword +7
468	Rune Sword +8
469	Rune Sword +9
470	Dragon Tooth Blade +0
471	Dragon Tooth Blade +1
472	Dragon Tooth Blade +2
473	Dragon Tooth Blade +3
474	Dragon Tooth Blade +4
475	Dragon Tooth Blade +5
476	Dragon Tooth Blade +6
477	Dragon Tooth Blade +7
478	Dragon Tooth Blade +8
479	Dragon Tooth Blade +9
1000	Dagger+0
1001	Dagger+1
1002	Dagger+2
1003	Dagger+3
1004	Dagger+4
1005	Dagger+5
1006	Dagger+6
1007	Dagger+7
1008	Dagger+8
1009	Dagger+9
1010	Cobra Dagger+0
1011	Cobra Dagger+1
1012	Cobra Dagger+2
1013	Cobra Dagger+3
1014	Cobra Dagger+4
1015	Cobra Dagger+5
1016	Cobra Dagger+6
1017	Cobra Dagger+7
1018	Cobra Dagger+8
1019	Cobra Dagger+9
1020	Scissor Dagger+0
1021	Scissor Dagger+1
1022	Scissor Dagger+2
1023	Scissor Dagger+3
1024	Scissor Dagger+4
1025	Scissor Dagger+5
1026	Scissor Dagger+6
1027	Scissor Dagger+7
1028	Scissor Dagger+8
1029	Scissor Dagger+9
1030	Lucky Knife+0
1031	Lucky Knife+1
1032	Lucky Knife+2
1033	Lucky Knife+3
1034	Lucky Knife+4
1035	Lucky Knife+5
1036	Lucky Knife+6
1037	Lucky Knife+7
1038	Lucky Knife+8
1039	Lucky Knife+9
1040	Cat Bite Knife+0
1041	Cat Bite Knife+1
1042	Cat Bite Knife+2
1043	Cat Bite Knife+3
1044	Cat Bite Knife+4
1045	Cat Bite Knife+5
1046	Cat Bite Knife+6
1047	Cat Bite Knife+7
1048	Cat Bite Knife+8
1049	Cat Bite Knife+9
1050	Devil Mask Dagger+0
1051	Devil Mask Dagger+1
1052	Devil Mask Dagger+2
1053	Devil Mask Dagger+3
1054	Devil Mask Dagger+4
1055	Devil Mask Dagger+5
1056	Devil Mask Dagger+6
1057	Devil Mask Dagger+7
1058	Devil Mask Dagger+8
1059	Devil Mask Dagger+9
1060	Devil Fist Dagger+0
1061	Devil Fist Dagger+1
1062	Devil Fist Dagger+2
1063	Devil Fist Dagger+3
1064	Devil Fist Dagger+4
1065	Devil Fist Dagger+5
1066	Devil Fist Dagger+6
1067	Devil Fist Dagger+7
1068	Devil Fist Dagger+8
1069	Devil Fist Dagger+9
1070	Bloody Dagger+0
1071	Bloody Dagger+1
1072	Bloody Dagger+2
1073	Bloody Dagger+3
1074	Bloody Dagger+4
1075	Bloody Dagger+5
1076	Bloody Dagger+6
1077	Bloody Dagger+7
1078	Bloody Dagger+8
1079	Bloody Dagger+9
1080	Rib Knife+0
1081	Rib Knife+1
1082	Rib Knife+2
1083	Rib Knife+3
1084	Rib Knife+4
1085	Rib Knife+5
1086	Rib Knife+6
1087	Rib Knife+7
1088	Rib Knife+8
1089	Rib Knife+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Dragon Knife+0
1101	Dragon Knife+1
1102	Dragon Knife+2
1103	Dragon Knife+3
1104	Dragon Knife+4
1105	Dragon Knife+5
1106	Dragon Knife+6
1107	Dragon Knife+7
1108	Dragon Knife+8
1109	Dragon Knife+9
1110	Lightning Knife+0
1111	Lightning Knife+1
1112	Lightning Knife+2
1113	Lightning Knife+3
1114	Lightning Knife+4
1115	Lightning Knife+5
1116	Lightning Knife+6
1117	Lightning Knife+7
1118	Lightning Knife+8
1119	Lightning Knife+9
1120	Siamese Knife+0
1121	Siamese Knife+1
1122	Siamese Knife+2
1123	Siamese Knife+3
1124	Siamese Knife+4
1125	Siamese Knife+5
1126	Siamese Knife+6
1127	Siamese Knife+7
1128	Siamese Knife+8
1129	Siamese Knife+9
1130	Devil Wing Chakram+0
1131	Devil Wing Chakram+1
1132	Devil Wing Chakram+2
1133	Devil Wing Chakram+3
1134	Devil Wing Chakram+4
1135	Devil Wing Chakram+5
1136	Devil Wing Chakram+6
1137	Devil Wing Chakram+7
1138	Devil Wing Chakram+8
1139	Devil Wing Chakram+9
1140	Saw Tooth Knife+0
1141	Saw Tooth Knife+1
1142	Saw Tooth Knife+2
1143	Saw Tooth Knife+3
1144	Saw Tooth Knife+4
1145	Saw Tooth Knife+5
1146	Saw Tooth Knife+6
1147	Saw Tooth Knife+7
1148	Saw Tooth Knife+8
1149	Saw Tooth Knife+9
1150	Sunlight Knife+0
1151	Sunlight Knife+1
1152	Sunlight Knife+2
1153	Sunlight Knife+3
1154	Sunlight Knife+4
1155	Sunlight Knife+5
1156	Sunlight Knife+6
1157	Sunlight Knife+7
1158	Sunlight Knife+8
1159	Sunlight Knife+9
1160	Rivulet Knife+0
1161	Rivulet Knife+1
1162	Rivulet Knife+2
1163	Rivulet Knife+3
1164	Rivulet Knife+4
1165	Rivulet Knife+5
1166	Rivulet Knife+6
1167	Rivulet Knife+7
1168	Rivulet Knife+8
1169	Rivulet Knife+9
1170	Black Leaf Dirk+0
1171	Black Leaf Dirk+1
1172	Black Leaf Dirk+2
1173	Black Leaf Dirk+3
1174	Black Leaf Dirk+4
1175	Black Leaf Dirk+5
1176	Black Leaf Dirk+6
1177	Black Leaf Dirk+7
1178	Black Leaf Dirk+8
1179	Black Leaf Dirk+9
1340	Five Element Blade +0
1341	Five Element Blade +1
1342	Five Element Blade +2
1343	Five Element Blade +3
1344	Five Element Blade +4
1345	Five Element Blade +5
1346	Five Element Blade +6
1347	Five Element Blade +7
1348	Five Element Blade +8
1349	Five Element Blade +9
2000	Bow+0
2001	Bow+1
2002	Bow+2
2003	Bow+3
2004	Bow+4
2005	Bow+5
2006	Bow+6
2007	Bow+7
2008	Bow+8
2009	Bow+9
2010	Long Bow+0
2011	Long Bow+1
2012	Long Bow+2
2013	Long Bow+3
2014	Long Bow+4
2015	Long Bow+5
2016	Long Bow+6
2017	Long Bow+7
2018	Long Bow+8
2019	Long Bow+9
2020	Composite Bow+0
2021	Composite Bow+1
2022	Composite Bow+2
2023	Composite Bow+3
2024	Composite Bow+4
2025	Composite Bow+5
2026	Composite Bow+6
2027	Composite Bow+7
2028	Composite Bow+8
2029	Composite Bow+9
2030	Battle Bow+0
2031	Battle Bow+1
2032	Battle Bow+2
2033	Battle Bow+3
2034	Battle Bow+4
2035	Battle Bow+5
2036	Battle Bow+6
2037	Battle Bow+7
2038	Battle Bow+8
2039	Battle Bow+9
2040	Horseback Long Bow+0
2041	Horseback Long Bow+1
2042	Horseback Long Bow+2
2043	Horseback Long Bow+3
2044	Horseback Long Bow+4
2045	Horseback Long Bow+5
2046	Horseback Long Bow+6
2047	Horseback Long Bow+7
2048	Horseback Long Bow+8
2049	Horseback Long Bow+9
2050	Horseback Battle Bow+0
2051	Horseback Battle Bow+1
2052	Horseback Battle Bow+2
2053	Horseback Battle Bow+3
2054	Horseback Battle Bow+4
2055	Horseback Battle Bow+5
2056	Horseback Battle Bow+6
2057	Horseback Battle Bow+7
2058	Horseback Battle Bow+8
2059	Horseback Battle Bow+9
2060	Copper Crafted Bow+0
2061	Copper Crafted Bow+1
2062	Copper Crafted Bow+2
2063	Copper Crafted Bow+3
2064	Copper Crafted Bow+4
2065	Copper Crafted Bow+5
2066	Copper Crafted Bow+6
2067	Copper Crafted Bow+7
2068	Copper Crafted Bow+8
2069	Copper Crafted Bow+9
2070	Black Ruin Bow+0
2071	Black Ruin Bow+1
2072	Black Ruin Bow+2
2073	Black Ruin Bow+3
2074	Black Ruin Bow+4
2075	Black Ruin Bow+5
2076	Black Ruin Bow+6
2077	Black Ruin Bow+7
2078	Black Ruin Bow+8
2079	Black Ruin Bow+9
2080	Red Eye Bow+0
2081	Red Eye Bow+1
2082	Red Eye Bow+2
2083	Red Eye Bow+3
2084	Red Eye Bow+4
2085	Red Eye Bow+5
2086	Red Eye Bow+6
2087	Red Eye Bow+7
2088	Red Eye Bow+8
2089	Red Eye Bow+9
2090	Thorn Leaf Bow+0
