VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Schwert+0
11	Schwert+1
12	Schwert+2
13	Schwert+3
14	Schwert+4
15	Schwert+5
16	Schwert+6
17	Schwert+7
18	Schwert+8
19	Schwert+9
20	Langschwert+0
21	Langschwert+1
22	Langschwert+2
23	Langschwert+3
24	Langschwert+4
25	Langschwert+5
26	Langschwert+6
27	Langschwert+7
28	Langschwert+8
29	Langschwert+9
30	Sichelschwert+0
31	Sichelschwert+1
32	Sichelschwert+2
33	Sichelschwert+3
34	Sichelschwert+4
35	Sichelschwert+5
36	Sichelschwert+6
37	Sichelschwert+7
38	Sichelschwert+8
39	Sichelschwert+9
40	Bambusschwert+0
41	Bambusschwert+1
42	Bambusschwert+2
43	Bambusschwert+3
44	Bambusschwert+4
45	Bambusschwert+5
46	Bambusschwert+6
47	Bambusschwert+7
48	Bambusschwert+8
49	Bambusschwert+9
50	Breitschwert+0
51	Breitschwert+1
52	Breitschwert+2
53	Breitschwert+3
54	Breitschwert+4
55	Breitschwert+5
56	Breitschwert+6
57	Breitschwert+7
58	Breitschwert+8
59	Breitschwert+9
60	Silberschwert+0
61	Silberschwert+1
62	Silberschwert+2
63	Silberschwert+3
64	Silberschwert+4
65	Silberschwert+5
66	Silberschwert+6
67	Silberschwert+7
68	Silberschwert+8
69	Silberschwert+9
70	Orchideenschwert+0
71	Orchideenschwert+1
72	Orchideenschwert+2
73	Orchideenschwert+3
74	Orchideenschwert+4
75	Orchideenschwert+5
76	Orchideenschwert+6
77	Orchideenschwert+7
78	Orchideenschwert+8
79	Orchideenschwert+9
80	Anderthalbhänder+0
81	Anderthalbhänder+1
82	Anderthalbhänder+2
83	Anderthalbhänder+3
84	Anderthalbhänder+4
85	Anderthalbhänder+5
86	Anderthalbhänder+6
87	Anderthalbhänder+7
88	Anderthalbhänder+8
89	Anderthalbhänder+9
90	Barbarenschwert+0
91	Barbarenschwert+1
92	Barbarenschwert+2
93	Barbarenschwert+3
94	Barbarenschwert+4
95	Barbarenschwert+5
96	Barbarenschwert+6
97	Barbarenschwert+7
98	Barbarenschwert+8
99	Barbarenschwert+9
100	Blutiges Schwert+0
101	Blutiges Schwert+1
102	Blutiges Schwert+2
103	Blutiges Schwert+3
104	Blutiges Schwert+4
105	Blutiges Schwert+5
106	Blutiges Schwert+6
107	Blutiges Schwert+7
108	Blutiges Schwert+8
109	Blutiges Schwert+9
110	Großschwert+0
111	Großschwert+1
112	Großschwert+2
113	Großschwert+3
114	Großschwert+4
115	Großschwert+5
116	Großschwert+6
117	Großschwert+7
118	Großschwert+8
119	Großschwert+9
120	Zaubererschwert+0
121	Zaubererschwert+1
122	Zaubererschwert+2
123	Zaubererschwert+3
124	Zaubererschwert+4
125	Zaubererschwert+5
126	Zaubererschwert+6
127	Zaubererschwert+7
128	Zaubererschwert+8
129	Zaubererschwert+9
130	Halbmondschwert+0
131	Halbmondschwert+1
132	Halbmondschwert+2
133	Halbmondschwert+3
134	Halbmondschwert+4
135	Halbmondschwert+5
136	Halbmondschwert+6
137	Halbmondschwert+7
138	Halbmondschwert+8
139	Halbmondschwert+9
140	Schlachtschwert+0
141	Schlachtschwert+1
142	Schlachtschwert+2
143	Schlachtschwert+3
144	Schlachtschwert+4
145	Schlachtschwert+5
146	Schlachtschwert+6
147	Schlachtschwert+7
148	Schlachtschwert+8
149	Schlachtschwert+9
150	Geisterzahnklinge+0
151	Geisterzahnklinge+1
152	Geisterzahnklinge+2
153	Geisterzahnklinge+3
154	Geisterzahnklinge+4
155	Geisterzahnklinge+5
156	Geisterzahnklinge+6
157	Geisterzahnklinge+7
158	Geisterzahnklinge+8
159	Geisterzahnklinge+9
160	Nymphenschwert+0
161	Nymphenschwert+1
162	Nymphenschwert+2
163	Nymphenschwert+3
164	Nymphenschwert+4
165	Nymphenschwert+5
166	Nymphenschwert+6
167	Nymphenschwert+7
168	Nymphenschwert+8
169	Nymphenschwert+9
170	Stichschwert+0
171	Stichschwert+1
172	Stichschwert+2
173	Stichschwert+3
174	Stichschwert+4
175	Stichschwert+5
176	Stichschwert+6
177	Stichschwert+7
178	Stichschwert+8
179	Stichschwert+9
180	Giftschwert+0
181	Giftschwert+1
182	Giftschwert+2
183	Giftschwert+3
184	Giftschwert+4
185	Giftschwert+5
186	Giftschwert+6
187	Giftschwert+7
188	Giftschwert+8
189	Giftschwert+9
190	Löwenschwert+0
191	Löwenschwert+1
192	Löwenschwert+2
193	Löwenschwert+3
194	Löwenschwert+4
195	Löwenschwert+5
196	Löwenschwert+6
197	Löwenschwert+7
198	Löwenschwert+8
199	Löwenschwert+9
200	Schnittklinge+0
201	Schnittklinge+1
202	Schnittklinge+2
203	Schnittklinge+3
204	Schnittklinge+4
205	Schnittklinge+5
206	Schnittklinge+6
207	Schnittklinge+7
208	Schnittklinge+8
209	Schnittklinge+9
210	Tödliche Klinge+0
211	Tödliche Klinge+1
212	Tödliche Klinge+2
213	Tödliche Klinge+3
214	Tödliche Klinge+4
215	Tödliche Klinge+5
216	Tödliche Klinge+6
217	Tödliche Klinge+7
218	Tödliche Klinge+8
219	Tödliche Klinge+9
220	Mondschwert+0
221	Mondschwert+1
222	Mondschwert+2
223	Mondschwert+3
224	Mondschwert+4
225	Mondschwert+5
226	Mondschwert+6
227	Mondschwert+7
228	Mondschwert+8
229	Mondschwert+9
230	Himmelsschwert+0
231	Himmelsschwert+1
232	Himmelsschwert+2
233	Himmelsschwert+3
234	Himmelsschwert+4
235	Himmelsschwert+5
236	Himmelsschwert+6
237	Himmelsschwert+7
238	Himmelsschwert+8
239	Himmelsschwert+9
240	Exorzismusschwert+0
241	Exorzismusschwert+1
242	Exorzismusschwert+2
243	Exorzismusschwert+3
244	Exorzismusschwert+4
245	Exorzismusschwert+5
246	Exorzismusschwert+6
247	Exorzismusschwert+7
248	Exorzismusschwert+8
249	Exorzismusschwert+9
250	Dämonenklinge+0
251	Dämonenklinge+1
252	Dämonenklinge+2
253	Dämonenklinge+3
254	Dämonenklinge+4
255	Dämonenklinge+5
256	Dämonenklinge+6
257	Dämonenklinge+7
258	Dämonenklinge+8
259	Dämonenklinge+9
260	Baronschwert+0
261	Baronschwert+1
262	Baronschwert+2
263	Baronschwert+3
264	Baronschwert+4
265	Baronschwert+5
266	Baronschwert+6
267	Baronschwert+7
268	Baronschwert+8
269	Baronschwert+9
270	Tritonschwert+0
271	Tritonschwert+1
272	Tritonschwert+2
273	Tritonschwert+3
274	Tritonschwert+4
275	Tritonschwert+5
276	Tritonschwert+6
277	Tritonschwert+7
278	Tritonschwert+8
279	Tritonschwert+9
280	Heiliges Schwert+0
281	Heiliges Schwert+1
282	Heiliges Schwert+2
283	Heiliges Schwert+3
284	Heiliges Schwert+4
285	Heiliges Schwert+5
286	Heiliges Schwert+6
287	Heiliges Schwert+7
288	Heiliges Schwert+8
289	Heiliges Schwert+9
290	Vollmondschwert+0
291	Vollmondschwert+1
292	Vollmondschwert+2
293	Vollmondschwert+3
294	Vollmondschwert+4
295	Vollmondschwert+5
296	Vollmondschwert+6
297	Vollmondschwert+7
298	Vollmondschwert+8
299	Vollmondschwert+9
460	Runenschwert+0
461	Runenschwert+1
462	Runenschwert+2
463	Runenschwert+3
464	Runenschwert+4
465	Runenschwert+5
466	Runenschwert+6
467	Runenschwert+7
468	Runenschwert+8
469	Runenschwert+9
470	Drachenzahnklinge+0
471	Drachenzahnklinge+1
472	Drachenzahnklinge+2
473	Drachenzahnklinge+3
474	Drachenzahnklinge+4
475	Drachenzahnklinge+5
476	Drachenzahnklinge+6
477	Drachenzahnklinge+7
478	Drachenzahnklinge+8
479	Drachenzahnklinge+9
1000	Dolch+0
1001	Dolch+1
1002	Dolch+2
1003	Dolch+3
1004	Dolch+4
1005	Dolch+5
1006	Dolch+6
1007	Dolch+7
1008	Dolch+8
1009	Dolch+9
1010	Kobradolch+0
1011	Kobradolch+1
1012	Kobradolch+2
1013	Kobradolch+3
1014	Kobradolch+4
1015	Kobradolch+5
1016	Kobradolch+6
1017	Kobradolch+7
1018	Kobradolch+8
1019	Kobradolch+9
1020	Scherendolch+0
1021	Scherendolch+1
1022	Scherendolch+2
1023	Scherendolch+3
1024	Scherendolch+4
1025	Scherendolch+5
1026	Scherendolch+6
1027	Scherendolch+7
1028	Scherendolch+8
1029	Scherendolch+9
1030	Glücksmesser+0
1031	Glücksmesser+1
1032	Glücksmesser+2
1033	Glücksmesser+3
1034	Glücksmesser+4
1035	Glücksmesser+5
1036	Glücksmesser+6
1037	Glücksmesser+7
1038	Glücksmesser+8
1039	Glücksmesser+9
1040	Katzenbissmesser+0
1041	Katzenbissmesser+1
1042	Katzenbissmesser+2
1043	Katzenbissmesser+3
1044	Katzenbissmesser+4
1045	Katzenbissmesser+5
1046	Katzenbissmesser+6
1047	Katzenbissmesser+7
1048	Katzenbissmesser+8
1049	Katzenbissmesser+9
1050	Teufelsmaskendolch+0
1051	Teufelsmaskendolch+1
1052	Teufelsmaskendolch+2
1053	Teufelsmaskendolch+3
1054	Teufelsmaskendolch+4
1055	Teufelsmaskendolch+5
1056	Teufelsmaskendolch+6
1057	Teufelsmaskendolch+7
1058	Teufelsmaskendolch+8
1059	Teufelsmaskendolch+9
1060	Teufelsfaustdolch+0
1061	Teufelsfaustdolch+1
1062	Teufelsfaustdolch+2
1063	Teufelsfaustdolch+3
1064	Teufelsfaustdolch+4
1065	Teufelsfaustdolch+5
1066	Teufelsfaustdolch+6
1067	Teufelsfaustdolch+7
1068	Teufelsfaustdolch+8
1069	Teufelsfaustdolch+9
1070	Blutiger Dolch+0
1071	Blutiger Dolch+1
1072	Blutiger Dolch+2
1073	Blutiger Dolch+3
1074	Blutiger Dolch+4
1075	Blutiger Dolch+5
1076	Blutiger Dolch+6
1077	Blutiger Dolch+7
1078	Blutiger Dolch+8
1079	Blutiger Dolch+9
1080	Rippenmesser+0
1081	Rippenmesser+1
1082	Rippenmesser+2
1083	Rippenmesser+3
1084	Rippenmesser+4
1085	Rippenmesser+5
1086	Rippenmesser+6
1087	Rippenmesser+7
1088	Rippenmesser+8
1089	Rippenmesser+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Drachenmesser+0
1101	Drachenmesser+1
1102	Drachenmesser+2
1103	Drachenmesser+3
1104	Drachenmesser+4
1105	Drachenmesser+5
1106	Drachenmesser+6
1107	Drachenmesser+7
1108	Drachenmesser+8
1109	Drachenmesser+9
1110	Blitzmesser+0
1111	Blitzmesser+1
1112	Blitzmesser+2
1113	Blitzmesser+3
1114	Blitzmesser+4
1115	Blitzmesser+5
1116	Blitzmesser+6
1117	Blitzmesser+7
1118	Blitzmesser+8
1119	Blitzmesser+9
1120	Siamesenmesser+0
1121	Siamesenmesser+1
1122	Siamesenmesser+2
1123	Siamesenmesser+3
1124	Siamesenmesser+4
1125	Siamesenmesser+5
1126	Siamesenmesser+6
1127	Siamesenmesser+7
1128	Siamesenmesser+8
1129	Siamesenmesser+9
1130	Teufelsflügel-Chakram+0
1131	Teufelsflügel-Chakram+1
1132	Teufelsflügel-Chakram+2
1133	Teufelsflügel-Chakram+3
1134	Teufelsflügel-Chakram+4
1135	Teufelsflügel-Chakram+5
1136	Teufelsflügel-Chakram+6
1137	Teufelsflügel-Chakram+7
1138	Teufelsflügel-Chakram+8
1139	Teufelsflügel-Chakram+9
1140	Sägezahnmesser+0
1141	Sägezahnmesser+1
1142	Sägezahnmesser+2
1143	Sägezahnmesser+3
1144	Sägezahnmesser+4
1145	Sägezahnmesser+5
1146	Sägezahnmesser+6
1147	Sägezahnmesser+7
1148	Sägezahnmesser+8
1149	Sägezahnmesser+9
1150	Sonnenstrahlmesser+0
1151	Sonnenstrahlmesser+1
1152	Sonnenstrahlmesser+2
1153	Sonnenstrahlmesser+3
1154	Sonnenstrahlmesser+4
1155	Sonnenstrahlmesser+5
1156	Sonnenstrahlmesser+6
1157	Sonnenstrahlmesser+7
1158	Sonnenstrahlmesser+8
1159	Sonnenstrahlmesser+9
1160	Rinnsalmesser+0
1161	Rinnsalmesser+1
1162	Rinnsalmesser+2
1163	Rinnsalmesser+3
1164	Rinnsalmesser+4
1165	Rinnsalmesser+5
1166	Rinnsalmesser+6
1167	Rinnsalmesser+7
1168	Rinnsalmesser+8
1169	Rinnsalmesser+9
1170	Schwarzblattdolch+0
1171	Schwarzblattdolch+1
1172	Schwarzblattdolch+2
1173	Schwarzblattdolch+3
1174	Schwarzblattdolch+4
1175	Schwarzblattdolch+5
1176	Schwarzblattdolch+6
1177	Schwarzblattdolch+7
1178	Schwarzblattdolch+8
1179	Schwarzblattdolch+9
1340	Fünf-Elemente-Klinge+0
1341	Fünf-Elemente-Klinge+1
1342	Fünf-Elemente-Klinge+2
1343	Fünf-Elemente-Klinge+3
1344	Fünf-Elemente-Klinge+4
1345	Fünf-Elemente-Klinge+5
1346	Fünf-Elemente-Klinge+6
1347	Fünf-Elemente-Klinge+7
1348	Fünf-Elemente-Klinge+8
1349	Fünf-Elemente-Klinge+9
2000	Bogen+0
2001	Bogen+1
2002	Bogen+2
2003	Bogen+3
2004	Bogen+4
2005	Bogen+5
2006	Bogen+6
2007	Bogen+7
2008	Bogen+8
2009	Bogen+9
2010	Langbogen+0
2011	Langbogen+1
2012	Langbogen+2
2013	Langbogen+3
2014	Langbogen+4
2015	Langbogen+5
2016	Langbogen+6
2017	Langbogen+7
2018	Langbogen+8
2019	Langbogen+9
2020	Kompositbogen+0
2021	Kompositbogen+1
2022	Kompositbogen+2
2023	Kompositbogen+3
2024	Kompositbogen+4
2025	Kompositbogen+5
2026	Kompositbogen+6
2027	Kompositbogen+7
2028	Kompositbogen+8
2029	Kompositbogen+9
2030	Kriegsbogen+0
2031	Kriegsbogen+1
2032	Kriegsbogen+2
2033	Kriegsbogen+3
2034	Kriegsbogen+4
2035	Kriegsbogen+5
2036	Kriegsbogen+6
2037	Kriegsbogen+7
2038	Kriegsbogen+8
2039	Kriegsbogen+9
2040	Reiterlangbogen+0
2041	Reiterlangbogen+1
2042	Reiterlangbogen+2
2043	Reiterlangbogen+3
2044	Reiterlangbogen+4
2045	Reiterlangbogen+5
2046	Reiterlangbogen+6
2047	Reiterlangbogen+7
2048	Reiterlangbogen+8
2049	Reiterlangbogen+9
2050	Reiterkriegsbogen+0
2051	Reiterkriegsbogen+1
2052	Reiterkriegsbogen+2
2053	Reiterkriegsbogen+3
2054	Reiterkriegsbogen+4
2055	Reiterkriegsbogen+5
2056	Reiterkriegsbogen+6
2057	Reiterkriegsbogen+7
2058	Reiterkriegsbogen+8
2059	Reiterkriegsbogen+9
2060	Kupferverziert. Bogen+0
2061	Kupferverziert. Bogen+1
2062	Kupferverziert. Bogen+2
2063	Kupferverziert. Bogen+3
2064	Kupferverziert. Bogen+4
2065	Kupferverziert. Bogen+5
