VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Sværd +0
11	Sværd +1
12	Sværd +2
13	Sværd +3
14	Sværd +4
15	Sværd +5
16	Sværd +6
17	Sværd +7
18	Sværd +8
19	Sværd +9
20	Langsværd +0
21	Langsværd +1
22	Langsværd +2
23	Langsværd +3
24	Langsværd +4
25	Langsværd +5
26	Langsværd +6
27	Langsværd +7
28	Langsværd +8
29	Langsværd +9
30	Seglsværd +0
31	Seglsværd +1
32	Seglsværd +2
33	Seglsværd +3
34	Seglsværd +4
35	Seglsværd +5
36	Seglsværd +6
37	Seglsværd +7
38	Seglsværd +8
39	Seglsværd +9
40	Bambussværd +0
41	Bambussværd +1
42	Bambussværd +2
43	Bambussværd +3
44	Bambussværd +4
45	Bambussværd +5
46	Bambussværd +6
47	Bambussværd +7
48	Bambussværd +8
49	Bambussværd +9
50	Bredsværd +0
51	Bredsværd +1
52	Bredsværd +2
53	Bredsværd +3
54	Bredsværd +4
55	Bredsværd +5
56	Bredsværd +6
57	Bredsværd +7
58	Bredsværd +8
59	Bredsværd +9
60	Sølvsværd +0
61	Sølvsværd +1
62	Sølvsværd +2
63	Sølvsværd +3
64	Sølvsværd +4
65	Sølvsværd +5
66	Sølvsværd +6
67	Sølvsværd +7
68	Sølvsværd +8
69	Sølvsværd +9
70	Orkidesværd +0
71	Orkidesværd +1
72	Orkidesværd +2
73	Orkidesværd +3
74	Orkidesværd +4
75	Orkidesværd +5
76	Orkidesværd +6
77	Orkidesværd +7
78	Orkidesværd +8
79	Orkidesværd +9
80	Halvandenhåndssværd +0
81	Halvandenhåndssværd +1
82	Halvandenhåndssværd +2
83	Halvandenhåndssværd +3
84	Halvandenhåndssværd +4
85	Halvandenhåndssværd +5
86	Halvandenhåndssværd +6
87	Halvandenhåndssværd +7
88	Halvandenhåndssværd +8
89	Halvandenhåndssværd +9
90	Barbarsværd +0
91	Barbarsværd +1
92	Barbarsværd +2
93	Barbarsværd +3
94	Barbarsværd +4
95	Barbarsværd +5
96	Barbarsværd +6
97	Barbarsværd +7
98	Barbarsværd +8
99	Barbarsværd +9
100	Blodigt sværd +0
101	Blodigt sværd +1
102	Blodigt sværd +2
103	Blodigt sværd +3
104	Blodigt sværd +4
105	Blodigt sværd +5
106	Blodigt sværd +6
107	Blodigt sværd +7
108	Blodigt sværd +8
109	Blodigt sværd +9
110	Storsværd +0
111	Storsværd +1
112	Storsværd +2
113	Storsværd +3
114	Storsværd +4
115	Storsværd +5
116	Storsværd +6
117	Storsværd +7
118	Storsværd +8
119	Storsværd +9
120	Troldmandssværd +0
121	Troldmandssværd +1
122	Troldmandssværd +2
123	Troldmandssværd +3
124	Troldmandssværd +4
125	Troldmandssværd +5
126	Troldmandssværd +6
127	Troldmandssværd +7
128	Troldmandssværd +8
129	Troldmandssværd +9
130	Halvmånesværd +0
131	Halvmånesværd +1
132	Halvmånesværd +2
133	Halvmånesværd +3
134	Halvmånesværd +4
135	Halvmånesværd +5
136	Halvmånesværd +6
137	Halvmånesværd +7
138	Halvmånesværd +8
139	Halvmånesværd +9
140	Slagsværd +0
141	Slagsværd +1
142	Slagsværd +2
143	Slagsværd +3
144	Slagsværd +4
145	Slagsværd +5
146	Slagsværd +6
147	Slagsværd +7
148	Slagsværd +8
149	Slagsværd +9
150	Åndetandsblad +0
151	Åndetandsblad +1
152	Åndetandsblad +2
153	Åndetandsblad +3
154	Åndetandsblad +4
155	Åndetandsblad +5
156	Åndetandsblad +6
157	Åndetandsblad +7
158	Åndetandblad +8
159	Åndetandsblad +9
160	Nymfesværd +0
161	Nymfesværd +1
162	Nymfesværd +2
163	Nymfesværd +3
164	Nymfesværd +4
165	Nymfesværd +5
166	Nymfesværd +6
167	Nymfesværd +7
168	Nymfesværd +8
169	Nymfesværd +9
170	Stiksværd +0
171	Stiksværd +1
172	Stiksværd +2
173	Stiksværd +3
174	Stiksværd +4
175	Stiksværd +5
176	Stiksværd +6
177	Stiksværd +7
178	Stiksværd +8
179	Stiksværd +9
180	Giftsværd +0
181	Giftsværd +1
182	Giftsværd +2
183	Giftsværd +3
184	Giftsværd +4
185	Giftsværd +5
186	Giftsværd +6
187	Giftsværd +7
188	Giftsværd +8
189	Giftsværd +9
190	Løvesværd +0
191	Løvesværd +1
192	Løvesværd +2
193	Løvesværd +3
194	Løvesværd +4
195	Løvesværd +5
196	Løvesværd +6
197	Løvesværd +7
198	Løvesværd +8
199	Løvesværd +9
200	Skæreklinge +0
201	Skæreklinge +1
202	Skæreklinge +2
203	Skæreklinge +3
204	Skæreklinge +4
205	Skæreklinge +5
206	Skæreklinge +6
207	Skæreklinge +7
208	Skæreklinge +8
209	Skæreklinge +9
210	Dræbende klinge +0
211	Dræbende klinge +1
212	Dræbende klinge +2
213	Dræbende klinge +3
214	Dræbende klinge +4
215	Dræbende klinge +5
216	Dræbende klinge +6
217	Dræbende klinge +7
218	Dræbende klinge +8
219	Dræbende klinge +9
220	Månesværd +0
221	Månesværd +1
222	Månesværd +2
223	Månesværd +3
224	Månesværd +4
225	Månesværd +5
226	Månesværd +6
227	Månesværd +7
228	Månesværd +8
229	Månesværd +9
230	Himmelsværd +0
231	Himmelsværd +1
232	Himmelsværd +2
233	Himmelsværd +3
234	Himmelsværd +4
235	Himmelsværd +5
236	Himmelsværd +6
237	Himmelsværd +7
238	Himmelsværd +8
239	Himmelsværd +9
240	Eksorcismesværd +0
241	Eksorcismesværd +1
242	Eksorcismesværd +2
243	Eksorcismesværd +3
244	Eksorcismesværd +4
245	Eksorcismesværd +5
246	Eksorcismesværd +6
247	Eksorcismesværd +7
248	Eksorcismesværd +8
249	Eksorcismesværd +9
250	Dæmonklinge +0
251	Dæmonklinge +1
252	Dæmonklinge +2
253	Dæmonklinge +3
254	Dæmonklinge +4
255	Dæmonklinge +5
256	Dæmonklinge +6
257	Dæmonklinge +7
258	Dæmonklinge +8
259	Dæmonklinge +9
260	Baronsværd +0
261	Baronsværd +1
262	Baronsværd +2
263	Baronsværd +3
264	Baronsværd +4
265	Baronsværd +5
266	Baronsværd +6
267	Baronsværd +7
268	Baronsværd +8
269	Baronsværd +9
270	Tritonssværd +0
271	Tritonssværd +1
272	Tritonssværd +2
273	Tritonssværd +3
274	Tritonssværd +4
275	Tritonssværd +5
276	Tritonssværd +6
277	Tritonssværd +7
278	Tritonssværd +8
279	Tritonssværd +9
280	Helligt sværd +0
281	Helligt sværd +1
282	Helligt sværd +2
283	Helligt sværd +3
284	Helligt sværd +4
285	Helligt sværd +5
286	Helligt sværd +6
287	Helligt sværd +7
288	Helligt sværd +8
289	Helligt sværd +9
290	Fuldmånens sværd +0
291	Fuldmånens sværd +1
292	Fuldmånens sværd +2
293	Fuldmånens sværd +3
294	Fuldmånens sværd +4
295	Fuldmånens sværd +5
296	Fuldmånens sværd +6
297	Fuldmånens sværd +7
298	Fuldmånens sværd +8
299	Fuldmånens sværd +9
460	Runesværd +0
461	Runesværd +1
462	Runesværd +2
463	Runesværd +3
464	Runesværd +4
465	Runesværd +5
466	Runesværd +6
467	Runesværd +7
468	Runesværd +8
469	Runesværd +9
470	Dragetandsblad +0
471	Dragetandsblad +1
472	Dragetandsblad +2
473	Dragetandsblad +3
474	Dragetandsblad +4
475	Dragetandsblad +5
476	Dragetandsblad +6
477	Dragetandsblad +7
478	Dragetandsblad +8
479	Dragetandsblad +9
1000	Dolk +0
1001	Dolk +1
1002	Dolk +2
1003	Dolk +3
1004	Dolk +4
1005	Dolk +5
1006	Dolk +6
1007	Dolk +7
1008	Dolk +8
1009	Dolk +9
1010	Kobradolk +0
1011	Kobradolk +1
1012	Kobradolk +2
1013	Kobradolk +3
1014	Kobradolk +4
1015	Kobradolk +5
1016	Kobradolk +6
1017	Kobradolk +7
1018	Kobradolk +8
1019	Kobradolk +9
1020	Saksedolk +0
1021	Saksedolk +1
1022	Saksedolk +2
1023	Saksedolk +3
1024	Saksedolk +4
1025	Saksedolk +5
1026	Saksedolk +6
1027	Saksedolk +7
1028	Saksedolk +8
1029	Saksedolk +9
1030	Heldighedens kniv +0
1031	Heldighedens kniv +1
1032	Heldighedens kniv +2
1033	Heldighedens kniv +3
1034	Heldighedens kniv +4
1035	Heldighedens kniv +5
1036	Heldighedens kniv +6
1037	Heldighedens kniv +7
1038	Heldighedens kniv +8
1039	Heldighedens kniv +9
1040	Kattebids kniv +0
1041	Kattebids kniv +1
1042	Kattebids kniv +2
1043	Kattebids kniv +3
1044	Kattebids kniv +4
1045	Kattebids kniv +5
1046	Kattebids kniv +6
1047	Kattebids kniv +7
1048	Kattebids kniv +8
1049	Kattebids kniv +9
1050	Djævelens maskedolk +0
1051	Djævelens maskedolk +1
1052	Djævelens maskedolk +2
1053	Djævelens maskedolk +3
1054	Djævelens maskedolk +4
1055	Djævelens maskedolk +5
1056	Djævelens maskedolk +6
1057	Djævelens maskedolk +7
1058	Djævelens maskedolk +8
1059	Djævelens maskedolk +9
1060	Djævelens nævedolk +0
1061	Djævelens nævedolk +1
1062	Djævelens nævedolk +2
1063	Djævelens nævedolk +3
1064	Djævelens nævedolk +4
1065	Djævelens nævedolk +5
1066	Djævelens nævedolk +6
1067	Djævelens nævedolk +7
1068	Djævelens nævedolk +8
1069	Djævelens nævedolk +9
1070	Blodig dolk +0
1071	Blodig dolk +1
1072	Blodig dolk +2
1073	Blodig dolk +3
1074	Blodig dolk +4
1075	Blodig dolk +5
1076	Blodig dolk +6
1077	Blodig dolk +7
1078	Blodig dolk +8
1079	Blodig dolk +9
1080	Ribbenkniv +0
1081	Ribbenkniv +1
1082	Ribbenkniv +2
1083	Ribbenkniv +3
1084	Ribbenkniv +4
1085	Ribbenkniv +5
1086	Ribbenkniv +6
1087	Ribbenkniv +7
1088	Ribbenkniv +8
1089	Ribbenkniv +9
1090	Chakram +0
1091	Chakram +1
1092	Chakram +2
1093	Chakram +3
1094	Chakram +4
1095	Chakram +5
1096	Chakram +6
1097	Chakram +7
1098	Chakram +8
1099	Chakram +9
1100	Dragekniv +0
1101	Dragekniv +1
1102	Dragekniv +2
1103	Dragekniv +3
1104	Dragekniv +4
1105	Dragekniv +5
1106	Dragekniv +6
1107	Dragekniv +7
1108	Dragekniv +8
1109	Dragekniv +9
1110	Lynets kniv +0
1111	Lynets kniv +1
1112	Lynets kniv +2
1113	Lynets kniv +3
1114	Lynets kniv +4
1115	Lynets kniv +5
1116	Lynets kniv +6
1117	Lynets kniv +7
1118	Lynets kniv +8
1119	Lynets kniv +9
1120	Siameserkniv +0
1121	Siameserkniv +1
1122	Siameserkniv +2
1123	Siameserkniv +3
1124	Siameserkniv +4
1125	Siameserkniv +5
1126	Siameserkniv +6
1127	Siameserkniv +7
1128	Siameserkniv +8
1129	Siameserkniv +9
1130	Djævlevinge-Chakram +0
1131	Djævlevinge-Chakram +1
1132	Djævlevinge-Chakram +2
1133	Djævlevinge-Chakram +3
1134	Djævlevinge-Chakram +4
1135	Djævlevinge-Chakram +5
1136	Djævlevinge-Chakram +6
1137	Djævlevinge-Chakram +7
1138	Djævlevinge-Chakram +8
1139	Djævlevinge-Chakram +9
1140	Savtandskniv +0
1141	Savtandskniv +1
1142	Savtandskniv +2
1143	Savtandskniv +3
1144	Savtandskniv +4
1145	Savtandskniv +5
1146	Savtandskniv +6
1147	Savtandskniv +7
1148	Savtandskniv +8
1149	Savtandskniv +9
1150	Solstrålernes kniv +0
1151	Solstrålernes kniv +1
1152	Solstrålernes kniv +2
1153	Solstrålernes kniv +3
1154	Solstrålernes kniv +4
1155	Solstrålernes kniv +5
1156	Solstrålernes kniv +6
1157	Solstrålernes kniv +7
1158	Solstrålernes kniv +8
1159	Solstrålernes kniv +9
1160	Rinsaldolk +0
1161	Rinsaldolk +1
1162	Rinsaldolk +2
1163	Rinsaldolk +3
1164	Rinsaldolk +4
1165	Rinsaldolk +5
1166	Rinsaldolk +6
1167	Rinsaldolk +7
1168	Rinsaldolk +8
1169	Rinsaldolk +9
1170	Sortbladsdolk +0
1171	Sortbladsdolk +1
1172	Sortbladsdolk +2
1173	Sortbladsdolk +3
1174	Sortbladsdolk +4
1175	Sortbladsdolk +5
1176	Sortbladsdolk +6
1177	Sortbladsdolk +7
1178	Sortbladsdolk +8
1179	Sortbladsdolk +9
1340	Femte Elements Klinge +0
1341	Femte Elements Klinge +1
1342	Femte Elements Klinge +2
1343	Femte Elements Klinge +3
1344	Femte Elements Klinge +4
1345	Femte Elements Klinge +5
1346	Femte Elements Klinge +6
1347	Femte Elements Klinge +7
1348	Femte Elements Klinge +8
1349	Femte Elements Klinge +9
2000	Bue +0
2001	Bue +1
2002	Bue +2
2003	Bue +3
2004	Bue +4
2005	Bue +5
2006	Bue +6
2007	Bue +7
2008	Bue +8
2009	Bue +9
2010	Langbue +0
2011	Langbue +1
2012	Langbue +2
2013	Langbue +3
2014	Langbue +4
2015	Langbue +5
2016	Langbue +6
2017	Langbue +7
2018	Langbue +8
2019	Langbue +9
2020	Kompositbue +0
2021	Kompositbue +1
2022	Kompositbue +2
2023	Kompositbue +3
2024	Kompositbue +4
2025	Kompositbue +5
2026	Kompositbue +6
2027	Kompositbue +7
2028	Kompositbue +8
2029	Kompositbue +9
2030	Krigsbue +0
2031	Krigsbue +1
2032	Krigsbue +2
2033	Krigsbue +3
2034	Krigsbue +4
2035	Krigsbue +5
2036	Krigsbue +6
2037	Krigsbue +7
2038	Krigsbue +8
2039	Krigsbue +9
2040	Riddernes langbue +0
2041	Riddernes langbue +1
2042	Riddernes langbue +2
2043	Riddernes langbue +3
2044	Riddernes langbue +4
2045	Riddernes langbue +5
2046	Riddernes langbue +6
2047	Riddernes langbue +7
2048	Riddernes langbue +8
2049	Riddernes langbue +9
2050	Riddernes krigsbue +0
2051	Riddernes krigsbue +1
2052	Riddernes krigsbue +2
2053	Riddernes krigsbue +3
2054	Riddernes krigsbue +4
2055	Riddernes krigsbue +5
2056	Riddernes krigsbue +6
2057	Riddernes krigsbue +7
2058	Riddernes krigsbue +8
2059	Riddernes krigsbue +9
2060	Kobberudsmykket bue +0
2061	Kobberudsmykket bue +1
2062	Kobberudsmykket bue +2
2063	Kobberudsmykket bue +3
2064	Kobberudsmykket bue +4
2065	Kobberudsmykket bue +5
2066	Kobberudsmykket bue +6
2067	Kobberudsmykket bue +7
2068	Kobberudsmykket bue +8
2069	Kobberudsmykket bue +9
2070	Ødelæggelsesbue +0
2071	Ødelæggelsesbue +1
2072	Ødelæggelsesbue +2
2073	Ødelæggelsesbue +3
2074	Ødelæggelsesbue +4
2075	Ødelæggelsesbue +5
2076	Ødelæggelsesbue +6
2077	Ødelæggelsesbue +7
2078	Ødelæggelsesbue +8
2079	Ødelæggelsesbue +9
2080	Rødøjebue +0
2081	Rødøjebue +1
2082	Rødøjebue +2
2083	Rødøjebue +3
2084	Rødøjebue +4
2085	Rødøjebue +5
2086	Rødøjebue +6
2087	Rødøjebue +7
2088	Rødøjebue +8
2089	Rødøjebue +9
2090	Tornbladets bue +0
