VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Espada +0
11	Espada +1
12	Espada +2
13	Espada +3
14	Espada +4
15	Espada +5
16	Espada +6
17	Espada +7
18	Espada +8
19	Espada +9
20	Espada Larga +0
21	Espada Larga +1
22	Espada Larga +2
23	Espada Larga +3
24	Espada Larga +4
25	Espada Larga +5
26	Espada Larga +6
27	Espada Larga +7
28	Espada Larga +8
29	Espada Larga +9
30	Espada Creciente +0
31	Espada Creciente +1
32	Espada Creciente +2
33	Espada Creciente +3
34	Espada Creciente +4
35	Espada Creciente +5
36	Espada Creciente +6
37	Espada Creciente +7
38	Espada Creciente +8
39	Espada Creciente +9
40	Espada de Bambú +0
41	Espada de Bambú +1
42	Espada de Bambú +2
43	Espada de Bambú +3
44	Espada de Bambú +4
45	Espada de Bambú +5
46	Espada de Bambú +6
47	Espada de Bambú +7
48	Espada de Bambú +8
49	Espada de Bambú +9
50	Espada Ancha +0
51	Espada Ancha +1
52	Espada Ancha +2
53	Espada Ancha +3
54	Espada Ancha +4
55	Espada Ancha +5
56	Espada Ancha +6
57	Espada Ancha +7
58	Espada Ancha +8
59	Espada Ancha +9
60	Espada de Plata +0
61	Espada de Plata +1
62	Espada de Plata +2
63	Espada de Plata +3
64	Espada de Plata +4
65	Espada de Plata +5
66	Espada de Plata +6
67	Espada de Plata +7
68	Espada de Plata +8
69	Espada de Plata +9
70	Espada de Orquídea +0
71	Espada de Orquídea +1
72	Espada de Orquídea +2
73	Espada de Orquídea +3
74	Espada de Orquídea +4
75	Espada de Orquídea +5
76	Espada de Orquídea +6
77	Espada de Orquídea +7
78	Espada de Orquídea +8
79	Espada de Orquídea +9
80	Espada Bastarda +0
81	Espada Bastarda +1
82	Espada Bastarda +2
83	Espada Bastarda +3
84	Espada Bastarda +4
85	Espada Bastarda +5
86	Espada Bastarda +6
87	Espada Bastarda +7
88	Espada Bastarda +8
89	Espada Bastarda +9
90	Espada Bárbara +0
91	Espada Bárbara +1
92	Espada Bárbara +2
93	Espada Bárbara +3
94	Espada Bárbara +4
95	Espada Bárbara +5
96	Espada Bárbara +6
97	Espada Bárbara +7
98	Espada Bárbara +8
99	Espada Bárbara +9
100	Espada Sangrienta +0
101	Espada Sangrienta +1
102	Espada Sangrienta +2
103	Espada Sangrienta +3
104	Espada Sangrienta +4
105	Espada Sangrienta +5
106	Espada Sangrienta +6
107	Espada Sangrienta +7
108	Espada Sangrienta +8
109	Espada Sangrienta +9
110	Gran Espada +0
111	Gran Espada +1
112	Gran Espada +2
113	Gran Espada +3
114	Gran Espada +4
115	Gran Espada +5
116	Gran Espada +6
117	Gran Espada +7
118	Gran Espada +8
119	Gran Espada +9
120	Espada Brujo Volador +0
121	Espada Brujo Volador +1
122	Espada Brujo Volador +2
123	Espada Brujo Volador +3
124	Espada Brujo Volador +4
125	Espada Brujo Volador +5
126	Espada Brujo Volador +6
127	Espada Brujo Volador +7
128	Espada Brujo Volador +8
129	Espada Brujo Volador +9
130	Espada Media Luna +0
131	Espada Media Luna +1
132	Espada Media Luna +2
133	Espada Media Luna +3
134	Espada Media Luna +4
135	Espada Media Luna +5
136	Espada Media Luna +6
137	Espada Media Luna +7
138	Espada Media Luna +8
139	Espada Media Luna +9
140	Espada de Batalla +0
141	Espada de Batalla +1
142	Espada de Batalla +2
143	Espada de Batalla +3
144	Espada de Batalla +4
145	Espada de Batalla +5
146	Espada de Batalla +6
147	Espada de Batalla +7
148	Espada de Batalla +8
149	Espada de Batalla +9
150	Hoja Colmillo Fantasma+0
151	Hoja Colmillo Fantasma+1
152	Hoja Colmillo Fantasma+2
153	Hoja Colmillo Fantasma+3
154	Hoja Colmillo Fantasma+4
155	Hoja Colmillo Fantasma+5
156	Hoja Colmillo Fantasma+6
157	Hoja Colmillo Fantasma+7
158	Hoja Colmillo Fantasma+8
159	Hoja Colmillo Fantasma+9
160	Espada Ninfa +0
161	Espada Ninfa +1
162	Espada Ninfa +2
163	Espada Ninfa +3
164	Espada Ninfa +4
165	Espada Ninfa +5
166	Espada Ninfa +6
167	Espada Ninfa +7
168	Espada Ninfa +8
169	Espada Ninfa +9
170	Espada Picadura +0
171	Espada Picadura +1
172	Espada Picadura +2
173	Espada Picadura +3
174	Espada Picadura +4
175	Espada Picadura +5
176	Espada Picadura +6
177	Espada Picadura +7
178	Espada Picadura +8
179	Espada Picadura +9
180	Espada Envenenada +0
181	Espada Envenenada +1
182	Espada Envenenada +2
183	Espada Envenenada +3
184	Espada Envenenada +4
185	Espada Envenenada +5
186	Espada Envenenada +6
187	Espada Envenenada +7
188	Espada Envenenada +8
189	Espada Envenenada +9
190	Espada León +0
191	Espada León +1
192	Espada León +2
193	Espada León +3
194	Espada León +4
195	Espada León +5
196	Espada León +6
197	Espada León +7
198	Espada León +8
199	Espada León +9
200	Espada Límite +0
201	Espada Límite +1
202	Espada Límite +2
203	Espada Límite +3
204	Espada Límite +4
205	Espada Límite +5
206	Espada Límite +6
207	Espada Límite +7
208	Espada Límite +8
209	Espada Límite +9
210	Espada Mortífera +0
211	Espada Mortífera +1
212	Espada Mortífera +2
213	Espada Mortífera +3
214	Espada Mortífera +4
215	Espada Mortífera +5
216	Espada Mortífera +6
217	Espada Mortífera +7
218	Espada Mortífera +8
219	Espada Mortífera +9
220	Espada Lunar +0
221	Espada Lunar +1
222	Espada Lunar +2
223	Espada Lunar +3
224	Espada Lunar +4
225	Espada Lunar +5
226	Espada Lunar +6
227	Espada Lunar +7
228	Espada Lunar +8
229	Espada Lunar +9
230	Espada Celestial +0
231	Espada Celestial +1
232	Espada Celestial +2
233	Espada Celestial +3
234	Espada Celestial +4
235	Espada Celestial +5
236	Espada Celestial +6
237	Espada Celestial +7
238	Espada Celestial +8
239	Espada Celestial +9
240	Espada Exorcismo +0
241	Espada Exorcismo +1
242	Espada Exorcismo +2
243	Espada Exorcismo +3
244	Espada Exorcismo +4
245	Espada Exorcismo +5
246	Espada Exorcismo +6
247	Espada Exorcismo +7
248	Espada Exorcismo +8
249	Espada Exorcismo +9
250	Espada Demonio +0
251	Espada Demonio +1
252	Espada Demonio +2
253	Espada Demonio +3
254	Espada Demonio +4
255	Espada Demonio +5
256	Espada Demonio +6
257	Espada Demonio +7
258	Espada Demonio +8
259	Espada Demonio +9
260	Espada Barón +0
261	Espada Barón +1
262	Espada Barón +2
263	Espada Barón +3
264	Espada Barón +4
265	Espada Barón +5
266	Espada Barón +6
267	Espada Barón +7
268	Espada Barón +8
269	Espada Barón +9
270	Espada Tritón +0
271	Espada Tritón +1
272	Espada Tritón +2
273	Espada Tritón +3
274	Espada Tritón +4
275	Espada Tritón +5
276	Espada Tritón +6
277	Espada Tritón +7
278	Espada Tritón +8
279	Espada Tritón +9
280	Espada Santa +0
281	Espada Santa +1
282	Espada Santa +2
283	Espada Santa +3
284	Espada Santa +4
285	Espada Santa +5
286	Espada Santa +6
287	Espada Santa +7
288	Espada Santa +8
289	Espada Santa +9
290	Espada Luna Llena +0
291	Espada Luna Llena +1
292	Espada Luna Llena +2
293	Espada Luna Llena +3
294	Espada Luna Llena +4
295	Espada Luna Llena +5
296	Espada Luna Llena +6
297	Espada Luna Llena +7
298	Espada Luna Llena +8
299	Espada Luna Llena +9
460	Espada rúnica+0
461	Espada rúnica+1
462	Espada rúnica+2
463	Espada rúnica+3
464	Espada rúnica+4
465	Espada rúnica+5
466	Espada rúnica+6
467	Espada rúnica+7
468	Espada rúnica+8
469	Espada rúnica+9
470	Hoja diente de dragón+0
471	Hoja diente de dragón+1
472	Hoja diente de dragón+2
473	Hoja diente de dragón+3
474	Hoja diente de dragón+4
475	Hoja diente de dragón+5
476	Hoja diente de dragón+6
477	Hoja diente de dragón+7
478	Hoja diente de dragón+8
479	Hoja diente de dragón+9
1000	Daga +0
1001	Daga +1
1002	Daga +2
1003	Daga +3
1004	Daga +4
1005	Daga +5
1006	Daga +6
1007	Daga +7
1008	Daga +8
1009	Daga +9
1010	Daga Cobra +0
1011	Daga Cobra +1
1012	Daga Cobra +2
1013	Daga Cobra +3
1014	Daga Cobra +4
1015	Daga Cobra +5
1016	Daga Cobra +6
1017	Daga Cobra +7
1018	Daga Cobra +8
1019	Daga Cobra +9
1020	Daga Tijera +0
1021	Daga Tijera +1
1022	Daga Tijera +2
1023	Daga Tijera +3
1024	Daga Tijera +4
1025	Daga Tijera +5
1026	Daga Tijera +6
1027	Daga Tijera +7
1028	Daga Tijera +8
1029	Daga Tijera +9
1030	Daga Afortunada +0
1031	Daga Afortunada +1
1032	Daga Afortunada +2
1033	Daga Afortunada +3
1034	Daga Afortunada +4
1035	Daga Afortunada +5
1036	Daga Afortunada +6
1037	Daga Afortunada +7
1038	Daga Afortunada +8
1039	Daga Afortunada +9
1040	Daga Mordisco de Gato +0
1041	Daga Mordisco de Gato +1
1042	Daga Mordisco de Gato +2
1043	Daga Mordisco de Gato +3
1044	Daga Mordisco de Gato +4
1045	Daga Mordisco de Gato +5
1046	Daga Mordisco de Gato +6
1047	Daga Mordisco de Gato +7
1048	Daga Mordisco de Gato +8
1049	Daga Mordisco de Gato +9
1050	Daga Máscara Diablo +0
1051	Daga Máscara Diablo +1
1052	Daga Máscara Diablo +2
1053	Daga Máscara Diablo +3
1054	Daga Máscara Diablo +4
1055	Daga Máscara Diablo +5
1056	Daga Máscara Diablo +6
1057	Daga Máscara Diablo +7
1058	Daga Máscara Diablo +8
1059	Daga Máscara Diablo +9
1060	Daga Puño Diablo +0
1061	Daga Puño Diablo +1
1062	Daga Puño Diablo +2
1063	Daga Puño Diablo +3
1064	Daga Puño Diablo +4
1065	Daga Puño Diablo +5
1066	Daga Puño Diablo +6
1067	Daga Puño Diablo +7
1068	Daga Puño Diablo +8
1069	Daga Puño Diablo +9
1070	Daga Sangrienta +0
1071	Daga Sangrienta +1
1072	Daga Sangrienta +2
1073	Daga Sangrienta +3
1074	Daga Sangrienta +4
1075	Daga Sangrienta +5
1076	Daga Sangrienta +6
1077	Daga Sangrienta +7
1078	Daga Sangrienta +8
1079	Daga Sangrienta +9
1080	Daga Costilla +0
1081	Daga Costilla +1
1082	Daga Costilla +2
1083	Daga Costilla +3
1084	Daga Costilla +4
1085	Daga Costilla +5
1086	Daga Costilla +6
1087	Daga Costilla +7
1088	Daga Costilla +8
1089	Daga Costilla +9
1090	Chakram +0
1091	Chakram +1
1092	Chakram +2
1093	Chakram +3
1094	Chakram +4
1095	Chakram +5
1096	Chakram +6
1097	Chakram +7
1098	Chakram +8
1099	Chakram +9
1100	Daga Dragón +0
1101	Daga Dragón +1
1102	Daga Dragón +2
1103	Daga Dragón +3
1104	Daga Dragón +4
1105	Daga Dragón +5
1106	Daga Dragón +6
1107	Daga Dragón +7
1108	Daga Dragón +8
1109	Daga Dragón +9
1110	Daga Relámpago +0
1111	Daga Relámpago +1
1112	Daga Relámpago +2
1113	Daga Relámpago +3
1114	Daga Relámpago +4
1115	Daga Relámpago +5
1116	Daga Relámpago +6
1117	Daga Relámpago +7
1118	Daga Relámpago +8
1119	Daga Relámpago +9
1120	Daga Siamesa +0
1121	Daga Siamesa +1
1122	Daga Siamesa +2
1123	Daga Siamesa +3
1124	Daga Siamesa +4
1125	Daga Siamesa +5
1126	Daga Siamesa +6
1127	Daga Siamesa +7
1128	Daga Siamesa +8
1129	Daga Siamesa +9
1130	Chakram Ala Demonio +0
1131	Chakram Ala Demonio +1
1132	Chakram Ala Demonio +2
1133	Chakram Ala Demonio +3
1134	Chakram Ala Demonio +4
1135	Chakram Ala Demonio +5
1136	Chakram Ala Demonio +6
1137	Chakram Ala Demonio +7
1138	Chakram Ala Demonio +8
1139	Chakram Ala Demonio +9
1140	Daga Diente de Sierra +0
1141	Daga Diente de Sierra +1
1142	Daga Diente de Sierra +2
1143	Daga Diente de Sierra +3
1144	Daga Diente de Sierra +4
1145	Daga Diente de Sierra +5
1146	Daga Diente de Sierra +6
1147	Daga Diente de Sierra +7
1148	Daga Diente de Sierra +8
1149	Daga Diente de Sierra +9
1150	Daga Luz del Sol +0
1151	Daga Luz del Sol +1
1152	Daga Luz del Sol +2
1153	Daga Luz del Sol +3
1154	Daga Luz del Sol +4
1155	Daga Luz del Sol +5
1156	Daga Luz del Sol +6
1157	Daga Luz del Sol +7
1158	Daga Luz del Sol +8
1159	Daga Luz del Sol +9
1160	Daga Arroyo +0
1161	Daga Arroyo +1
1162	Daga Arroyo +2
1163	Daga Arroyo +3
1164	Daga Arroyo +4
1165	Daga Arroyo +5
1166	Daga Arroyo +6
1167	Daga Arroyo +7
1168	Daga Arroyo +8
1169	Daga Arroyo +9
1170	Dirk Hoja Negra +0
1171	Dirk Hoja Negra +1
1172	Dirk Hoja Negra +2
1173	Dirk Hoja Negra +3
1174	Dirk Hoja Negra +4
1175	Dirk Hoja Negra +5
1176	Dirk Hoja Negra +6
1177	Dirk Hoja Negra +7
1178	Dirk Hoja Negra +8
1179	Dirk Hoja Negra +9
1340	Hoja cinco elementos+0
1341	Hoja cinco elementos+1
1342	Hoja cinco elementos+2
1343	Hoja cinco elementos+3
1344	Hoja cinco elementos+4
1345	Hoja cinco elementos+5
1346	Hoja cinco elementos+6
1347	Hoja cinco elementos+7
1348	Hoja cinco elementos+8
1349	Hoja cinco elementos+9
2000	Arco +0
2001	Arco +1
2002	Arco +2
2003	Arco +3
2004	Arco +4
2005	Arco +5
2006	Arco +6
2007	Arco +7
2008	Arco +8
2009	Arco +9
2010	Arco Largo +0
2011	Arco Largo +1
2012	Arco Largo +2
2013	Arco Largo +3
2014	Arco Largo +4
2015	Arco Largo +5
2016	Arco Largo +6
2017	Arco Largo +7
2018	Arco Largo +8
2019	Arco Largo +9
2020	Arco Compuesto +0
2021	Arco Compuesto +1
2022	Arco Compuesto +2
2023	Arco Compuesto +3
2024	Arco Compuesto +4
2025	Arco Compuesto +5
2026	Arco Compuesto +6
2027	Arco Compuesto +7
2028	Arco Compuesto +8
2029	Arco Compuesto +9
2030	Arco de Batalla +0
2031	Arco de Batalla +1
2032	Arco de Batalla +2
2033	Arco de Batalla +3
2034	Arco de Batalla +4
2035	Arco de Batalla +5
2036	Arco de Batalla +6
2037	Arco de Batalla +7
2038	Arco de Batalla +8
2039	Arco de Batalla +9
2040	Arco Largo de  Montar +0
2041	Arco Largo de  Montar +1
2042	Arco Largo de  Montar +2
2043	Arco Largo de  Montar +3
2044	Arco Largo de  Montar +4
2045	Arco Largo de  Montar +5
2046	Arco Largo de  Montar +6
2047	Arco Largo de  Montar +7
2048	Arco Largo de  Montar +8
2049	Arco Largo de  Montar +9
2050	Arco de Bat. de Monta +0
2051	Arco de Bat. de Monta +1
2052	Arco de Bat. de Monta +2
2053	Arco de Bat. de Monta +3
2054	Arco de Bat. de Monta +4
2055	Arco de Bat. de Monta +5
2056	Arco de Bat. de Monta +6
2057	Arco de Bat. de Monta +7
2058	Arco de Bat. de Monta +8
2059	Arco de Bat. de Monta +9
2060	Arco Cobre Artesanal +0
