VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	kard+0
11	kard+1
12	kard+2
13	kard+3
14	Kard+4
15	Kard+5
16	Kard+6
17	Kard+7
18	Kard+8
19	Kard+9
20	Hosszú Kard+0
21	Hosszú Kard+1
22	Hosszú Kard+2
23	Hosszú Kard+3
24	Hosszú Kard+4
25	Hosszú Kard+5
26	Hosszú Kard+6
27	Hosszú Kard+7
28	Hosszú Kard+8
29	Hosszú Kard+9
30	Sarló kard+0
31	Sarló kard+1
32	Sarló kard+2
33	Sarló kard+3
34	Sarló kard+4
35	Sarló kard+5
36	Sarló kard+6
37	Sarló kard+7
38	Sarló kard+8
39	Sarló kard+9
40	Bambuszkard+0
41	Bambuszkard+1
42	Bambuszkard+2
43	Bambuszkard+3
44	Bambuszkard+4
45	Bambuszkard+5
46	Bambuszkard+6
47	Bambuszkard+7
48	Bambuszkard+8
49	Bambuszkard+9
50	Széles Kard+0
51	Széles Kard+1
52	Széles Kard+2
53	Széles Kard+3
54	Széles Kard+4
55	Széles Kard+5
56	Széles Kard+6
57	Széles Kard+7
58	Széles Kard+8
59	Széles Kard+9
60	Ezüst Kard+0
61	Ezüst Kard+1
62	Ezüst Kard+2
63	Ezüst Kard+3
64	Ezüst Kard+4
65	Ezüst Kard+5
66	Ezüst Kard+6
67	Ezüst Kard+7
68	Ezüst Kard+8
69	Ezüst Kard+9
70	Orchideakard+0
71	Orchideakard+1
72	Orchideakard+2
73	Orchideakard+3
74	Orchideakard+4
75	Orchideakard+5
76	Orchideakard+6
77	Orchideakard+7
78	Orchideakard+8
79	Orchideakard+9
80	másfélkezes kard+0
81	másfélkezes kard+1
82	másfélkezes kard+2
83	másfélkezes kard+3
84	másfélkezes kard+4
85	másfélkezes kard+5
86	másfélkezes kard+6
87	másfélkezes kard+7
88	másfélkezes kard+8
89	másfélkezes kard+9
90	barbár kard+0
91	barbár kard+1
92	barbár kard+2
93	barbár kard+3
94	barbár kard+4
95	barbár kard+5
96	barbár kard+6
97	barbár kard+7
98	barbár kard+8
99	barbár kard+9
100	véres kard+0
101	véres kard+1
102	véres kard+2
103	véres kard+3
104	véres kard+4
105	véres kard+5
106	véres kard+6
107	véres kard+7
108	véres kard+8
109	véres kard+9
110	nagy kard+0
111	nagy kard+1
112	nagy kard+2
113	nagy kard+3
114	nagy kard+4
115	nagy kard+5
116	nagy kard+6
117	nagy kard+7
118	nagy kard+8
119	nagy kard+9
120	varázslókard+0
121	varázslókard+1
122	varázslókard+2
123	varázslókard+3
124	varázslókard+4
125	varázslókard+5
126	varázslókard+6
127	varázslókard+7
128	varázslókard+8
129	varázslókard+9
130	félhold kard+0
131	félhold kard+1
132	félhold kard+2
133	félhold kard+3
134	félhold kard+4
135	félhold kard+5
136	félhold kard+6
137	félhold kard+7
138	félhold kard+8
139	félhold kard+9
140	csatakard+0
141	csatakard+1
142	csatakard+2
143	csatakard+3
144	csatakard+4
145	csatakard+5
146	csatakard+6
147	csatakard+7
148	csatakard+8
149	csatakard+9
150	Szellemfog penge+0
151	Szellemfog penge+1
152	Szellemfog penge+2
153	Szellemfog penge+3
154	Szellemfog penge+4
155	Szellemfog penge+5
156	Szellemfog penge+6
157	Szellemfog penge+7
158	Szellemfog penge+8
159	Szellemfog penge+9
160	tünde kard+0
161	tünde kard+1
162	tünde kard+2
163	tünde kard+3
164	tünde kard+4
165	tünde kard+5
166	tünde kard+6
167	tünde kard+7
168	tünde kard+8
169	tünde kard+9
170	fullánk kard+0
171	fullánk kard+1
172	fullánk kard+2
173	fullánk kard+3
174	fullánk kard+4
175	fullánk kard+5
176	fullánk kard+6
177	fullánk kard+7
178	fullánk kard+8
179	fullánk kard+9
180	méregkard+0
181	méregkard+1
182	méregkard+2
183	méregkard+3
184	méregkard+4
185	méregkard+5
186	méregkard+6
187	méregkard+7
188	méregkard+8
189	méregkard+9
190	oroszlánkard+0
191	oroszlánkard+1
192	oroszlánkard+2
193	oroszlánkard+3
194	oroszlánkard+4
195	oroszlánkard+5
196	oroszlánkard+6
197	oroszlánkard+7
198	oroszlánkard+8
199	oroszlánkard+9
200	Vágó penge+0
201	Vágó penge+1
202	Vágó penge+2
203	Vágó penge+3
204	Vágó penge+4
205	Vágó penge+5
206	Vágó penge+6
207	Vágó penge+7
208	Vágó penge+8
209	Vágó penge+9
210	halálos penge+0
211	halálos penge+1
212	halálos penge+2
213	halálos penge+3
214	halálos penge+4
215	halálos penge+5
216	halálos penge+6
217	halálos penge+7
218	halálos penge+8
219	halálos penge+9
220	hold kard+0
221	hold kard+1
222	hold kard+2
223	hold kard+3
224	hold kard+4
225	hold kard+5
226	hold kard+6
227	hold kard+7
228	hold kard+8
229	hold kard+9
230	mennyei kard+0
231	mennyei kard+1
232	mennyei kard+2
233	mennyei kard+3
234	mennyei kard+4
235	mennyei kard+5
236	mennyei kard+6
237	mennyei kard+7
238	mennyei kard+8
239	mennyei kard+9
240	Ördögûzõ kard+0
241	Ördögûzõ kard+1
242	Ördögûzõ kard+2
243	Ördögûzõ kard+3
244	Ördögûzõ kard+4
245	Ördögûzõ kard+5
246	Ördögûzõ kard+6
247	Ördögûzõ kard+7
248	Ördögûzõ kard+8
249	Ördögûzõ kard+9
250	Démon penge+0
251	Démon penge+1
252	Démon penge+2
253	Démon penge+3
254	Démon penge+4
255	Démon penge+5
256	Démon penge+6
257	Démon penge+7
258	Démon penge+8
259	Démon penge+9
260	Báró kard+0
261	Báró kard+1
262	Báró kard+2
263	Báró kard+3
264	Báró kard+4
265	Báró kard+5
266	Báró kard+6
267	Báró kard+7
268	Báró kard+8
269	Báró kard+9
270	Triton kard+0
271	Triton kard+1
272	Triton kard+2
273	Triton kard+3
274	Triton kard+4
275	Triton kard+5
276	Triton kard+6
277	Triton kard+7
278	Triton kard+8
279	Triton kard+9
280	Szent Kard+0
281	Szent Kard+1
282	Szent Kard+2
283	Szent Kard+3
284	Szent Kard+4
285	Szent Kard+5
286	Szent Kard+6
287	Szent Kard+7
288	Szent Kard+8
289	Szent Kard+9
290	Telihold Kard+0
291	Telihold Kard+1
292	Telihold Kard+2
293	Telihold Kard+3
294	Telihold Kard+4
295	Telihold Kard+5
296	Telihold Kard+6
297	Telihold Kard+7
298	Telihold Kard+8
299	Telihold Kard+9
460	Rúnakard +0
461	Rúnakard +1
462	Rúnakard +2
463	Rúnakard +3
464	Rúnakard +4
465	Rúnakard +5
466	Rúnakard +6
467	Rúnakard +7
468	Rúnakard +8
469	Rúnakard +9
470	Sárkányfog-penge +0
471	Sárkányfog-penge +1
472	Sárkányfog-penge +2
473	Sárkányfog-penge +3
474	Sárkányfog-penge +4
475	Sárkányfog-penge +5
476	Sárkányfog-penge +6
477	Sárkányfog-penge +7
478	Sárkányfog-penge +8
479	Sárkányfog-penge +9
1000	Tõr+0
1001	Tõr+1
1002	Tõr+2
1003	Tõr+3
1004	Tõr+4
1005	Tõr+5
1006	Tõr+6
1007	Tõr+7
1008	Tõr+8
1009	Tõr+9
1010	Kobra tõr+0
1011	Kobra tõr+1
1012	Kobra tõr+2
1013	Kobra tõr+3
1014	Kobra tõr+4
1015	Kobra tõr+5
1016	Kobra tõr+6
1017	Kobra tõr+7
1018	Kobra tõr+8
1019	Kobra tõr+9
1020	Olló tõr+0
1021	Olló tõr+1
1022	Olló tõr+2
1023	Olló tõr+3
1024	Olló tõr+4
1025	Olló tõr+5
1026	Olló tõr+6
1027	Olló tõr+7
1028	Olló tõr+8
1029	Olló tõr+9
1030	Szerencse kés+0
1031	Szerencse kés+1
1032	Szerencse kés+2
1033	Szerencse kés+3
1034	Szerencse kés+4
1035	Szerencse kés+5
1036	Szerencse kés+6
1037	Szerencse kés+7
1038	Szerencse kés+8
1039	Szerencse kés+9
1040	Macskaharapás kés+0
1041	Macskaharapás kés+1
1042	Macskaharapás kés+2
1043	Macskaharapás kés+3
1044	Macskaharapás kés+4
1045	Macskaharapás kés+5
1046	Macskaharapás kés+6
1047	Macskaharapás kés+7
1048	Macskaharapás kés+8
1049	Macskaharapás kés+9
1050	Ördögálarc tõr+0
1051	Ördögálarc tõr+1
1052	Ördögálarc tõr+2
1053	Ördögálarc tõr+3
1054	Ördögálarc tõr+4
1055	Ördögálarc tõr+5
1056	Ördögálarc tõr+6
1057	Ördögálarc tõr+7
1058	Ördögálarc tõr+8
1059	Ördögálarc tõr+9
1060	Ördögmarok tõr+0
1061	Ördögmarok tõr+1
1062	Ördögmarok tõr+2
1063	Ördögmarok tõr+3
1064	Ördögmarok tõr+4
1065	Ördögmarok tõr+5
1066	Ördögmarok tõr+6
1067	Ördögmarok tõr+7
1068	Ördögmarok tõr+8
1069	Ördögmarok tõr+9
1070	Véres Tõr+0
1071	Véres Tõr+1
1072	Véres Tõr+2
1073	Véres Tõr+3
1074	Véres Tõr+4
1075	Véres Tõr+5
1076	Véres Tõr+6
1077	Véres Tõr+7
1078	Véres Tõr+8
1079	Véres Tõr+9
1080	Borda Kés+0
1081	Borda Kés+1
1082	Borda Kés+2
1083	Borda Kés+3
1084	Borda Kés+4
1085	Borda Kés+5
1086	Borda Kés+6
1087	Borda Kés+7
1088	Borda Kés+8
1089	Borda Kés+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Sárkány kés+0
1101	Sárkány kés+1
1102	Sárkány kés+2
1103	Sárkány kés+3
1104	Sárkány kés+4
1105	Sárkány kés+5
1106	Sárkány kés+6
1107	Sárkány kés+7
1108	Sárkány kés+8
1109	Sárkány kés+9
1110	Villám Kés+0
1111	Villám Kés+1
1112	Villám Kés+2
1113	Villám Kés+3
1114	Villám Kés+4
1115	Villám Kés+5
1116	Villám Kés+6
1117	Villám Kés+7
1118	Villám Kés+8
1119	Villám Kés+9
1120	Sziámi kés+0
1121	Sziámi kés+1
1122	Sziámi kés+2
1123	Sziámi kés+3
1124	Sziámi kés+4
1125	Sziámi kés+5
1126	Sziámi kés+6
1127	Sziámi kés+7
1128	Sziámi kés+8
1129	Sziámi kés+9
1130	Ördögszárny Chakram+0
1131	Ördögszárny Chakram+1
1132	Ördögszárny Chakram+2
1133	Ördögszárny Chakram+3
1134	Ördögszárny Chakram+4
1135	Ördögszárny Chakram+5
1136	Ördögszárny Chakram+6
1137	Ördögszárny Chakram+7
1138	Ördögszárny Chakram+8
1139	Ördögszárny Chakram+9
1140	Fûrészfog Kés+0
1141	Fûrészfog Kés+1
1142	Fûrészfog Kés+2
1143	Fûrészfog Kés+3
1144	Fûrészfog Kés+4
1145	Fûrészfog Kés+5
1146	Fûrészfog Kés+6
1147	Fûrészfog Kés+7
1148	Fûrészfog Kés+8
1149	Fûrészfog Kés+9
1150	Napfény Kés+0
1151	Napfény Kés+1
1152	Napfény Kés+2
1153	Napfény Kés+3
1154	Napfény Kés+4
1155	Napfény Kés+5
1156	Napfény Kés+6
1157	Napfény Kés+7
1158	Napfény Kés+8
1159	Napfény Kés+9
1160	Patak Kés+0
1161	Patak Kés+1
1162	Patak Kés+2
1163	Patak Kés+3
1164	Patak Kés+4
1165	Patak Kés+5
1166	Patak Kés+6
1167	Patak Kés+7
1168	Patak Kés+8
1169	Patak Kés+9
1170	Feketelevél tõr+0
1171	Feketelevél tõr+1
1172	Feketelevél tõr+2
1173	Feketelevél tõr+3
1174	Feketelevél tõr+4
1175	Feketelevél tõr+5
1176	Feketelevél tõr+6
1177	Feketelevél tõr+7
1178	Feketelevél tõr+8
1179	Feketelevél tõr+9
1340	Öt elem penge +0
1341	Öt elem penge +1
1342	Öt elem penge +2
1343	Öt elem penge +3
1344	Öt elem penge +4
1345	Öt elem penge +5
1346	Öt elem penge +6
1347	Öt elem penge +7
1348	Öt elem penge +8
1349	Öt elem penge +9
2000	Íj+0
2001	Íj+1
2002	Íj+2
2003	Íj+3
2004	Íj+4
2005	Íj+5
2006	Íj+6
2007	Íj+7
2008	Íj+8
2009	Íj+9
2010	Hosszú Íj+0
2011	Hosszú Íj+1
2012	Hosszú Íj+2
2013	Hosszú Íj+3
2014	Hosszú Íj+4
2015	Hosszú Íj+5
2016	Hosszú Íj+6
2017	Hosszú Íj+7
2018	Hosszú Íj+8
2019	Hosszú Íj+9
2020	Összetett íj+0
2021	Összetett íj+1
2022	Összetett íj+2
2023	Összetett íj+3
2024	Összetett íj+4
2025	Összetett íj+5
2026	Összetett íj+6
2027	Összetett íj+7
2028	Összetett íj+8
2029	Összetett íj+9
2030	Csata íj+0
2031	Csata íj+1
2032	Csata íj+2
2033	Csata íj+3
2034	Csata íj+4
2035	Csata íj+5
2036	Csata íj+6
2037	Csata íj+7
2038	Csata íj+8
2039	Csata íj+9
2040	Lovas hosszú íj+0
2041	Lovas hosszú íj+1
2042	Lovas hosszú íj+2
2043	Lovas hosszú íj+3
2044	Lovas hosszú íj+4
2045	Lovas hosszú íj+5
2046	Lovas hosszú íj+6
2047	Lovas hosszú íj+7
2048	Lovas hosszú íj+8
2049	Lovas hosszú íj+9
2050	Lovas csata íj+0
2051	Lovas csata íj+1
2052	Lovas csata íj+2
2053	Lovas csata íj+3
2054	Lovas csata íj+4
2055	Lovas csata íj+5
2056	Lovas csata íj+6
2057	Lovas csata íj+7
2058	Lovas csata íj+8
2059	Lovas csata íj+9
2060	Rézzel díszitett íj+0
2061	Rézzel díszitett íj+1
2062	Rézzel díszitett íj+2
2063	Rézzel díszitett íj+3
2064	Rézzel díszitett íj+4
2065	Rézzel díszitett íj+5
2066	Rézzel díszitett íj+6
2067	Rézzel díszitett íj+7
2068	Rézzel díszitett íj+8
2069	Rézzel díszitett íj+9
2070	Pusztító íj+0
2071	Pusztító íj+1
2072	Pusztító íj+2
2073	Pusztító íj+3
2074	Pusztító íj+4
2075	Pusztító íj+5
2076	Pusztító íj+6
2077	Pusztító íj+7
2078	Pusztító íj+8
2079	Pusztító íj+9
2080	Vörös szem íj+0
2081	Vörös szem íj+1
2082	Vörös szem íj+2
2083	Vörös szem íj+3
2084	Vörös szem íj+4
2085	Vörös szem íj+5
2086	Vörös szem íj+6
2087	Vörös szem íj+7
2088	Vörös szem íj+8
2089	Vörös szem íj+9
2090	Tüskelevél íj+0
2091	Tüskelevél íj+1
2092	Tüskelevél íj+2
2093	Tüskelevél íj+3
2094	Tüskelevél íj+4
2095	Tüskelevél íj+5
2096	Tüskelevél íj+6
2097	Tüskelevél íj+7
2098	Tüskelevél íj+8
2099	Tüskelevél íj+9
2100	Bikaszarv íj+0
2101	Bikaszarv íj+1
2102	Bikaszarv íj+2
2103	Bikaszarv íj+3
2104	Bikaszarv íj+4
2105	Bikaszarv íj+5
2106	Bikaszarv íj+6
2107	Bikaszarv íj+7
2108	Bikaszarv íj+8
2109	Bikaszarv íj+9
2110	Egyszarvú íj+0
2111	Egyszarvú íj+1
2112	Egyszarvú íj+2
2113	Egyszarvú íj+3
2114	Egyszarvú íj+4
