VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Zwaard+0
11	Zwaard+1
12	Zwaard+2
13	Zwaard+3
14	Zwaard+4
15	Zwaard+5
16	Zwaard+6
17	Zwaard+7
18	Zwaard+8
19	Zwaard+9
20	Langzwaard+0
21	Langzwaard+1
22	Langzwaard+2
23	Langzwaard+3
24	Langzwaard+4
25	Langzwaard+5
26	Langzwaard+6
27	Langzwaard+7
28	Langzwaard+8
29	Langzwaard+9
30	Sikkelzwaard+0
31	Sikkelzwaard+1
32	Sikkelzwaard+2
33	Sikkelzwaard+3
34	Sikkelzwaard+4
35	Sikkelzwaard+5
36	Sikkelzwaard+6
37	Sikkelzwaard+7
38	Sikkelzwaard+8
39	Sikkelzwaard+9
40	Bamboezwaard+0
41	Bamboezwaard+1
42	Bamboezwaard+2
43	Bamboezwaard+3
44	Bamboezwaard+4
45	Bamboezwaard+5
46	Bamboezwaard+6
47	Bamboezwaard+7
48	Bamboezwaard+8
49	Bamboezwaard+9
50	Breed Zwaard+0
51	Breed Zwaard+1
52	Breed Zwaard+2
53	Breed Zwaard+3
54	Breed Zwaard+4
55	Breed Zwaard+5
56	Breed Zwaard+6
57	Breed Zwaard+7
58	Breed Zwaard+8
59	Breed Zwaard+9
60	Zilveren Zwaard+0
61	Zilveren Zwaard+1
62	Zilveren Zwaard+2
63	Zilveren Zwaard+3
64	Zilveren Zwaard+4
65	Zilveren Zwaard+5
66	Zilveren Zwaard+6
67	Zilveren Zwaard+7
68	Zilveren Zwaard+8
69	Zilveren Zwaard+9
70	Orchidee Zwaard+0
71	Orchidee Zwaard+1
72	Orchidee Zwaard+2
73	Orchidee Zwaard+3
74	Orchidee Zwaard+4
75	Orchidee Zwaard+5
76	Orchidee Zwaard+6
77	Orchidee Zwaard+7
78	Orchidee Zwaard+8
79	Orchidee Zwaard+9
80	Bastaard Zwaard+0
81	Bastaard Zwaard+1
82	Bastaard Zwaard+2
83	Bastaard Zwaard+3
84	Bastaard Zwaard+4
85	Bastaard Zwaard+5
86	Bastaard Zwaard+6
87	Bastaard Zwaard+7
88	Bastaard Zwaard+8
89	Bastaard Zwaard+9
90	Barbaren Zwaard+0
91	Barbaren Zwaard+1
92	Barbaren Zwaard+2
93	Barbaren Zwaard+3
94	Barbaren Zwaard+4
95	Barbaren Zwaard+5
96	Barbaren Zwaard+6
97	Barbaren Zwaard+7
98	Barbaren Zwaard+8
99	Barbaren Zwaard+9
100	Bloedige Zwaard+0
101	Bloedige Zwaard+1
102	Bloedige Zwaard+2
103	Bloedige Zwaard+3
104	Bloedige Zwaard+4
105	Bloedige Zwaard+5
106	Bloedige Zwaard+6
107	Bloedige Zwaard+7
108	Bloedige Zwaard+8
109	Bloedige Zwaard+9
110	Grote Zwaard+0
111	Grote Zwaard+1
112	Grote Zwaard+2
113	Grote Zwaard+3
114	Grote Zwaard+4
115	Grote Zwaard+5
116	Grote Zwaard+6
117	Grote Zwaard+7
118	Grote Zwaard+8
119	Grote Zwaard+9
120	Tovenaarszwaard+0
121	Tovenaarszwaard+1
122	Tovenaarszwaard+2
123	Tovenaarszwaard+3
124	Tovenaarszwaard+4
125	Tovenaarszwaard+5
126	Tovenaarszwaard+6
127	Tovenaarszwaard+7
128	Tovenaarszwaard+8
129	Tovenaarszwaard+9
130	Halvemaan Zwaard+0
131	Halvemaan Zwaard+1
132	Halvemaan Zwaard+2
133	Halvemaan Zwaard+3
134	Halvemaan Zwaard+4
135	Halvemaan Zwaard+5
136	Halvemaan Zwaard+6
137	Halvemaan Zwaard+7
138	Halvemaan Zwaard+8
139	Halvemaan Zwaard+9
140	Strijd Zwaard+0
141	Strijd Zwaard+1
142	Strijd Zwaard+2
143	Strijd Zwaard+3
144	Strijd Zwaard+4
145	Strijd Zwaard+5
146	Strijd Zwaard+6
147	Strijd Zwaard+7
148	Strijd Zwaard+8
149	Strijd Zwaard+9
150	Geest Tand Mes+0
151	Geest Tand Mes+1
152	Geest Tand Mes+2
153	Geest Tand Mes+3
154	Geest Tand Mes+4
155	Geest Tand Mes+5
156	Geest Tand Mes+6
157	Geest Tand Mes+7
158	Geest Tand Mes+8
159	Geest Tand Mes+9
160	Nimfenzwaard+0
161	Nimfenzwaard+1
162	Nimfenzwaard+2
163	Nimfenzwaard+3
164	Nimfenzwaard+4
165	Nimfenzwaard+5
166	Nimfenzwaard+6
167	Nimfenzwaard+7
168	Nimfenzwaard+8
169	Nimfenzwaard+9
170	Steek Zwaard+0
171	Steek Zwaard+1
172	Steek Zwaard+2
173	Steek Zwaard+3
174	Steek Zwaard+4
175	Steek Zwaard+5
176	Steek Zwaard+6
177	Steek Zwaard+7
178	Steek Zwaard+8
179	Steek Zwaard+9
180	Gif Zwaard+0
181	Gif Zwaard+1
182	Gif Zwaard+2
183	Gif Zwaard+3
184	Gif Zwaard+4
185	Gif Zwaard+5
186	Gif Zwaard+6
187	Gif Zwaard+7
188	Gif Zwaard+8
189	Gif Zwaard+9
190	Leeuwen Zwaard+0
191	Leeuwen Zwaard+1
192	Leeuwen Zwaard+2
193	Leeuwen Zwaard+3
194	Leeuwen Zwaard+4
195	Leeuwen Zwaard+5
196	Leeuwen Zwaard+6
197	Leeuwen Zwaard+7
198	Leeuwen Zwaard+8
199	Leeuwen Zwaard+9
200	Kerf Zwaard+0
201	Kerf Zwaard+1
202	Kerf Zwaard+2
203	Kerf Zwaard+3
204	Kerf Zwaard+4
205	Kerf Zwaard+5
206	Kerf Zwaard+6
207	Kerf Zwaard+7
208	Kerf Zwaard+8
209	Kerf Zwaard+9
210	Fatale Zwaard+0
211	Fatale Zwaard+1
212	Fatale Zwaard+2
213	Fatale Zwaard+3
214	Fatale Zwaard+4
215	Fatale Zwaard+5
216	Fatale Zwaard+6
217	Fatale Zwaard+7
218	Fatale Zwaard+8
219	Fatale Zwaard+9
220	Maan Zwaard+0
221	Maan Zwaard+1
222	Maan Zwaard+2
223	Maan Zwaard+3
224	Maan Zwaard+4
225	Maan Zwaard+5
226	Maan Zwaard+6
227	Maan Zwaard+7
228	Maan Zwaard+8
229	Maan Zwaard+9
230	Hemels Zwaard+0
231	Hemels Zwaard+1
232	Hemels Zwaard+2
233	Hemels Zwaard+3
234	Hemels Zwaard+4
235	Hemels Zwaard+5
236	Hemels Zwaard+6
237	Hemels Zwaard+7
238	Hemels Zwaard+8
239	Hemels Zwaard+9
240	Exorcisme Zwaard+0
241	Exorcisme Zwaard+1
242	Exorcisme Zwaard+2
243	Exorcisme Zwaard+3
244	Exorcisme Zwaard+4
245	Exorcisme Zwaard+5
246	Exorcisme Zwaard+6
247	Exorcisme Zwaard+7
248	Exorcisme Zwaard+8
249	Exorcisme Zwaard+9
250	Demonen Zwaard+0
251	Demonen Zwaard+1
252	Demonen Zwaard+2
253	Demonen Zwaard+3
254	Demonen Zwaard+4
255	Demonen Zwaard+5
256	Demonen Zwaard+6
257	Demonen Zwaard+7
258	Demonen Zwaard+8
259	Demonen Zwaard+9
260	Baron Zwaard+0
261	Baron Zwaard+1
262	Baron Zwaard+2
263	Baron Zwaard+3
264	Baron Zwaard+4
265	Baron Zwaard+5
266	Baron Zwaard+6
267	Baron Zwaard+7
268	Baron Zwaard+8
269	Baron Zwaard+9
270	Triton Zwaard+0
271	Triton Zwaard+1
272	Triton Zwaard+2
273	Triton Zwaard+3
274	Triton Zwaard+4
275	Triton Zwaard+5
276	Triton Zwaard+6
277	Triton Zwaard+7
278	Triton Zwaard+8
279	Triton Zwaard+9
280	Heilig Zwaard+0
281	Heilig Zwaard+1
282	Heilig Zwaard+2
283	Heilig Zwaard+3
284	Heilig Zwaard+4
285	Heilig Zwaard+5
286	Heilig Zwaard+6
287	Heilige Zwaard+7
288	Heilig Zwaard+8
289	Heilig Zwaard+9
290	Volle Maan Zwaard+0
291	Volle Maan Zwaard+1
292	Volle Maan Zwaard+2
293	Volle Maan Zwaard+3
294	Volle Maan Zwaard+4
295	Volle Maan Zwaard+5
296	Volle Maan Zwaard+6
297	Volle Maan Zwaard+7
298	Volle Maan Zwaard+8
299	Volle Maan Zwaard+9
460	Rune Zwaard +0
461	Rune Zwaard +1
462	Rune Zwaard +2
463	Rune Zwaard +3
464	Rune Zwaard +4
465	Rune Zwaard +5
466	Rune Zwaard +6
467	Rune Zwaard +7
468	Rune Zwaard +8
469	Rune Zwaard +9
470	Drakentand Mes +0
471	Drakentand Mes +1
472	Drakentand Mes +2
473	Drakentand Mes +3
474	Drakentand Mes +4
475	Drakentand Mes +5
476	Drakentand Mes +6
477	Drakentand Mes +7
478	Drakentand Mes +8
479	Drakentand Mes +9
1000	Dolk+0
1001	Dolk+1
1002	Dolk+2
1003	Dolk+3
1004	Dolk+4
1005	Dolk+5
1006	Dolk+6
1007	Dolk+7
1008	Dolk+8
1009	Dolk+9
1010	Cobra Dolk+0
1011	Cobra Dolk+1
1012	Cobra Dolk+2
1013	Cobra Dolk+3
1014	Cobra Dolk+4
1015	Cobra Dolk+5
1016	Cobra Dolk+6
1017	Cobra Dolk+7
1018	Cobra Dolk+8
1019	Cobra Dolk+9
1020	Schaar Dolk+0
1021	Schaar Dolk+1
1022	Schaar Dolk+2
1023	Schaar Dolk+3
1024	Schaar Dolk+4
1025	Schaar Dolk+5
1026	Schaar Dolk+6
1027	Schaar Dolk+7
1028	Schaar Dolk+8
1029	Schaar Dolk+9
1030	Geluksmes+0
1031	Geluksmes+1
1032	Geluksmes+2
1033	Geluksmes+3
1034	Geluksmes+4
1035	Geluksmes+5
1036	Geluksmes+6
1037	Geluksmes+7
1038	Geluksmes+8
1039	Geluksmes+9
1040	Kattenbeet Mes+0
1041	Kattenbeet Mes+1
1042	Kattenbeet Mes+2
1043	Kattenbeet Mes+3
1044	Kattenbeet Mes+4
1045	Kattenbeet Mes+5
1046	Kattenbeet Mes+6
1047	Kattenbeet Mes+7
1048	Kattenbeet Mes+8
1049	Kattenbeet Mes+9
1050	Duivelsgezicht Dolk+0
1051	Duivelsgezicht Dolk+1
1052	Duivelsgezicht Dolk+2
1053	Duivelsgezicht Dolk+3
1054	Duivelsgezicht Dolk+4
1055	Duivelsgezicht Dolk+5
1056	Duivelsgezicht Dolk+6
1057	Duivelsgezicht Dolk+7
1058	Duivelsgezicht Dolk+8
1059	Duivelsgezicht Dolk+9
1060	Duivelsvuist Dolk+0
1061	Duivelsvuist Dolk+1
1062	Duivelsvuist Dolk+2
1063	Duivelsvuist Dolk+3
1064	Duivelsvuist Dolk+4
1065	Duivelsvuist Dolk+5
1066	Duivelsvuist Dolk+6
1067	Duivelsvuist Dolk+7
1068	Duivelsvuist Dolk+8
1069	Duivelsvuist Dolk+9
1070	Bloedig Dolk+0
1071	Bloedig Dolk+1
1072	Bloedig Dolk+2
1073	Bloedig Dolk+3
1074	Bloedig Dolk+4
1075	Bloedig Dolk+5
1076	Bloedig Dolk+6
1077	Bloedig Dolk+7
1078	Bloedig Dolk+8
1079	Bloedig Dolk+9
1080	Ribbenmes+0
1081	Ribbenmes+1
1082	Ribbenmes+2
1083	Ribbenmes+3
1084	Ribbenmes+4
1085	Ribbenmes+5
1086	Ribbenmes+6
1087	Ribbenmes+7
1088	Ribbenmes+8
1089	Ribbenmes+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Draken Mes+0
1101	Draken Mes+1
1102	Draken Mes+2
1103	Draken Mes+3
1104	Draken Mes+4
1105	Draken Mes+5
1106	Draken Mes+6
1107	Draken Mes+7
1108	Draken Mes+8
1109	Draken Mes+9
1110	Bliksem Mes+0
1111	Bliksem Mes+1
1112	Bliksem Mes+2
1113	Bliksem Mes+3
1114	Bliksem Mes+4
1115	Bliksem Mes+5
1116	Bliksem Mes+6
1117	Bliksem Mes+7
1118	Bliksem Mes+8
1119	Bliksem Mes+9
1120	Siamees Mes+0
1121	Siamees Mes+1
1122	Siamees Mes+2
1123	Siamees Mes+3
1124	Siamees Mes+4
1125	Siamees Mes+5
1126	Siamees Mes+6
1127	Siamees Mes+7
1128	Siamees Mes+8
1129	Siamees Mes+9
1130	Duivelsvleugel Chakram+0
1131	Duivelsvleugel Chakram+1
1132	Duivelsvleugel Chakram+2
1133	Duivelsvleugel Chakram+3
1134	Duivelsvleugel Chakram+4
1135	Duivelsvleugel Chakram+5
1136	Duivelsvleugel Chakram+6
1137	Duivelsvleugel Chakram+7
1138	Duivelsvleugel Chakram+8
1139	Duivelsvleugel Chakram+9
1140	Zaag Tand Mes+0
1141	Zaag Tand Mes+1
1142	Zaag Tand Mes+2
1143	Zaag Tand Mes+3
1144	Zaag Tand Mes+4
1145	Zaag Tand Mes+5
1146	Zaag Tand Mes+6
1147	Zaag Tand Mes+7
1148	Zaag Tand Mes+8
1149	Zaag Tand Mes+9
1150	Zonnestraal Mes+0
1151	Zonnestraal Mes+1
1152	Zonnestraal Mes+2
1153	Zonnestraal Mes+3
1154	Zonnestraal Mes+4
1155	Zonnestraal Mes+5
1156	Zonnestraal Mes+6
1157	Zonnestraal Mes+7
1158	Zonnestraal Mes+8
1159	Zonnestraal Mes+9
1160	Beek Mes+0
1161	Beek Mes+1
1162	Beek Mes+2
1163	Beek Mes+3
1164	Beek Mes+4
1165	Beek Mes+5
1166	Beek Mes+6
1167	Beek Mes+7
1168	Beek Mes+8
1169	Beek Mes+9
1170	Zwart Blad Mes+0
1171	Zwart Blad Mes+1
1172	Zwart Blad Mes+2
1173	Zwart Blad Mes+3
1174	Zwart Blad Mes+4
1175	Zwart Blad Mes+5
1176	Zwart Blad Mes+6
1177	Zwart Blad Mes+7
1178	Zwart Blad Mes+8
1179	Zwart Blad Mes+9
1340	Vijf Elementen Mes +0
1341	Vijf Elementen Mes +1
1342	Vijf Elementen Mes +2
1343	Vijf Elementen Mes +3
1344	Vijf Elementen Mes +4
1345	Vijf Elementen Mes +5
1346	Vijf Elementen Mes +6
1347	Vijf Elementen Mes +7
1348	Vijf Elementen Mes +8
1349	Vijf Elementen Mes +9
2000	Boog+0
2001	Boog+1
2002	Boog+2
2003	Boog+3
2004	Boog+4
2005	Boog+5
2006	Boog+6
2007	Boog+7
2008	Boog+8
2009	Boog+9
2010	Langboog+0
2011	Langboog+1
2012	Langboog+2
2013	Langboog+3
2014	Langboog+4
2015	Langboog+5
2016	Langboog+6
2017	Langboog+7
2018	Langboog+8
2019	Langboog+9
2020	Composietboog+0
2021	Composietboog+1
2022	Composietboog+2
2023	Composietboog+3
2024	Composietboog+4
2025	Composietboog+5
2026	Composietboog+6
2027	Composietboog+7
2028	Composietboog+8
2029	Composietboog+9
2030	Gevechtsboog+0
2031	Gevechtsboog+1
2032	Gevechtsboog+2
2033	Gevechtsboog+3
2034	Gevechtsboog+4
2035	Gevechtsboog+5
2036	Gevechtsboog+6
2037	Gevechtsboog+7
2038	Gevechtsboog+8
2039	Gevechtsboog+9
