VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Miecz+0
11	Miecz+1
12	Miecz+2
13	Miecz+3
14	Miecz+4
15	Miecz+5
16	Miecz+6
17	Miecz+7
18	Miecz+8
19	Miecz+9
20	D³ugi Miecz+0
21	D³ugi Miecz+1
22	D³ugi Miecz+2
23	D³ugi Miecz+3
24	D³ugi Miecz+4
25	D³ugi Miecz+5
26	D³ugi Miecz+6
27	D³ugi Miecz+7
28	D³ugi Miecz+8
29	D³ugi Miecz+9
30	Sejmitar+0
31	Sejmitar+1
32	Sejmitar+2
33	Sejmitar+3
34	Sejmitar+4
35	Sejmitar+5
36	Sejmitar+6
37	Sejmitar+7
38	Sejmitar+8
39	Sejmitar+9
40	Sto¿kowy Miecz+0
41	Sto¿kowy Miecz+1
42	Sto¿kowy Miecz+2
43	Sto¿kowy Miecz+3
44	Sto¿kowy Miecz+4
45	Sto¿kowy Miecz+5
46	Sto¿kowy Miecz+6
47	Sto¿kowy Miecz+7
48	Sto¿kowy Miecz+8
49	Sto¿kowy Miecz+9
50	Szeroki Miecz+0
51	Szeroki Miecz+1
52	Szeroki Miecz+2
53	Szeroki Miecz+3
54	Szeroki Miecz+4
55	Szeroki Miecz+5
56	Szeroki Miecz+6
57	Szeroki Miecz+7
58	Szeroki Miecz+8
59	Szeroki Miecz+9
60	Srebrny Miecz+0
61	Srebrny Miecz+1
62	Srebrny Miecz+2
63	Srebrny Miecz+3
64	Srebrny Miecz+4
65	Srebrny Miecz+5
66	Srebrny Miecz+6
67	Srebrny Miecz+7
68	Srebrny Miecz+8
69	Srebrny Miecz+9
70	Miecz Storczykowy+0
71	Miecz Storczykowy+1
72	Miecz Storczykowy+2
73	Miecz Storczykowy+3
74	Miecz Storczykowy+4
75	Miecz Storczykowy+5
76	Miecz Storczykowy+6
77	Miecz Storczykowy+7
78	Miecz Storczykowy+8
79	Miecz Storczykowy+9
80	Miecz Pó³torarêczny+0
81	Miecz Pó³torarêczny+1
82	Miecz Pó³torarêczny+2
83	Miecz Pó³torarêczny+3
84	Miecz Pó³torarêczny+4
85	Miecz Pó³torarêczny+5
86	Miecz Pó³torarêczny+6
87	Miecz Pó³torarêczny+7
88	Miecz Pó³torarêczny+8
89	Miecz Pó³torarêczny+9
90	Miecz Barbarzyñcy+0
91	Miecz Barbarzyñcy+1
92	Miecz Barbarzyñcy+2
93	Miecz Barbarzyñcy+3
94	Miecz Barbarzyñcy+4
95	Miecz Barbarzyñcy+5
96	Miecz Barbarzyñcy+6
97	Miecz Barbarzyñcy+7
98	Miecz Barbarzyñcy+8
99	Miecz Barbarzyñcy+9
100	Krwawy Miecz+0
101	Krwawy Miecz+1
102	Krwawy Miecz+2
103	Krwawy Miecz+3
104	Krwawy Miecz+4
105	Krwawy Miecz+5
106	Krwawy Miecz+6
107	Krwawy Miecz+7
108	Krwawy Miecz+8
109	Krwawy Miecz+9
110	Wielki Miecz+0
111	Wielki Miecz+1
112	Wielki Miecz+2
113	Wielki Miecz+3
114	Wielki Miecz+4
115	Wielki Miecz+5
116	Wielki Miecz+6
117	Wielki Miecz+7
118	Wielki Miecz+8
119	Wielki Miecz+9
120	Miecz Lat. Maga+0
121	Miecz Lat. Maga+1
122	Miecz Lat. Maga+2
123	Miecz Lat. Maga+3
124	Miecz Lat. Maga+4
125	Miecz Lat. Maga+5
126	Miecz Lat. Maga+6
127	Miecz Lat. Maga+7
128	Miecz Lat. Maga+8
129	Miecz Lat. Maga+9
130	Pó³-ksiê¿ycowy Miecz+0
131	Pó³-ksiê¿ycowy Miecz+1
132	Pó³-ksiê¿ycowy Miecz+2
133	Pó³-ksiê¿ycowy Miecz+3
134	Pó³-ksiê¿ycowy Miecz+4
135	Pó³-ksiê¿ycowy Miecz+5
136	Pó³-ksiê¿ycowy Miecz+6
137	Pó³-ksiê¿ycowy Miecz+7
138	Pó³-ksiê¿ycowy Miecz+8
139	Pó³-ksiê¿ycowy Miecz+9
140	Miecz Bojowy+0
141	Miecz Bojowy+1
142	Miecz Bojowy+2
143	Miecz Bojowy+3
144	Miecz Bojowy+4
145	Miecz Bojowy+5
146	Miecz Bojowy+6
147	Miecz Bojowy+7
148	Miecz Bojowy+8
149	Miecz Bojowy+9
150	Miecz Szponu Ducha+0
151	Miecz Szponu Ducha+1
152	Miecz Szponu Ducha+2
153	Miecz Szponu Ducha+3
154	Miecz Szponu Ducha+4
155	Miecz Szponu Ducha+5
156	Miecz Szponu Ducha+6
157	Miecz Szponu Ducha+7
158	Miecz Szponu Ducha+8
159	Miecz Szponu Ducha+9
160	Miecz Nimfy+0
161	Miecz Nimfy+1
162	Miecz Nimfy+2
163	Miecz Nimfy+3
164	Miecz Nimfy+4
165	Miecz Nimfy+5
166	Miecz Nimfy+6
167	Miecz Nimfy+7
168	Miecz Nimfy+8
169	Miecz Nimfy+9
170	Miecz ¯¹d³o+0
171	Miecz ¯¹d³o+1
172	Miecz ¯¹d³o+2
173	Miecz ¯¹d³o+3
174	Miecz ¯¹d³o+4
175	Miecz ¯¹d³o+5
176	Miecz ¯¹d³o+6
177	Miecz ¯¹d³o+7
178	Miecz ¯¹d³o+8
179	Miecz ¯¹d³o+9
180	Zatruty miecz+0
181	Zatruty miecz+1
182	Zatruty miecz+2
183	Zatruty miecz+3
184	Zatruty miecz+4
185	Zatruty miecz+5
186	Zatruty miecz+6
187	Zatruty miecz+7
188	Zatruty miecz+8
189	Zatruty miecz+9
190	Lwi Miecz+0
191	Lwi Miecz+1
192	Lwi Miecz+2
193	Lwi Miecz+3
194	Lwi Miecz+4
195	Lwi Miecz+5
196	Lwi Miecz+6
197	Lwi Miecz+7
198	Lwi Miecz+8
199	Lwi Miecz+9
200	Brzegowe Ostrze+0
201	Brzegowe Ostrze+1
202	Brzegowe Ostrze+2
203	Brzegowe Ostrze+3
204	Brzegowe Ostrze+4
205	Brzegowe Ostrze+5
206	Brzegowe Ostrze+6
207	Brzegowe Ostrze+7
208	Brzegowe Ostrze+8
209	Brzegowe Ostrze+9
210	Œmiercionoœne Ostrze+0
211	Œmiercionoœne Ostrze+1
212	Œmiercionoœne Ostrze+2
213	Œmiercionoœne Ostrze+3
214	Œmiercionoœne Ostrze+4
215	Œmiercionoœne Ostrze+5
216	Œmiercionoœne Ostrze+6
217	Œmiercionoœne Ostrze+7
218	Œmiercionoœne Ostrze+8
219	Œmiercionoœne Ostrze+9
220	Ksiê¿ycowy Miecz+0
221	Ksiê¿ycowy Miecz+1
222	Ksiê¿ycowy Miecz+2
223	Ksiê¿ycowy Miecz+3
224	Ksiê¿ycowy Miecz+4
225	Ksiê¿ycowy Miecz+5
226	Ksiê¿ycowy Miecz+6
227	Ksiê¿ycowy Miecz+7
228	Ksiê¿ycowy Miecz+8
229	Ksiê¿ycowy Miecz+9
230	Niebiañski Miecz+0
231	Niebiañski Miecz+1
232	Niebiañski Miecz+2
233	Niebiañski Miecz+3
234	Niebiañski Miecz+4
235	Niebiañski Miecz+5
236	Niebiañski Miecz+6
237	Niebiañski Miecz+7
238	Niebiañski Miecz+8
239	Niebiañski Miecz+9
240	Miecz Egzorcysty+0
241	Miecz Egzorcysty+1
242	Miecz Egzorcysty+2
243	Miecz Egzorcysty+3
244	Miecz Egzorcysty+4
245	Miecz Egzorcysty+5
246	Miecz Egzorcysty+6
247	Miecz Egzorcysty+7
248	Miecz Egzorcysty+8
249	Miecz Egzorcysty+9
250	Demoniczne Ostrze+0
251	Demoniczne Ostrze+1
252	Demoniczne Ostrze+2
253	Demoniczne Ostrze+3
254	Demoniczne Ostrze+4
255	Demoniczne Ostrze+5
256	Demoniczne Ostrze+6
257	Demoniczne Ostrze+7
258	Demoniczne Ostrze+8
259	Demoniczne Ostrze+9
260	Miecz Barona+0
261	Miecz Barona+1
262	Miecz Barona+2
263	Miecz Barona+3
264	Miecz Barona+4
265	Miecz Barona+5
266	Miecz Barona+6
267	Miecz Barona+7
268	Miecz Barona+8
269	Miecz Barona+9
270	Miecz Trytona+0
271	Miecz Trytona+1
272	Miecz Trytona+2
273	Miecz Trytona+3
274	Miecz Trytona+4
275	Miecz Trytona+5
276	Miecz Trytona+6
277	Miecz Trytona+7
278	Miecz Trytona+8
279	Miecz Trytona+9
280	Œwiêty Miecz+0
281	Œwiêty Miecz+1
282	Œwiêty Miecz+2
283	Œwiêty Miecz+3
284	Œwiêty Miecz+4
285	Œwiêty Miecz+5
286	Œwiêty Miecz+6
287	Œwiêty Miecz+7
288	Œwiêty Miecz+8
289	Œwiêty Miecz+9
290	Miecz Pe³ni Ksiê¿yca+0
291	Miecz Pe³ni Ksiê¿yca+1
292	Miecz Pe³ni Ksiê¿yca+2
293	Miecz Pe³ni Ksiê¿yca+3
294	Miecz Pe³ni Ksiê¿yca+4
295	Miecz Pe³ni Ksiê¿yca+5
296	Miecz Pe³ni Ksiê¿yca+6
297	Miecz Pe³ni Ksiê¿yca+7
298	Miecz Pe³ni Ksiê¿yca+8
299	Miecz Pe³ni Ksiê¿yca+9
460	Runiczny Miecz+0
461	Runiczny Miecz+1
462	Runiczny Miecz+2
463	Runiczny Miecz+3
464	Runiczny Miecz+4
465	Runiczny Miecz+5
466	Runiczny Miecz+6
467	Runiczny Miecz+7
468	Runiczny Miecz+8
469	Runiczny Miecz+9
470	Klinga Smoczego K³a+0
471	Klinga Smoczego K³a+1
472	Klinga Smoczego K³a+2
473	Klinga Smoczego K³a+3
474	Klinga Smoczego K³a+4
475	Klinga Smoczego K³a+5
476	Klinga Smoczego K³a+6
477	Klinga Smoczego K³a+7
478	Klinga Smoczego K³a+8
479	Klinga Smoczego K³a+9
1000	Sztylet+0
1001	Sztylet+1
1002	Sztylet+2
1003	Sztylet+3
1004	Sztylet+4
1005	Sztylet+5
1006	Sztylet+6
1007	Sztylet+7
1008	Sztylet+8
1009	Sztylet+9
1010	Sztylet Kobry+0
1011	Sztylet Kobry+1
1012	Sztylet Kobry+2
1013	Sztylet Kobry+3
1014	Sztylet Kobry+4
1015	Sztylet Kobry+5
1016	Sztylet Kobry+6
1017	Sztylet Kobry+7
1018	Sztylet Kobry+8
1019	Sztylet Kobry+9
1020	Sztylet No¿ycowy+0
1021	Sztylet No¿ycowy+1
1022	Sztylet No¿ycowy+2
1023	Sztylet No¿ycowy+3
1024	Sztylet No¿ycowy+4
1025	Sztylet No¿ycowy+5
1026	Sztylet No¿ycowy+6
1027	Sztylet No¿ycowy+7
1028	Sztylet No¿ycowy+8
1029	Sztylet No¿ycowy+9
1030	Nó¿ Szczêœcia+0
1031	Nó¿ Szczêœcia+1
1032	Nó¿ Szczêœcia+2
1033	Nó¿ Szczêœcia+3
1034	Nó¿ Szczêœcia+4
1035	Nó¿ Szczêœcia+5
1036	Nó¿ Szczêœcia+6
1037	Nó¿ Szczêœcia+7
1038	Nó¿ Szczêœcia+8
1039	Nó¿ Szczêœcia+9
1040	Uk¹szenie Kota+0
1041	Uk¹szenie Kota+1
1042	Uk¹szenie Kota+2
1043	Uk¹szenie Kota+3
1044	Uk¹szenie Kota+4
1045	Uk¹szenie Kota+5
1046	Uk¹szenie Kota+6
1047	Uk¹szenie Kota+7
1048	Uk¹szenie Kota+8
1049	Uk¹szenie Kota+9
1050	Twarz Diab³a+0
1051	Twarz Diab³a+1
1052	Twarz Diab³a+2
1053	Twarz Diab³a+3
1054	Twarz Diab³a+4
1055	Twarz Diab³a+5
1056	Twarz Diab³a+6
1057	Twarz Diab³a+7
1058	Twarz Diab³a+8
1059	Twarz Diab³a+9
1060	Sztylet Piêœci Diab.+0
1061	Sztylet Piêœci Diab.+1
1062	Sztylet Piêœci Diab.+2
1063	Sztylet Piêœci Diab.+3
1064	Sztylet Piêœci Diab.+4
1065	Sztylet Piêœci Diab.+5
1066	Sztylet Piêœci Diab.+6
1067	Sztylet Piêœci Diab.+7
1068	Sztylet Piêœci Diab.+8
1069	Sztylet Piêœci Diab.+9
1070	Krwawy Sztylet+0
1071	Krwawy Sztylet+1
1072	Krwawy Sztylet+2
1073	Krwawy Sztylet+3
1074	Krwawy Sztylet+4
1075	Krwawy Sztylet+5
1076	Krwawy Sztylet+6
1077	Krwawy Sztylet+7
1078	Krwawy Sztylet+8
1079	Krwawy Sztylet+9
1080	¯ebrowy Nó¿+0
1081	¯ebrowy Nó¿+1
1082	¯ebrowy Nó¿+2
1083	¯ebrowy Nó¿+3
1084	¯ebrowy Nó¿+4
1085	¯ebrowy Nó¿+5
1086	¯ebrowy Nó¿+6
1087	¯ebrowy Nó¿+7
1088	¯ebrowy Nó¿+8
1089	¯ebrowy Nó¿+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Smoczy Nó¿+0
1101	Smoczy Nó¿+1
1102	Smoczy Nó¿+2
1103	Smoczy Nó¿+3
1104	Smoczy Nó¿+4
1105	Smoczy Nó¿+5
1106	Smoczy Nó¿+6
1107	Smoczy Nó¿+7
1108	Smoczy Nó¿+8
1109	Smoczy Nó¿+9
1110	Nó¿ B³yskawicy+0
1111	Nó¿ B³yskawicy+1
1112	Nó¿ B³yskawicy+2
1113	Nó¿ B³yskawicy+3
1114	Nó¿ B³yskawicy+4
1115	Nó¿ B³yskawicy+5
1116	Nó¿ B³yskawicy+6
1117	Nó¿ B³yskawicy+7
1118	Nó¿ B³yskawicy+8
1119	Nó¿ B³yskawicy+9
1120	Nó¿ Siamese+0
1121	Nó¿ Siamese+1
1122	Nó¿ Siamese+2
1123	Nó¿ Siamese+3
1124	Nó¿ Siamese+4
1125	Nó¿ Siamese+5
1126	Nó¿ Siamese+6
1127	Nó¿ Siamese+7
1128	Nó¿ Siamese+8
1129	Nó¿ Siamese+9
1130	Skrzyd³a Demona Chakr.+0
1131	Skrzyd³a Demona Chakr.+1
1132	Skrzyd³a Demona Chakr.+2
1133	Skrzyd³a Demona Chakr.+3
1134	Skrzyd³a Demona Chakr.+4
1135	Skrzyd³a Demona Chakr.+5
1136	Skrzyd³a Demona Chakr.+6
1137	Skrzyd³a Demona Chakr.+7
1138	Skrzyd³a Demona Chakr.+8
1139	Skrzyd³a Demona Chakr.+9
1140	Z¹bkowany Nó¿+0
1141	Z¹bkowany Nó¿+1
1142	Z¹bkowany Nó¿+2
1143	Z¹bkowany Nó¿+3
1144	Z¹bkowany Nó¿+4
1145	Z¹bkowany Nó¿+5
1146	Z¹bkowany Nó¿+6
1147	Z¹bkowany Nó¿+7
1148	Z¹bkowany Nó¿+8
1149	Z¹bkowany Nó¿+9
1150	Œwietlisty Nó¿+0
1151	Œwietlisty Nó¿+1
1152	Œwietlisty Nó¿+2
1153	Œwietlisty Nó¿+3
1154	Œwietlisty Nó¿+4
1155	Œwietlisty Nó¿+5
1156	Œwietlisty Nó¿+6
1157	Œwietlisty Nó¿+7
1158	Œwietlisty Nó¿+8
1159	Œwietlisty Nó¿+9
