VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Espada+0
11	Espada+1
12	Espada+2
13	Espada+3
14	Espada+4
15	Espada+5
16	Espada+6
17	Espada+7
18	Espada+8
19	Espada+9
20	Espada Longa+0
21	Espada Longa+1
22	Espada Longa+2
23	Espada Longa+3
24	Espada Longa+4
25	Espada Longa+5
26	Espada Longa+6
27	Espada Longa+7
28	Espada Longa+8
29	Espada Longa+9
30	Espada Crescente+0
31	Espada Crescente+1
32	Espada Crescente+2
33	Espada Crescente+3
34	Espada Crescente+4
35	Espada Crescente+5
36	Espada Crescente+6
37	Espada Crescente+7
38	Espada Crescente+8
39	Espada Crescente+9
40	Espada de Bambu+0
41	Espada de Bambu+1
42	Espada de Bambu+2
43	Espada de Bambu+3
44	Espada de Bambu+4
45	Espada de Bambu+5
46	Espada de Bambu+6
47	Espada de Bambu+7
48	Espada de Bambu+8
49	Espada de Bambu+9
50	Espada Larga+0
51	Espada Larga+1
52	Espada Larga+2
53	Espada Larga+3
54	Espada Larga+4
55	Espada Larga+5
56	Espada Larga+6
57	Espada Larga+7
58	Espada Larga+8
59	Espada Larga+9
60	Espada de Prata+0
61	Espada de Prata+1
62	Espada de Prata+2
63	Espada de Prata+3
64	Espada de Prata+4
65	Espada de Prata+5
66	Espada de Prata+6
67	Espada de Prata+7
68	Espada de Prata+8
69	Espada de Prata+9
70	Espada Orquídea+0
71	Espada Orquídea+1
72	Espada Orquídea+2
73	Espada Orquídea+3
74	Espada Orquídea+4
75	Espada Orquídea+5
76	Espada Orquídea+6
77	Espada Orquídea+7
78	Espada Orquídea+8
79	Espada Orquídea+9
80	Espada Bastarda+0
81	Espada Bastarda+1
82	Espada Bastarda+2
83	Espada Bastarda+3
84	Espada Bastarda+4
85	Espada Bastarda+5
86	Espada Bastarda+6
87	Espada Bastarda+7
88	Espada Bastarda+8
89	Espada Bastarda+9
90	Espada Bárbara+0
91	Espada Bárbara+1
92	Espada Bárbara+2
93	Espada Bárbara+3
94	Espada Bárbara+4
95	Espada Bárbara+5
96	Espada Bárbara+6
97	Espada Bárbara+7
98	Espada Bárbara+8
99	Espada Bárbara+9
100	Espada Sangrenta+0
101	Espada Sangrenta+1
102	Espada Sangrenta+2
103	Espada Sangrenta+3
104	Espada Sangrenta+4
105	Espada Sangrenta+5
106	Espada Sangrenta+6
107	Espada Sangrenta+7
108	Espada Sangrenta+8
109	Espada Sangrenta+9
110	Espada Grandiosa+0
111	Espada Grandiosa+1
112	Espada Grandiosa+2
113	Espada Grandiosa+3
114	Espada Grandiosa+4
115	Espada Grandiosa+5
116	Espada Grandiosa+6
117	Espada Grandiosa+7
118	Espada Grandiosa+8
119	Espada Grandiosa+9
120	Espada do Mago+0
121	Espada do Mago+1
122	Espada do Mago+2
123	Espada do Mago+3
124	Espada do Mago+4
125	Espada do Mago+5
126	Espada do Mago+6
127	Espada do Mago+7
128	Espada do Mago+8
129	Espada do Mago+9
130	Espada Meia Lua+0
131	Espada Meia Lua+1
132	Espada Meia Lua+2
133	Espada Meia Lua+3
134	Espada Meia Lua+4
135	Espada Meia Lua+5
136	Espada Meia Lua+6
137	Espada Meia Lua+7
138	Espada Meia Lua+8
139	Espada Meia Lua+9
140	Espada de Batalha+0
141	Espada de Batalha+1
142	Espada de Batalha+2
143	Espada de Batalha+3
144	Espada de Batalha+4
145	Espada de Batalha+5
146	Espada de Batalha+6
147	Espada de Batalha+7
148	Espada de Batalha+8
149	Espada de Batalha+9
150	Lâmina Zanna Fantasma+0
151	Lâmina Zanna Fantasma+1
152	Lâmina Zanna Fantasma+2
153	Lâmina Zanna Fantasma+3
154	Lâmina Zanna Fantasma+4
155	Lâmina Zanna Fantasma+5
156	Lâmina Zanna Fantasma+6
157	Lâmina Zanna Fantasma+7
158	Lâmina Zanna Fantasma+8
159	Lâmina Zanna Fantasma+9
160	Espada Ninfa+0
161	Espada Ninfa+1
162	Espada Ninfa+2
163	Espada Ninfa+3
164	Espada Ninfa+4
165	Espada Ninfa+5
166	Espada Ninfa+6
167	Espada Ninfa+7
168	Espada Ninfa+8
169	Espada Ninfa+9
170	Espada Ferrão+0
171	Espada Ferrão+1
172	Espada Ferrão+2
173	Espada Ferrão+3
174	Espada Ferrão+4
175	Espada Ferrão+5
176	Espada Ferrão+6
177	Espada Ferrão+7
178	Espada Ferrão+8
179	Espada Ferrão+9
180	Espada Venenosa+0
181	Espada Venenosa+1
182	Espada Venenosa+2
183	Espada Venenosa+3
184	Espada Venenosa+4
185	Espada Venenosa+5
186	Espada Venenosa+6
187	Espada Venenosa+7
188	Espada Venenosa+8
189	Espada Venenosa+9
190	Espada Leão+0
191	Espada Leão+1
192	Espada Leão+2
193	Espada Leão+3
194	Espada Leão+4
195	Espada Leão+5
196	Espada Leão+6
197	Espada Leão+7
198	Espada Leão+8
199	Espada Leão+9
200	Lâmina Cortante+0
201	Lâmina Cortante+1
202	Lâmina Cortante+2
203	Lâmina Cortante+3
204	Lâmina Cortante+4
205	Lâmina Cortante+5
206	Lâmina Cortante+6
207	Lâmina Cortante+7
208	Lâmina Cortante+8
209	Lâmina Cortante+9
210	Lâmina Mortal+0
211	Lâmina Mortal+1
212	Lâmina Mortal+2
213	Lâmina Mortal+3
214	Lâmina Mortal+4
215	Lâmina Mortal+5
216	Lâmina Mortal+6
217	Lâmina Mortal+7
218	Lâmina Mortal+8
219	Lâmina Mortal+9
220	Espada Lunar+0
221	Espada Lunar+1
222	Espada Lunar+2
223	Espada Lunar+3
224	Espada Lunar+4
225	Espada Lunar+5
226	Espada Lunar+6
227	Espada Lunar+7
228	Espada Lunar+8
229	Espada Lunar+9
230	Espada Celestial+0
231	Espada Celestial+1
232	Espada Celestial+2
233	Espada Celestial+3
234	Espada Celestial+4
235	Espada Celestial+5
236	Espada Celestial+6
237	Espada Celestial+7
238	Espada Celestial+8
239	Espada Celestial+9
240	Espada de Exorcismo+0
241	Espada de Exorcismo+1
242	Espada de Exorcismo+2
243	Espada de Exorcismo+3
244	Espada de Exorcismo+4
245	Espada de Exorcismo+5
246	Espada de Exorcismo+6
247	Espada de Exorcismo+7
248	Espada de Exorcismo+8
249	Espada de Exorcismo+9
250	Lâmina Demoníaca+0
251	Lâmina Demoníaca+1
252	Lâmina Demoníaca+2
253	Lâmina Demoníaca+3
254	Lâmina Demoníaca+4
255	Lâmina Demoníaca+5
256	Lâmina Demoníaca+6
257	Lâmina Demoníaca+7
258	Lâmina Demoníaca+8
259	Lâmina Demoníaca+9
260	Espada Barão+0
261	Espada Barão+1
262	Espada Barão+2
263	Espada Barão+3
264	Espada Barão+4
265	Espada Barão+5
266	Espada Barão+6
267	Espada Barão+7
268	Espada Barão+8
269	Espada Barão+9
270	Espada Sírius+0
271	Espada Sírius+1
272	Espada Sírius+2
273	Espada Sírius+3
274	Espada Sírius+4
275	Espada Sírius+5
276	Espada Sírius+6
277	Espada Sírius+7
278	Espada Sírius+8
279	Espada Sírius+9
280	Espada Sagrada+0
281	Espada Sagrada+1
282	Espada Sagrada+2
283	Espada Sagrada+3
284	Espada Sagrada+4
285	Espada Sagrada+5
286	Espada Sagrada+6
287	Espada Sagrada+7
288	Espada Sagrada+8
289	Espada Sagrada+9
290	Espada Lua Cheia+0
291	Espada Lua Cheia+1
292	Espada Lua Cheia+2
293	Espada Lua Cheia+3
294	Espada Lua Cheia+4
295	Espada Lua Cheia+5
296	Espada Lua Cheia+6
297	Espada Lua Cheia+7
298	Espada Lua Cheia+8
299	Espada Lua Cheia+9
460	Espada Rúnica+0
461	Espada Rúnica+1
462	Espada Rúnica+2
463	Espada Rúnica+3
464	Espada Rúnica+4
465	Espada Rúnica+5
466	Espada Rúnica+6
467	Espada Rúnica+7
468	Espada Rúnica+8
469	Espada Rúnica+9
470	Lâmina Dente de Dragão+0
471	Lâmina Dente de Dragão+1
472	Lâmina Dente de Dragão+2
473	Lâmina Dente de Dragão+3
474	Lâmina Dente de Dragão+4
475	Lâmina Dente de Dragão+5
476	Lâmina Dente de Dragão+6
477	Lâmina Dente de Dragão+7
478	Lâmina Dente de Dragão+8
479	Lâmina Dente de Dragão+9
1000	Adaga+0
1001	Adaga+1
1002	Adaga+2
1003	Adaga+3
1004	Adaga+4
1005	Adaga+5
1006	Adaga+6
1007	Adaga+7
1008	Adaga+8
1009	Adaga+9
1010	Adaga Cobra+0
1011	Adaga Cobra+1
1012	Adaga Cobra+2
1013	Adaga Cobra+3
1014	Adaga Cobra+4
1015	Adaga Cobra+5
1016	Adaga Cobra+6
1017	Adaga Cobra+7
1018	Adaga Cobra+8
1019	Adaga Cobra+9
1020	Adaga de Tesoura+0
1021	Adaga de Tesoura+1
1022	Adaga de Tesoura+2
1023	Adaga de Tesoura+3
1024	Adaga de Tesoura+4
1025	Adaga de Tesoura+5
1026	Adaga de Tesoura+6
1027	Adaga de Tesoura+7
1028	Adaga de Tesoura+8
1029	Adaga de Tesoura+9
1030	Faca da Sorte+0
1031	Faca da Sorte+1
1032	Faca da Sorte+2
1033	Faca da Sorte+3
1034	Faca da Sorte+4
1035	Faca da Sorte+5
1036	Faca da Sorte+6
1037	Faca da Sorte+7
1038	Faca da Sorte+8
1039	Faca da Sorte+9
1040	Faca Gato+0
1041	Faca Gato+1
1042	Faca Gato+2
1043	Faca Gato+3
1044	Faca Gato+4
1045	Faca Gato+5
1046	Faca Gato+6
1047	Faca Gato+7
1048	Faca Gato+8
1049	Faca Gato+9
1050	Adaga Diabólica+0
1051	Adaga Diabólica+1
1052	Adaga Diabólica+2
1053	Adaga Diabólica+3
1054	Adaga Diabólica+4
1055	Adaga Diabólica+5
1056	Adaga Diabólica+6
1057	Adaga Diabólica+7
1058	Adaga Diabólica+8
1059	Adaga Diabólica+9
1060	Adaga Punho do Diabo+0
1061	Adaga Punho do Diabo+1
1062	Adaga Punho do Diabo+2
1063	Adaga Punho do Diabo+3
1064	Adaga Punho do Diabo.+4
1065	Adaga Punho do Diabo+5
1066	Adaga Punho do Diabo+6
1067	Adaga Punho do Diabo+7
1068	Adaga Punho do Diabo+8
1069	Adaga Punho do Diabo+9
1070	Adaga Sangrenta+0
1071	Adaga Sangrenta+1
1072	Adaga Sangrenta+2
1073	Adaga Sangrenta+3
1074	Adaga Sangrenta+4
1075	Adaga Sangrenta+5
1076	Adaga Sangrenta+6
1077	Adaga Sangrenta+7
1078	Adaga Sangrenta+8
1079	Adaga Sangrenta+9
1080	Faca Costela+0
1081	Faca Costela+1
1082	Faca Costela+2
1083	Faca Costela+3
1084	Faca Costela+4
1085	Faca Costela+5
1086	Faca Costela+6
1087	Faca Costela+7
1088	Faca Costela+8
1089	Faca Costela+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Faca Dragão+0
1101	Faca Dragão+1
1102	Faca Dragão+2
1103	Faca Dragão+3
1104	Faca Dragão+4
1105	Faca Dragão+5
1106	Faca Dragão+6
1107	Faca Dragão+7
1108	Faca Dragão+8
1109	Faca Dragão+9
1110	Faca Relâmpago+0
1111	Faca Relâmpago+1
1112	Faca Relâmpago+2
1113	Faca Relâmpago+3
1114	Faca Relâmpago+4
1115	Faca Relâmpago+5
1116	Faca Relâmpago+6
1117	Faca Relâmpago+7
1118	Faca Relâmpago+8
1119	Faca Relâmpago+9
1120	Facas Siamesas+0
1121	Facas Siamesas+1
1122	Facas Siamesas+2
1123	Facas Siamesas+3
1124	Facas Siamesas+4
1125	Facas Siamesas+5
1126	Facas Siamesas+6
1127	Facas Siamesas+7
1128	Facas Siamesas+8
1129	Facas Siamesas+9
1130	Chakram Asa do Diabo+0
1131	Chakram Asa do Diabo+1
1132	Chakram Asa do Diabo+2
1133	Chakram Asa do Diabo+3
1134	Chakram Asa do Diabo+4
1135	Chakram Asa do Diabo+5
1136	Chakram Asa do Diabo+6
1137	Chakram Asa do Diabo+7
1138	Chakram Asa do Diabo+8
1139	Chakram Asa do Diabo+9
1140	Faca Dente de Serra+0
1141	Faca Dente de Serra+1
1142	Faca Dente de Serra+2
1143	Faca Dente de Serra+3
1144	Faca Dente de Serra+4
1145	Faca Dente de Serra+5
1146	Faca Dente de Serra+6
1147	Faca Dente de Serra+7
1148	Faca Dente de Serra+8
1149	Faca Dente de Serra+9
1150	Faca Luz do Sol+0
1151	Faca Luz do Sol+1
1152	Faca Luz do Sol+2
1153	Faca Luz do Sol+3
1154	Faca Luz do Sol+4
1155	Faca Luz do Sol+5
1156	Faca Luz do Sol+6
1157	Faca Luz do Sol+7
1158	Faca Luz do Sol+8
1159	Faca Luz do Sol+9
1160	Faca Riacho+0
1161	Faca Riacho+1
1162	Faca Riacho+2
1163	Faca Riacho+3
1164	Faca Riacho+4
1165	Faca Riacho+5
1166	Faca Riacho+6
1167	Faca Riacho+7
1168	Faca Riacho+8
1169	Faca Riacho+9
1170	Adaga Folha Negra+0
1171	Adaga Folha Negra+1
1172	Adaga Folha Negra+2
1173	Adaga Folha Negra+3
1174	Adaga Folha Negra+4
1175	Adaga Folha Negra+5
1176	Adaga Folha Negra+6
1177	Adaga Folha Negra+7
1178	Adaga Folha Negra+8
1179	Adaga Folha Negra+9
1340	Lâmina Cinco Elementos+0
1341	Lâmina Cinco Elementos+1
1342	Lâmina Cinco Elementos+2
1343	Lâmina Cinco Elementos+3
1344	Lâmina Cinco Elementos+4
1345	Lâmina Cinco Elementos+5
1346	Lâmina Cinco Elementos+6
1347	Lâmina Cinco Elementos+7
1348	Lâmina Cinco Elementos+8
1349	Lâmina Cinco Elementos+9
2000	Arco+0
2001	Arco+1
2002	Arco+2
2003	Arco+3
2004	Arco+4
2005	Arco+5
2006	Arco+6
2007	Arco+7
2008	Arco+8
2009	Arco+9
2010	Arco Longo+0
2011	Arco Longo+1
2012	Arco Longo+2
2013	Arco Longo+3
2014	Arco Longo+4
2015	Arco Longo+5
2016	Arco Longo+6
2017	Arco Longo+7
2018	Arco Longo+8
2019	Arco Longo+9
2020	Arco Composto+0
2021	Arco Composto+1
2022	Arco Composto+2
2023	Arco Composto+3
2024	Arco Composto+4
2025	Arco Composto+5
2026	Arco Composto+6
2027	Arco Composto+7
2028	Arco Composto+8
2029	Arco Composto+9
2030	Arco de Batalha+0
2031	Arco de Batalha+1
2032	Arco de Batalha+2
2033	Arco de Batalha+3
2034	Arco de Batalha+4
2035	Arco de Batalha+5
2036	Arco de Batalha+6
2037	Arco de Batalha+7
2038	Arco de Batalha+8
2039	Arco de Batalha+9
2040	Arco de Montada+0
2041	Arco de Montada+1
2042	Arco de Montada+2
2043	Arco de Montada+3
2044	Arco de Montada+4
2045	Arco de Montada+5
2046	Arco de Montada+6
2047	Arco de Montada+7
2048	Arco de Montada+8
2049	Arco de Montada+9
2050	Arco de Caça+0
2051	Arco de Caça+1
2052	Arco de Caça+2
2053	Arco de Caça+3
2054	Arco de Caça+4
2055	Arco de Caça+5
