VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Sabie+0
11	Sabie+1
12	Sabie+2
13	Sabie+3
14	Sabie+4
15	Sabie+5
16	Sabie+6
17	Sabie+7
18	Sabie+8
19	Sabie+9
20	Sabie lungã+0
21	Sabie lungã+1
22	Sabie lungã+2
23	Sabie lungã+3
24	Sabie lungã+4
25	Sabie lungã+5
26	Sabie lungã+6
27	Sabie lungã+7
28	Sabie lungã+8
29	Sabie lungã+9
30	Iatagan+0
31	Iatagan+1
32	Iatagan+2
33	Iatagan+3
34	Iatagan+4
35	Iatagan+5
36	Iatagan+6
37	Iatagan+7
38	Iatagan+8
39	Iatagan+9
40	Sabie bambus+0
41	Sabie bambus+1
42	Sabie bambus+2
43	Sabie bambus+3
44	Sabie bambus+4
45	Sabie bambus+5
46	Sabie bambus+6
47	Sabie bambus+7
48	Sabie bambus+8
49	Sabie bambus+9
50	Sabie latã+0
51	Sabie latã+1
52	Sabie latã+2
53	Sabie latã+3
54	Sabie latã+4
55	Sabie latã+5
56	Sabie latã+6
57	Sabie latã+7
58	Sabie latã+8
59	Sabie latã+9
60	Sabie de argint+0
61	Sabie de argint+1
62	Sabie de argint+2
63	Sabie de argint+3
64	Sabie de argint+4
65	Sabie de argint+5
66	Sabie de argint+6
67	Sabie de argint+7
68	Sabie de argint+8
69	Sabie de argint+9
70	Sabie orhidee+0
71	Sabie orhidee+1
72	Sabie orhidee+2
73	Sabie orhidee+3
74	Sabie orhidee+4
75	Sabie orhidee+5
76	Sabie orhidee+6
77	Sabie orhidee+7
78	Sabie orhidee+8
79	Sabie orhidee+9
80	Sabie bastard+0
81	Sabie bastard+1
82	Sabie bastard+2
83	Sabie bastard+3
84	Sabie bastard+4
85	Sabie bastard+5
86	Sabie bastard+6
87	Sabie bastard+7
88	Sabie bastard+8
89	Sabie bastard+9
90	Sabie barbar+0
91	Sabie barbar+1
92	Sabie barbar+2
93	Sabie barbar+3
94	Sabie barbar+4
95	Sabie barbar+5
96	Sabie barbar+6
97	Sabie barbar+7
98	Sabie barbar+8
99	Sabie barbar+9
100	Sabie sângeroasã+0
101	Sabie sângeroasã+1
102	Sabie sângeroasã+2
103	Sabie sângeroasã+3
104	Sabie sângeroasã+4
105	Sabie sângeroasã+5
106	Sabie sângeroasã+6
107	Sabie sângeroasã+7
108	Sabie sângeroasã+8
109	Sabie sângeroasã+9
110	Sabie mare+0
111	Sabie mare+1
112	Sabie mare+2
113	Sabie mare+3
114	Sabie mare+4
115	Sabie mare+5
116	Sabie mare+6
117	Sabie mare+7
118	Sabie mare+8
119	Sabie mare+9
120	Sabie vrãjitor+0
121	Sabie vrãjitor+1
122	Sabie vrãjitor+2
123	Sabie vrãjitor+3
124	Sabie vrãjitor+4
125	Sabie vrãjitor+5
126	Sabie vrãjitor+6
127	Sabie vrãjitor+7
128	Sabie vrãjitor+8
129	Sabie vrãjitor+9
130	Sabie semilunã+0
131	Sabie semilunã+1
132	Sabie semilunã+2
133	Sabie semilunã+3
134	Sabie semilunã+4
135	Sabie semilunã+5
136	Sabie semilunã+6
137	Sabie semilunã+7
138	Sabie semilunã+8
139	Sabie semilunã+9
140	Sabie de bãtãlie+0
141	Sabie de bãtãlie+1
142	Sabie de bãtãlie+2
143	Sabie de bãtãlie+3
144	Sabie de bãtãlie+4
145	Sabie de bãtãlie+5
146	Sabie de bãtãlie+6
147	Sabie de bãtãlie+7
148	Sabie de bãtãlie+8
149	Sabie de bãtãlie+9
150	Lama Dintele Stafiei+0
151	Lama Dintele Stafiei+1
152	Lama Dintele Stafiei+2
153	Lama Dintele Stafiei+3
154	Lama Dintele Stafiei+4
155	Lama Dintele Stafiei+5
156	Lama Dintele Stafiei+6
157	Lama Dintele Stafiei+7
158	Lama Dintele Stafiei+8
159	Lama Dintele Stafiei+9
160	Sabie nimfã+0
161	Sabie nimfã+1
162	Sabie nimfã+2
163	Sabie nimfã+3
164	Sabie nimfã+4
165	Sabie nimfã+5
166	Sabie nimfã+6
167	Sabie nimfã+7
168	Sabie nimfã+8
169	Sabie nimfã+9
170	Spadã+0
171	Spadã+1
172	Spadã+2
173	Spadã+3
174	Spadã+4
175	Spadã+5
176	Spadã+6
177	Spadã+7
178	Spadã+8
179	Spadã+9
180	Sabie otrãvitã+0
181	Sabie otrãvitã+1
182	Sabie otrãvitã+2
183	Sabie otrãvitã+3
184	Sabie otrãvitã+4
185	Sabie otrãvitã+5
186	Sabie otrãvitã+6
187	Sabie otrãvitã+7
188	Sabie otrãvitã+8
189	Sabie otrãvitã+9
190	Sabie leu+0
191	Sabie leu+1
192	Sabie leu+2
193	Sabie leu+3
194	Sabie leu+4
195	Sabie leu+5
196	Sabie leu+6
197	Sabie leu+7
198	Sabie leu+8
199	Sabie leu+9
200	Lamã+0
201	Lamã+1
202	Lamã+2
203	Lamã+3
204	Lamã+4
205	Lamã+5
206	Lamã+6
207	Lamã+7
208	Lamã+8
209	Lamã+9
210	Lama Mortala+0
211	Lama Mortala+1
212	Lama Mortala+2
213	Lama Mortala+3
214	Lama Mortala+4
215	Lama Mortala+5
216	Lama Mortala+6
217	Lama Mortala+7
218	Lama Mortala+8
219	Lama Mortala+9
220	Sabie lunã+0
221	Sabie lunã+1
222	Sabie lunã+2
223	Sabie lunã+3
224	Sabie lunã+4
225	Sabie lunã+5
226	Sabie lunã+6
227	Sabie lunã+7
228	Sabie lunã+8
229	Sabie lunã+9
230	Sabie cer+0
231	Sabie cer+1
232	Sabie cer+2
233	Sabie cer+3
234	Sabie cer+4
235	Sabie cer+5
236	Sabie cer+6
237	Sabie cer+7
238	Sabie cer+8
239	Sabie cer+9
240	Sabie exorcism+0
241	Sabie exorcism+1
242	Sabie exorcism+2
243	Sabie exorcism+3
244	Sabie exorcism+4
245	Sabie exorcism+5
246	Sabie exorcism+6
247	Sabie exorcism+7
248	Sabie exorcism+8
249	Sabie exorcism+9
250	Lama Demon+0
251	Lama Demon+1
252	Lama Demon+2
253	Lama Demon+3
254	Lama Demon+4
255	Lama Demon+5
256	Lama Demon+6
257	Lama Demon+7
258	Lama Demon+8
259	Lama Demon+9
260	Sabie baron+0
261	Sabie baron+1
262	Sabie baron+2
263	Sabie baron+3
264	Sabie baron+4
265	Sabie baron+5
266	Sabie baron+6
267	Sabie baron+7
268	Sabie baron+8
269	Sabie baron+9
270	Sabie Triton+0
271	Sabie Triton+1
272	Sabie Triton+2
273	Sabie Triton+3
274	Sabie Triton+4
275	Sabie Triton+5
276	Sabie Triton+6
277	Sabie Triton+7
278	Sabie Triton+8
279	Sabie Triton+9
280	Sabie sfântã+0
281	Sabie sfântã+1
282	Sabie sfântã+2
283	Sabie sfântã+3
284	Sabie sfântã+4
285	Sabie sfântã+5
286	Sabie sfântã+6
287	Sabie sfântã+7
288	Sabie sfântã+8
289	Sabie sfântã+9
290	Sabie lunã plinã+0
291	Sabie lunã plinã+1
292	Sabie lunã plinã+2
293	Sabie lunã plinã+3
294	Sabie lunã plinã+4
295	Sabie lunã plinã+5
296	Sabie lunã plinã+6
297	Sabie lunã plinã+7
298	Sabie lunã plinã+8
299	Sabie lunã plinã+9
460	Sabie Inscriptionata +0
461	Sabie Inscriptionata +1
462	Sabie Inscriptionata +2
463	Sabie Inscriptionata +3
464	Sabie Inscriptionata +4
465	Sabie Inscriptionata +5
466	Sabie Inscriptionata +6
467	Sabie Inscriptionata +7
468	Sabie Inscriptionata +8
469	Sabie Inscriptionata +9
470	Lama Dinte Dragon +0
471	Lama Dinte Dragon +1
472	Lama Dinte Dragon +2
473	Lama Dinte Dragon +3
474	Lama Dinte Dragon +4
475	Lama Dinte Dragon +5
476	Lama Dinte Dragon +6
477	Lama Dinte Dragon +7
478	Lama Dinte Dragon +8
479	Lama Dinte Dragon +9
1000	Pumnal+0
1001	Pumnal+1
1002	Pumnal+2
1003	Pumnal+3
1004	Pumnal+4
1005	Pumnal+5
1006	Pumnal+6
1007	Pumnal+7
1008	Pumnal+8
1009	Pumnal+9
1010	Pumnal cobra+0
1011	Pumnal cobra+1
1012	Pumnal cobra+2
1013	Pumnal cobra+3
1014	Pumnal cobra+4
1015	Pumnal cobra+5
1016	Pumnal cobra+6
1017	Pumnal cobra+7
1018	Pumnal cobra+8
1019	Pumnal cobra+9
1020	Pumnal foarfece+0
1021	Pumnal foarfece+1
1022	Pumnal foarfece+2
1023	Pumnal foarfece+3
1024	Pumnal foarfece+4
1025	Pumnal foarfece+5
1026	Pumnal foarfece+6
1027	Pumnal foarfece+7
1028	Pumnal foarfece+8
1029	Pumnal foarfece+9
1030	Cuþit norocos+0
1031	Cuþit norocos+1
1032	Cuþit norocos+2
1033	Cuþit norocos+3
1034	Cuþit norocos+4
1035	Cuþit norocos+5
1036	Cuþit norocos+6
1037	Cuþit norocos+7
1038	Cuþit norocos+8
1039	Cuþit norocos+9
1040	Cuþit muºcãtura pisic.+0
1041	Cuþit muºcãtura pisic.+1
1042	Cuþit muºcãtura pisic.+2
1043	Cuþit muºcãtura pisic.+3
1044	Cuþit muºcãtura pisic.+4
1045	Cuþit muºcãtura pisic.+5
1046	Cuþit muºcãtura pisic.+6
1047	Cuþit muºcãtura pisic.+7
1048	Cuþit muºcãtura pisic.+8
1049	Cuþit muºcãtura pisic.+9
1050	Pumnal mascã de diavol+0
1051	Pumnal mascã de diavol+1
1052	Pumnal mascã de diavol+2
1053	Pumnal mascã de diavol+3
1054	Pumnal mascã de diavol+4
1055	Pumnal mascã de diavol+5
1056	Pumnal mascã de diavol+6
1057	Pumnal mascã de diavol+7
1058	Pumnal mascã de diavol+8
1059	Pumnal mascã de diavol+9
1060	Pumnal pumn de diavol+0
1061	Pumnal pumn de diavol+1
1062	Pumnal pumn de diavol+2
1063	Pumnal pumn de diavol+3
1064	Pumnal pumn de diavol+4
1065	Pumnal pumn de diavol+5
1066	Pumnal pumn de diavol+6
1067	Pumnal pumn de diavol+7
1068	Pumnal pumn de diavol+8
1069	Pumnal pumn de diavol+9
1070	Pumnal sângeros+0
1071	Pumnal sângeros+1
1072	Pumnal sângeros+2
1073	Pumnal sângeros+3
1074	Pumnal sângeros+4
1075	Pumnal sângeros+5
1076	Pumnal sângeros+6
1077	Pumnal sângeros+7
1078	Pumnal sângeros+8
1079	Pumnal sângeros+9
1080	Cuþit de coaste+0
1081	Cuþit de coaste+1
1082	Cuþit de coaste+2
1083	Cuþit de coaste+3
1084	Cuþit de coaste+4
1085	Cuþit de coaste+5
1086	Cuþit de coaste+6
1087	Cuþit de coaste+7
1088	Cuþit de coaste+8
1089	Cuþit de coaste+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Cutit Dragon+0
1101	Cutit Dragon+1
1102	Cutit Dragon+2
1103	Cutit Dragon+3
1104	Cutit Dragon+4
1105	Cutit Dragon+5
1106	Cutit Dragon+6
1107	Cutit Dragon+7
1108	Cutit Dragon+8
1109	Cutit Dragon+9
1110	Cuþit fulger+0
1111	Cuþit fulger+1
1112	Cuþit fulger+2
1113	Cuþit fulger+3
1114	Cuþit fulger+4
1115	Cuþit fulger+5
1116	Cuþit fulger+6
1117	Cuþit fulger+7
1118	Cuþit fulger+8
1119	Cuþit fulger+9
1120	Cuþit siamez+0
1121	Cuþit siamez+1
1122	Cuþit siamez+2
1123	Cuþit siamez+3
1124	Cuþit siamez+4
1125	Cuþit siamez+5
1126	Cuþit siamez+6
1127	Cuþit siamez+7
1128	Cuþit siamez+8
1129	Cuþit siamez+9
1130	Chakram aripã  diavol+0
1131	Chakram aripã diavol+1
1132	Chakram aripã diavol+2
1133	Chakram aripã diavol+3
1134	Chakram aripã diavol+4
1135	Chakram aripã diavol+5
1136	Chakram aripã diavol+6
1137	Chakram aripã diavol+7
1138	Chakram aripã diavol+8
1139	Chakram aripã diavol+9
1140	Cuþit ferãstrãu+0
1141	Cuþit ferãstrãu+1
1142	Cuþit ferãstrãu+2
1143	Cuþit ferãstrãu+3
1144	Cuþit ferãstrãu+4
1145	Cuþit ferãstrãu+5
1146	Cuþit ferãstrãu+6
1147	Cuþit ferãstrãu+7
1148	Cuþit ferãstrãu+8
1149	Cuþit ferãstrãu+9
1150	Cuþit razã de soare+0
1151	Cuþit razã de soare+1
1152	Cuþit razã de soare+2
1153	Cuþit razã de soare+3
1154	Cuþit razã de soare+4
1155	Cuþit razã de soare+5
1156	Cuþit razã de soare+6
1157	Cuþit razã de soare+7
1158	Cuþit razã de soare+8
1159	Cuþit razã de soare+9
1160	Cuþit pârâu+0
1161	Cuþit pârâu+1
1162	Cuþit pârâu+2
1163	Cuþit pârâu+3
1164	Cuþit pârâu+4
1165	Cuþit pârâu+5
1166	Cuþit pârâu+6
1167	Cuþit pârâu+7
1168	Cuþit pârâu+8
1169	Cuþit pârâu+9
1170	Pumnal foaie neagrã+0
1171	Pumnal foaie neagrã+1
1172	Pumnal foaie neagrã+2
1173	Pumnal foaie neagrã+3
1174	Pumnal foaie neagrã+4
1175	Pumnal foaie neagrã+5
1176	Pumnal foaie neagrã+6
1177	Pumnal foaie neagrã+7
1178	Pumnal foaie neagrã+8
1179	Pumnal foaie neagrã+9
1340	Lama 5 Elemente +0
1341	Lama 5 Elemente +1
1342	Lama 5 Elemente +2
1343	Lama 5 Elemente +3
1344	Lama 5 Elemente +4
1345	Lama 5 Elemente +5
1346	Lama 5 Elemente +6
1347	Lama 5 Elemente +7
1348	Lama 5 Elemente +8
1349	Lama 5 Elemente +9
2000	Arc+0
2001	Arc+1
2002	Arc+2
2003	Arc+3
2004	Arc+4
2005	Arc+5
2006	Arc+6
2007	Arc+7
2008	Arc+8
2009	Arc+9
2010	Arc lung+0
2011	Arc lung+1
2012	Arc lung+2
2013	Arc lung+3
2014	Arc lung+4
2015	Arc lung+5
2016	Arc lung+6
2017	Arc lung+7
2018	Arc lung+8
2019	Arc lung+9
2020	Arc compozit+0
2021	Arc compozit+1
2022	Arc compozit+2
2023	Arc compozit+3
2024	Arc compozit+4
2025	Arc compozit+5
2026	Arc compozit+6
2027	Arc compozit+7
2028	Arc compozit+8
2029	Arc compozit+9
2030	Arc de rãzboi+0
2031	Arc de rãzboi+1
2032	Arc de rãzboi+2
2033	Arc de rãzboi+3
2034	Arc de rãzboi+4
2035	Arc de rãzboi+5
2036	Arc de rãzboi+6
2037	Arc de rãzboi+7
2038	Arc de rãzboi+8
2039	Arc de rãzboi+9
2040	Arc lung de cãlãreþ+0
2041	Arc lung de cãlãreþ+1
2042	Arc lung de cãlãreþ+2
2043	Arc lung de cãlãreþ+3
2044	Arc lung de cãlãreþ+4
2045	Arc lung de cãlãreþ+5
2046	Arc lung de cãlãreþ+6
2047	Arc lung de cãlãreþ+7
2048	Arc lung de cãlãreþ+8
2049	Arc lung de cãlãreþ+9
2050	Arc cãlãreþ de rãzboi+0
2051	Arc cãlãreþ de rãzboi+1
