VNUM	LOCALE_NAME
1	янг
2	By TMP4
10	Меч+0
11	Меч+1
12	Меч+2
13	Меч+3
14	Меч+4
15	Меч+5
16	Меч+6
17	Меч+7
18	Меч+8
19	Меч+9
20	Длинный меч+0
21	Длинный меч+1
22	Длинный меч+2
23	Длинный меч+3
24	Длинный меч+4
25	Длинный меч+5
26	Длинный меч+6
27	Длинный меч+7
28	Длинный меч+8
29	Длинный меч+9
30	Меч-серп+0
31	Меч-серп+1
32	Меч-серп+2
33	Меч-серп+3
34	Меч-серп+4
35	Меч-серп+5
36	Меч-серп+6
37	Меч-серп+7
38	Меч-серп+8
39	Меч-серп+9
40	Бамбуковый меч+0
41	Бамбуковый меч+1
42	Бамбуковый меч+2
43	Бамбуковый меч+3
44	Бамбуковый меч+4
45	Бамбуковый меч+5
46	Бамбуковый меч+6
47	Бамбуковый меч+7
48	Бамбуковый меч+8
49	Бамбуковый меч+9
50	Широкий меч+0
51	Широкий меч+1
52	Широкий меч+2
53	Широкий меч+3
54	Широкий меч+4
55	Широкий меч+5
56	Широкий меч+6
57	Широкий меч+7
58	Широкий меч+8
59	Широкий меч+9
60	Серебряный меч+0
61	Серебряный меч+1
62	Серебряный меч+2
63	Серебряный меч+3
64	Серебряный меч+4
65	Серебряный меч+5
66	Серебряный меч+6
67	Серебряный меч+7
68	Серебряный меч+8
69	Серебряный меч+9
70	Меч орхидеи+0
71	Меч орхидеи+1
72	Меч орхидеи+2
73	Меч орхидеи+3
74	Меч орхидеи+4
75	Меч орхидеи+5
76	Меч орхидеи+6
77	Меч орхидеи+7
78	Меч орхидеи+8
79	Меч орхидеи+9
80	Полтораручный меч+0
81	Полтораручный меч+1
82	Полтораручный меч+2
83	Полтораручный меч+3
84	Полтораручный меч+4
85	Полтораручный меч+5
86	Полтораручный меч+6
87	Полтораручный меч+7
88	Полтораручный меч+8
89	Полтораручный меч+9
90	Меч варвара+0
91	Меч варвара+1
92	Меч варвара+2
93	Меч варвара+3
94	Меч варвара+4
95	Меч варвара+5
96	Меч варвара+6
97	Меч варвара+7
98	Меч варвара+8
99	Меч варвара+9
100	Кровавый меч+0
101	Кровавый меч+1
102	Кровавый меч+2
103	Кровавый меч+3
104	Кровавый меч+4
105	Кровавый меч+5
106	Кровавый меч+6
