VNUM	LOCALE_NAME
101	Divokı pes
102	Vlk
103	Silnı vlk
104	Modrı vlk
105	Modrı silnı vlk
106	Šedı vlk
107	Šedı silnı vlk
108	Divoèák
109	Èervenı divoèák
110	Medvìd
111	Medvìd grizzly
112	Èernı medvìd
113	Hnìdı medvìd
114	Tygr
115	Bílı tygr
131	Prokletı vlk
132	Prokletı silnı vlk
133	Prokletı modrı vlk
134	Prokletı modrı silnı vlk
135	Prokletı šedı vlk
136	Prokletı šedı silnı vlk
137	Prokletı divoèák
138	Prokletı èervenı divoèák
139	Prokletı medvìd
140	Prokletı medvìd grizzly
141	Prokletı èernı medvìd
142	Prokletı hnìdı medvìd
143	Prokletı tygr
144	Prokletı bílı tygr
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Hladovı divokı pes
172	Hladovı vlk
173	Hladovı silnı vlk
174	Hladovı modrı vlk
175	Hladovı modrı silnı vlk
176	Hladovı šedı vlk
177	Hladovı šedı silnı vlk
178	Hladovı divoèák
179	Hladovı èervenı divoèák
180	Hladovı medvìd
181	Hladovı medvìd grizzly
182	Hladovı èernı medvìd
183	Hladovı hnìdı medvìd
184	Hladovı tygr
185	Hladovı bílı tygr
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Vojaèka Bílé Pøísahy
302	Luèištnice Bílé Pøísahy
303	Generálka Bílé Pøísahy
304	Velitelka Bílé Pøísahy
331	Vojaèka Bílé Pøísahy
332	Luèištnice Bílé Pøísahy
333	Generálka Bílé Pøísahy
334	Velitelka Bílé Pøísahy
351	Zbabìlá vojaèka Pøísahy
352	Zbabìlı støelec Pøísahy
353	Zbabìlı generál Pøísahy
354	Zbabìlı velitel Pøísahy
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Bezduchá Mi-Jung
396	Bezduchá Eun-Jung
397	Bezduchá Se-Rang
398	Bezduchá Jin-Hee
401	Voják Èerného vìtru
402	Posedlı èernım vìtrem
403	Luèištník Èerného vìtru
404	Jak-To Èerného vìtru
405	To-Su Èerného vìtru
406	Gu-Ryung Èerného vìtru
431	Voják Èerné bouøe
432	Posedlı èernou bouøí
433	Luèištník Èerné bouøe
434	Joh-Hwan Èerné bouøe
435	Kyuk-Jang Èerné bouøe
436	Pho-Hwan Èerné bouøe
451	Zlı voják Èerné bouøe
452	Zlı posedlı bouøí
453	Zlı luèištník Bouøe
454	Zlı Joh-Hwan Bouøe
455	Zlı Kyuk-Jang Bouøe
456	Zlı Pho-Hwan Bouøe
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Divokı pìšák
502	Divokı poddanı
503	Divokı lukostøelec
504	Divokı generál
531	Brutální voják
532	Brutální posedlı
533	Brutální lukostøelec
534	Brutální specialista
551	Silnı divokı pìšák
552	Silnı divokı poddanı
553	Silnı divokı lukostøelec
554	Silnı divokı generál
591	Brutální velitel
595	Brutální Geum-Chul
601	Ork
602	Orèí zvìd
603	Orèí bojovník
604	Orèí šaman
631	Silnı ork
632	Silnı orèí zvìd
633	Silnı orèí bojovník
634	Silnı orèí šaman
635	Silnı orèí generál
636	Èernı ork
