VNUM	LOCALE_NAME
101	Wildhund
102	Wolf
103	Alpha-Wolf
104	Blauwolf
105	Alpha-Blauwolf
106	Grauwolf
107	Alpha-Grauwolf
108	Keiler
109	Roter Keiler
110	Bär
111	Grizzlybär
112	Schwarzbär
113	Braunbär
114	Tiger
115	Weißer Tiger
131	Verfl. Wolf
132	Verfl. Alpha-Wolf
133	Verfl. Blauwolf
134	Verfl. Alpha-Blauwolf
135	Verfl. Grauwolf
136	Verfl. Alpha-Grauwolf
137	Verfl. Keiler
138	Verfl. roter Keiler
139	Verfl. Bär
140	Verfl. Grizzlybär
141	Verfl. Schwarzbär
142	Verfl. Braunbär
143	Verfl. Tiger
144	Verfl. weißer Tiger
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Hungriger Wildhund
172	Hungriger Wolf
173	Hungriger Alpha-Wolf
174	Hungriger Blauwolf
175	Hungriger Alpha-Blauwolf
176	Hungriger Grauwolf
177	Hungriger Alpha-Grauwolf
178	Hungriger Keiler
179	Hungriger Roter Keiler
180	Hungriger Bär
181	Hungriger Grizzlybär
182	Hungriger Schwarzbär
183	Hungriger Braunbär
184	Hungriger Tiger
185	Hungriger Weißer Tiger
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Weißer-Eid Soldatin
302	Weißer-Eid Bogenschützin
303	Weißer-Eid Generalin
304	Weißer-Eid Kommandantin
331	Weißer-Eid Soldatin
332	Weißer-Eid Bogenschützin
333	Weißer-Eid Generalin
334	Weißer-Eid Kommandantin
351	Feiger Weißer-Eid-Soldat
352	Feiger W.-Eid Schütze
353	Feiger W.-Eid-General
354	Feiger W.-Eid-Kommandant
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Mutlose Mi-Jung
396	Mutlose Eun-Jung
397	Mutlose Se-Rang
398	Mutlose Jin-Hee
401	Schwarzwindsoldat
402	Schwarzwindbesessener
403	Schwarzwindbogenschütze
404	Schwarzwind-Jak-To
405	Schwarzwind-To-Su
406	Schwarzwind-Gu-Ryung
431	Schwarzer Sturmsoldat
432	Schw. Sturmbesessener
433	Schwarzer Bogenschütze
434	Schwarzer Sturm-Joh-Hwan
435	Schwarzer Sturm-Kyuk-Jan
436	Schwarzer Sturm-Pho-Hwan
451	Böser Schw. Sturmsoldat
452	Böser Sturmbesessener
453	Böser Sturmbogenschütze
454	Böser Sturm-Joh-Hwan
455	Böser Sturm-Kyuk-Jang
456	Böser Sturm-Pho-Hwan
491	Mahon
492	Bo
