VNUM	LOCALE_NAME
101	Vildhund
102	Ulv
103	Alpha-ulv
104	Blåulv
105	Alpha-blåulv
106	Gråulv
107	Alpha-gråulv
108	Vildsvin
109	Rødt vildsvin
110	Bjørn
111	Grizzlybjørn
112	Sortbjørn
113	Brunbjørn
114	Tiger
115	Hvid tiger
131	forbandet ulv
132	Forbandet alpha-ulv
133	Forbandet blåulv
134	Forbandet alpha-blåulv
135	Forbandet gråulv
136	Forbandet alpha-gråulv
137	Forbandet vildsvin
138	Forbandet rød vildsvin
139	Forbandet bjørn
140	Forbandet grizzlybjørn
141	Forbandet sortbjørn
142	Forbandet brunbjørn
143	Forbandet tiger
144	Forbandet hvid tiger
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Sulten vildhund
172	Sulten ulv
173	Sulten alpha-ulv
174	Sulten blåulv
175	Sulten alpha-blåulv
176	Sulten gråulv
177	Sulten alpha-gråulv
178	Sulten vildsvin
179	Sulten rød vildsvin
180	Sulten bjørn
181	Sulten grizzlybjørn
182	Sulten Sortbjørn
183	Sulten brunbjørn
184	Sulten tiger
185	Sulten hvid tiger
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Hvid-Ed soldat
302	Hvid-Ed bueskytte
303	Hvid-Ed general
304	Hvid-Ed kommandant
331	Hvid-Ed soldat
332	Hvid-Ed bueskytte
333	Hvid-Ed general
334	Hvid-Ed kommandant
351	Fej hvid-Ed soldat
352	Fej Hvid-Ed bueskytte
353	Fej Hvid-Ed general
354	Fej Hvid-Ed kommandant
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Modløs Mi-Jung
396	Modløs Eun-Jung
397	Modløs Se-Rang
398	Modløs Jin-Hee
401	Sortvind soldat
402	Sortvind besat
403	Sortvind bueskytte
404	Sortvind-Jak-To
405	Sortvind-To-Su
406	Sortvind-Gu-Ryung
431	Sort stormsoldat
432	Sort stormbesat
433	Sort bueskytte
434	Sort storm-Joh-Hwan
435	Sort storm-Kyuk-Jan
436	Sort storm-Pho-Hwan
451	Ond sort storm-soldat
452	Ond storm-besat
453	Ond storm-bueskytte
454	Ond storm-Joh-Hwan
455	Ond storm-Kyuk-Jang
456	Ond storm-Pho-Hwan
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Vild infanterist
502	Vild Helliget
503	Vild bueskytte
504	Vild general
531	Brutal soldat
532	Brutal besat
533	Brutal bueskytte
534	Brutal specialist
551	Stor vild infanterist
552	Stor vild Helliget
553	Stor vild bueskytte
554	Stor vild general
591	Brutal kaptajn
595	Brutal Geum-Chul
601	Ork
602	Ork-spion
603	Ork-kriger
604	Ork-troldmand
631	Stolt ork
632	Stolt ork-spion
633	Stolt ork-kriger
634	Stolt ork-troldmand
635	Stolt ork-general
636	Sort ork
637	Sort kæmpe-ork
651	Modig stor ork
652	Modig stor ork-spion
653	Modig stor ork-kriger
654	Modig stor ork-troldmand
655	Modig stor ork-general
656	Modig kraftig ork
657	Modig kraftig kæmpe-ork
691	Ledende ork
692	Mørk ledende ork
693	Ånde ork-leder
701	Mørk fanatiker
702	Mørk Arahan
703	Mørk kriger
704	Øverste mørke Arahan
705	Mørk skarpretter
706	Mørk plageånd
707	Mørk besværger
731	Stolt mørk fanatiker
732	Stolt mørk Arahan
733	Stolt mørk kriger
734	Stolt mørk oberst
735	Stolt mørk skytte
736	Stolt mørk plageånd
737	Stolt mørk troldmand
751	Høj fanatiker
752	Høj Arahan
753	Høj Arahan-kriger
754	Høj oberst-Arahan
755	Høj skarpretter
756	Høj plageånd
757	Høj besværger
771	Brutal fanatiker
772	Brutal Arahan
773	Brutal Arahan-kriger
774	Brutal oberst-Arahan
775	Brutal skarpretter
776	Brutal plageånd
777	Brutal besværger
791	Mørk leder
792	Mørk ånde-leder
793	Mørk elite leder
794	Elite ånde-leder
795	Elite kriger
796	Mørk elite kriger
901	Lig-ånd
902	Pest-hund
903	Pest-mand
904	Pest-sværdkriger
905	Pest-spydkriger
906	Pest-bueskytte
907	Pest-leder
931	Vild lig-ånd
932	Vild pest-hund
933	Vild pest-mand
934	Vild pest-kriger
935	Vild pest-spydkriger
936	Vild pest-bueskytte
937	Vild pest-leder
991	Pest æg
992	Pest-bærer
993	Kæmpe pest-bærer
1001	Dæmon soldat
1002	Dæmon bueskytte
1003	Dæmon spydkriger
1004	Dæmon shaman
1031	Ond soldat
1032	Ond bueskytte
1033	Ond spydkriger
1034	Ond shaman
1035	Vredens ånd
1036	Kaotisk ånd
1037	Ond dæmonleder
1038	Dødningehovedsværdmester
1039	Flyvende dødningehoved
1040	Udødelig ånd
1041	Dæmonisk dyr
1061	Ond åndesoldat
1062	Ond åndeskytte
1063	Ond åndekriger
1064	Ond åndeshaman
1065	Ond vred ånd
1066	Ond kaotisk ånd
1067	Ond åndeleder
1068	Ånd sværdmester
1069	Ond flyv. dødningehoved
1070	Udødelig ånd
1071	Dæmonisk dyr
1091	Dæmonekonge
1092	Stolt dæmonkonge
1093	Høstmand
1094	Ond dæmonkonge
1095	Blå død
1096	????
1101	Fortryllet is
1102	Is-spækhugger
1103	Is-insekt
1104	Is-løve
1105	Kølig Is-mand
1106	Yeti
1107	Is-golem
1131	Underjordisk Is-Splinter
1132	Underjord Is-Dræber-Hval
1133	Underjordisk Is-Insekt
1134	Underjordisk Is-Løve
1135	Underjordisk Is-Mand
1136	Underjordisk Yeti
1137	Underjordisk Is-Golem
1151	Is-djævel
1152	Ishorn Spækhugger
1153	Is-insekt
1154	Seol-Gu
1155	Is-mand
1156	Is-kæmpe
1157	Is-golem
1171	Ond fortryllet is
1172	Ond is-spækhugger
1173	Ond is-insekt
1174	Ond is-løve
1175	Ond is-mand
1176	Ond Yeti
1177	Ond is-golem
1191	Is-heks
1192	Stor is-heks
1301	Træfrø-soldat
1302	Træfrø-leder
1303	Fjols
1304	Gul tigerånd
1305	Oksefrø-general
1306	Ond gul tigerånd
1307	Ond gul tigerånd
1308	NoNAme
1309	NoNAme
1310	NoNAme
1331	Stor Træfrø-soldat
1332	Stor træfrø-leder
1333	Stor fjols
1334	Stor gul tigerånd
1335	Stor oksefrø-general
1401	Ødelægger
1402	Økse kriger
1403	Tusind kriger
1501	Sten-golem
1502	Stenbidder
1503	Kæmpe fels-golem
1601	Oger kriger
1602	Oger slagter
1603	Oger berserker
1901	Nihalede
1902	Elite nihalede
1903	Elite nihalede
1904	NoNAme
1905	NoNAme
1906	NoNAme
2001	Baby edderkop
2002	Gift-edderkop
2003	Rød gift-edderkop
2004	Klo-edderkop
2005	Soldater-edderkop
2031	Baby gift-edderkop
2032	Dræbende gift-edderkop
2033	Rød vred gift-edderkop
2034	Klo gift-edderkop
2035	Soldat gift-edderkop
2036	Stolt soldatgiftedderkop
2051	Ond baby gift-edderkop
2052	Ond dræb. gift-edderkop
2053	Ond rød gift-edderkop
2054	Ond klo gift-edderkop
2055	Ond soldat gift-edderkop
2061	Lille gift-edderkop
2062	Dræbende gift-edderkop
2063	Rød dræb. gift-edderkop
2064	Klo gift-edderkop
2065	Soldat gift-edderkop
2071	Brut. baby gift-edderkop
2072	Brut. dræb.gift-edderkop
2073	Brut.  rød gift-edderkop
2074	Brutal klo gift-edderkop
2075	Brutal soldat-edderkop
2076	Brutal st. gift-edderkop
2091	Edderkoppe dronning
2092	Edderkoppe-baronesse
2093	Mørk edderkoppe dronning
2094	Edderkoppe Baron
2095	Edderkoppe Æg
2101	Ørkenræv
2102	Flyvende ørkenøje
2103	Kongeskorpion
2104	Ung skorpion mand
2105	Skorpion bueskytte
2106	Slange sværdkriger
2107	Slange bueskytte
2108	Ørkenbandit
2131	Bestialsk skorpion mand
2132	Skorpion bueskytte
2133	Slange sværdkriger
2134	Slange bueskytte
2135	Ørkenbandit
2151	Stærk ørkenræv
2152	Stærk dervish
2153	Stærk kongeskorpion
2154	Skærk skorpion mand
2155	Stærk skorpion bueskytte
2156	Stærk slangekriger
2157	Stærk slangebueskytte
2158	Stærk ørkenbandit
2191	Stor ørken-skildpadde
2192	Mørk ørken-skildpadde
2201	Kamptigerslave
2202	Flamme-ånd
2203	Kamptiger
2204	Flamme
2205	Flamme-kriger
2206	Flamme-konge
2207	Mørk flamme-konge
2231	Stærk kamptigerslave
