VNUM	LOCALE_NAME
101	Aγριόσκυλο
102	Λύκος
103	Αλφα Λύκος
104	Μπλε Λύκος
105	Άλφα Μπλε Λύκος
106	Γκρι Λύκος
107	Αλφα Γκρι Λύκος
108	Αγριόχοιρος
109	Κόκκινος Αγριόχοιρος
110	Αρκούδα
111	Αρκούδα Γκρίζλυ
112	Μαύρη Αρκούδα
113	Καφέ Αρκούδα
114	Τίγρη
115	Λευκή Τίγρη
131	Καταραμένος Λύκος
132	Καταραμένος Αλφα Λύκος
133	Καταραμένος Μπλε Λύκος
134	Καταρ. Αλφα Μπλε Λύκος
135	Καταραμένος Γκρι Λύκος
136	Καταρ. Αλφα Γκρι Λύκος
137	Καταραμένος Αγριόχοιρος
138	Κατ.Κόκινος Αγριόχοιρος
139	Καταραμένη Αρκούδα
140	Καταραμ. Αρκούδα Γκρίζλυ
141	Καταραμ. Μαύρη Αρκούδα
142	Καταραμένη Καφέ Αρκούδα
143	Καταραμένη Τίγρη
144	Καταραμένη Λευκή Τίγρη
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Πεινασμένο Σκυλί
172	Πεινασμένος Λύκος
173	Πεινασμένος Άλφα Λύκος
174	Πεινασμένος Μπλε Λύκος
175	Πεινασμ.Άλφα Μπλε Λύκος
176	Πεινασμένος Γκρι Λύκος
177	Πεινασμ.Αλφα Γκρι Λύκος
178	Πεινασμένος Αγριόχοιρος
179	Πειν. Κόκ. Αγριόχοιρος
180	Πεινασμένη Αρκούδα
181	Πεινασμένη Γκρίζλυ
182	Πεινασμένη Μαύρη Αρκούδα
183	Πεινασμένη Καφέ Αρκούδα
184	Πεινασμένη Τίγρη
185	Πεινασμένη Λευκή Τίγρη
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Πολεμιστής Λευκού Όρκου
302	Τοξότης Λευκού Όρκου
303	Στρατηγός Λευκού Όρκου
304	Διοικητής Λευκού Όρκου
331	Πολεμιστής Λευκού Όρκου
332	Τοξότης Λευκού Όρκου
333	Στρατηγός Λευκού Όρκου
334	Διοικητής Λευκού Όρκου
351	Δειλός Μαχητής Λ. Όρκου
352	Δειλός Τοξότης Λ. Όρκου
353	Menelmacar
354	Δειλός Διοικ. Λ. Όρκου
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Δειλή Mi-Jung
396	Δειλή Eun-Jung
397	Δειλοί Se-Rang
398	Δειλοί Jin-Hee
