VNUM	LOCALE_NAME
101	Wilde Hond
102	Wolf
103	Alfa Wolf
104	Blauwe Wolf
105	Alfa Blauwe Wolf
106	Grijze Wolf
107	Alfa Grijze Wolf
108	Wild Zwijn
109	Rood Wild Zwijn
110	Beer
111	Grizzly Beer
112	Zwarte Beer
113	Bruine Beer
114	Tijger
115	Witte Tijger
131	Vervloekte Wolf
132	Vervloekte Alfa Wolf
133	Vervloekte Blauwe Wolf
134	Vervloekte Bl. Alfa Wolf
135	Vervloekte Grijze Wolf
136	Vervloekte Gr. Alfa Wolf
137	Vervloekt Wild Zwijn
138	Verv. Rood Wild Zwijn
139	Vervloekte Beer
140	Vervloekte Grizzly Beer
141	Vervloekte Zwarte Beer
142	Vervloekte Bruine Beer
143	Vervloekte Tijger
144	Vervloekte Witte Tijger
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Hongerige Straat Hond
172	Hongerige Wolf
173	Hongerige Alfa Wolf
174	Hongerige Blauwe Wolf
175	Hon. Alfa  Blauwe Wolf
176	Hongerige Grijze Wolf
177	Hong. Alfa Grijze Wolf
178	Hongerig Wild Zwijn
179	Hong. Rood Wild  Zwijn
180	Hongerige Beer
181	Hongerige Grizzly
182	Hongerige Zwarte Beer
183	Hongerige Bruine Beer
184	Hongerige Tijger
185	Hongerige Witte Tijger
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Witte Eed Soldaat
302	Witte Eed Boogschutter
303	Witte Eed Generaal
304	Witte Eed Commandant
331	Witte Eed Soldaat
332	Witte Eed Boogschutter
333	Witte Eed Generaal
334	Witte Eed Commandant
351	Slap Witte Eed Soldaat
352	Slap W.  Eed B.Schutter
353	Slap Witte Eed Generaal
354	Slap W. Eed Commandant
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Moedloze Mi-Jung
396	Moedloze Eun-Jung
397	Moedloze Se-Rang
398	Moedloze Jin-Hee
401	Zwarte Wind Soldaat
402	Zwarte Wind Maniak
403	Zwarte Wind Boogschutter
404	Zwarte Wind Jak-To
405	Zwarte Wind To-Su
406	Zwarte Wind Gu-Ryung
431	Zwarte Storm Soldaat
432	Zwarte Storm Maniak
433	Zwarte Storm B.schutter
434	Zwarte Storm Joh-Hwan
435	Zwarte Storm Kyuk-Jang
436	Zwarte Storm Pho-Hwan
451	Gem. Zw. Storm Soldaat
452	Gem Zw. Storm Maniak
453	Gem Zw. Storm B.schutter
454	Gem. Zw. Storm Joh-Hwa
455	Gem. Zw. Storm Kyuk-Ja
456	Gem. Zw. Storm Pho-Hwa
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Wilde Infanterist
502	Wilde Dienaar
503	Wilde Boogschutter
504	Wilde Generaal
531	Brute Soldaat
532	Brute Maniak
533	Brute Boogschutter
534	Brute Specialist
551	Brute Wilde Infanterist
552	Brute Wilde Dienaar
553	Brute Wilde B.schutter
554	Brute Wilde Generaal
591	Brute Kapitein
595	Brute Geum-Chul
601	Ork
602	Ork Verkenner
603	Ork Krijger
604	Ork Tovenaar
631	Elite Ork
632	Elite Ork Verkenner
633	Elite Ork Krijger
634	Elite Ork Tovenaar
635	Elite Ork Generaal
636	Zwarte Ork
637	Zwart Ork Reus
651	Brutale Grote Ork
652	Brut. Gr. Ork Verkenner
653	Brutale Gr. Ork Krijger
654	Brutale Gr. Ork Tovenaar
655	Brutale Gr. Ork Generaal
656	Brutale Zwarte Ork
657	Brutale Zwarte Ork Reus
691	Ork Aanvoerder
692	Elite Ork Aanvoerder
693	Herboren Ork Aanvoerder
701	Donkere Fanaticus
702	Donkere Arahan
703	Arahan krijger
704	Arahan stamhoofd
705	Esoterisch Beul
706	Donkere Martelaar
707	Donkere Oproeper
731	Trotse Donkere Fanaticus
732	Trotse Donker Arahan
733	Trotse Donker Krijger
734	Trotse Donker Kolonel
735	Tr. Donker Geweerman
736	El. Esot. Martelaar
737	El. Eso. Oproeper
751	Hoog Fanaticus
752	Hoog Arahan
753	Hoog Arahan Krijger
754	Hoog Elite Arahan
755	Hoog Doodsman
756	Hoog Martelaar
757	Hoog Gezworene
771	Brute Fanaticus
772	Brute Arahan
773	Brute Arahan Krijger
774	Brute Arahan Aanvoerder
775	Brute Doodsman
776	Brute Martelaar
777	Brute Gezworene
791	Donkere Leider
792	Donkere Spook Leider
793	Elite Donker Leider
794	El. Donker Spook Leider
795	Elite Krijger
796	El. Esoterisch Krijger
901	Dood Lichaam Spook
902	Zieke Hond
903	Zieke Man
904	Zieke Zwaardman
905	Zieke Speerman
