VNUM	LOCALE_NAME
101	Dziki Pies
102	Wilk
103	Alfa Wilk
104	Nieb. Wilk
105	Nieb. Alfa Wilk
106	Szary Wilk
107	Szary Alfa Wilk
108	Dzik
109	Czerw. Dzik
110	NiedŸwiedŸ
111	NiedŸw. Grizzly
112	Czar. NiedŸw.
113	Br¹z. NiedŸw.
114	Tygrys
115	Bia³y Tygrys
131	Przeklêty Wilk
132	Przeklêty Alfa Wilk
133	Przeklêty Nieb. Wilk
134	Przekl. Nieb. Alfa Wilk
135	Przeklêty Szary Wilk
136	Przekl. Szary Alfa Wilk
137	Przeklêty Dzik
138	Przeklêty Czerw. Dzik
139	Przeklêty NiedŸw.
140	Przekl. NiedŸw. Grizzly
141	Przeklêty Czar. NiedŸw.
142	Przeklêty Br¹z. NiedŸw.
143	Przeklêty Tygrys
144	Przeklêty Bia³y Tygrys
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	G³odny Zab³¹kany Pies
172	G³odny Wilk
173	G³odny Alfa Wilk
174	G³odny Nieb. Wilk
175	G³odny Nieb. Alfa Wilk
176	G³odny Szary Wilk
177	G³odny Szary Alfa Wilk
178	G³odny Dzik
179	G³odny Czerw. Dzik
180	G³odny NiedŸw.
181	G³odny NiedŸw. Grizzly
182	G³odny Czar. NiedŸw.
183	G³odny Br¹z. NiedŸw.
184	G³odny Tygrys
185	G³odny Bia³y Tygrys
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Zaprzys. ¯o³nierz
302	Zaprzys. £ucznik
303	Zaprzys. Genera³
304	Zaprzys. Komandor
331	Zaprzys. ¯o³nierz
332	Zaprzys. £ucznik
333	Zaprzys. Genera³
334	Zaprzys. Komandor
351	Tchórz. Zaprzys. ¯o³n.
352	Tchórz. Zaprzys. £ucznik
353	Tchórz. Zaprzys. Genera³
354	Tchórz. Zaprzys. Komand.
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Bezduszna Mi-Jung
396	Bezduszna Eun-Jung
397	Bezduszna Se-Rang
398	Bezduszna Jin-Hee
401	¯o³nierz Czarn. Wiatru
402	Maniak Czarnego Wiatru
403	£ucznik Czarnego Wiatru
404	Jak-To Czarnego Wiatru
405	To-Su Czarnego Wiatru
406	Gu-Ryung Czarnego Wiatru
431	¯o³nierz Czarn. Burzy
432	Maniak Czarn. Burzy
433	£ucznik Czarn. Burzy
434	Joh-Hwan Czarn. Burzy
435	Kyuk-Jan Czarn. Burzy
436	Pho-Hwan Czarn. Burzy
451	Z³y Czar. Burz. ¯o³nierz
452	Z³y Czar. Burz. Maniak
453	Z³y Czar. Burz. £ucznik
454	Z³y Czar. Burz. Joh-Hwan
455	Z³y Czar. Burz.Kyuk-Jang
456	Z³y Czar. Burz. Pho-Hwan
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Dziki ¯o³nierz Piechoty
502	Dziki S³uga
503	Dziki £ucznik
504	Dziki Genera³
531	Best. ¯o³nierz
532	Best. Maniak
533	Bestialski £ucznik
534	Best. Specjalista
551	Silny Dziki Piechur.
552	Silny Dziki S³uga
553	Silny Dziki £ucznik
554	Silny Dziki Genera³
591	Best. Kapitan
595	Best. Guem-Chul
601	Ork
602	Ork Zwiadowca
603	Ork Wojownik
604	Ork Czarodziej
631	Elit. Ork
632	Elit. Ork Zwiadowca
633	Elit. Ork Wojownik
634	Elit. Ork Czarodziej
635	Elit. Ork Genera³
636	Czarny Ork
637	Czarny Ork Zwiadowca
651	Du¿y £ysy Ork
652	Du¿y £ysy Ork Zwiadowca
653	Du¿y £ysy Ork Wojownik
654	Du¿y £ysy Ork Czarodziej
655	Du¿y £ysy Ork Genera³
656	£ysy Czarny Ork
657	Olbrz. £ysy Czar. Ork
691	Wódz Orków
692	Elit. Wódz Orków
693	Odrodzony Wódz Orków
701	Ezot. Fanatyk
702	Ezot. Arahan
703	Ezot. Wojownik Arahan
704	Wódz Ezot. Arahan
705	Ezot. Egzekutor
706	Ezot. Drêczyciel
707	Ezot. Przyzywacz
731	Elit. Ezot. Fanatyk
732	Elit. Ezot. Arahan
733	Elit. Ezot. Wojownik
734	Elit. Ezot. Wódz
735	Elit. Ezot. Egzekutor
736	Elit. Ezot. Drêczyciel
737	Elit. Ezot. Przyzywacz
751	Wysoki Fanatyk
752	Wysoki Arahan
753	Wysoki Wojownik Arahan
754	Wysoki Elit. Arahan
755	Wysoki Œmiercionoœny
756	Wysoki Drêczyciel
757	Wysoki Przywo³ywacz
771	Best. Fanatyk
772	Best. Arahan
773	Best. Wojow. Arahan
774	Best. Wódz Arahan
775	Best. Œmiercionoœny
776	Best. Drêczyciel
777	Best. Przywo³ywacz
791	Ezot. Przyw.
792	Reinkar. Ezot. Przyw.
