VNUM	LOCALE_NAME
101	Дикий пес
102	Волк
103	Волк Альфа
104	Голубой волк
105	Голубой волк альфа
106	Серый волк
107	Серый волк альфа
108	Кабан
109	Красный кабан
110	Медведь
111	Гризли
112	Барибал
113	Бурый медведь
114	Тигр
115	Белый тигр
131	Поганый волк
132	Поганый волк альфа
133	Поганый голубой волк
134	Поганый.гол. волк альфа
135	Поганый серый волк
136	Поганый серый волк альфа
137	Поганый кабан
138	Поганый красный кабан
139	Поганый медведь
140	Поганый гризли
141	Поганый барибал
142	Поганый бурый медведь
143	Поганый тигр
144	Проклят. белый тигр
151	Ганг Мок
152	Му-Ранг
153	Джуг-Хул
154	Янг-Джи
155	Ли-Ан
171	Голодный дикий пес
172	Голодный волк
173	Голодный волк альфа
174	Голодный голубой волк
175	Голодн. голуб.волк альфа
176	Голодный серый волк
177	Голодн.серый волк альфа
178	Голодный кабан
179	Голодн.красный кабан
180	Голодный медведь
181	Голодный гризли
182	Голодный барибал
183	Голодн. бурый медведь
184	Голодный тигр
185	Белый голодный тигр
191	Лукос
192	Скрофа
193	Бера
194	Тигр
301	Солдатка Белой Клятвы
302	Лучница Белой Клятвы
303	Генеральша Белой Клятвы
304	Комендантша Белой Клятвы
331	Солдатка Белой Клятвы
332	Лучница Белой Клятвы
333	Генеральша Белой Клятвы
334	Комендантша Белой Клятвы
351	Оробел.солдат Бел.Клятвы
352	Оробелый лучн.бел.клятвы
353	Оробел.генерал б.клятвы
354	Ороб.комендант б.клятвы
391	Ми-Юнг
392	Ойн-Юнг
393	Зе-Ранг
394	Джинь-Хи
395	Унылый Ми-Юнг
396	Унылая Еюн-Юнг
397	Унылая Се-Ранг
398	Унылая Чин-Хи
401	Солдат Мрачного Ветра
402	Маньяк Мрачного Ветра
403	Лучник Мрачного Ветра
404	Як-То Мрачного Ветра
405	То-Зу Мрачного Ветра
406	Гу-Райнг Мрачного Ветра
431	Солдат Мрачной Бури
432	Маньяк Мрачной Бури
433	Лучник Мрачной Бури
434	Джох-Хван-Мрачной Бури
435	Каюк Джан Мрачной Бури
436	Фо-Хван Мрачн. Бури
451	Злобный солдат Мрач.Бури
452	Злобный маньяк Мрач.Бури
453	Злобный лучник Мрач.Бури
454	Джох-Хван Злобной Бури
455	Каюк-Джан Злобной Бури
456	Пхо-Хван Злобной Бури
491	Махон
492	Бо
493	Го-Пае
494	Хуонг
501	Одичавший пехотинец
502	Одичавший пленник
503	Одичавший лучник
504	Одичавший генерал
531	Жестокий солдат
532	Жестокий маньяк
533	Жестокий лучник
534	Жестокий эксперт
551	Опытн.одичавш.пехотинец
552	Опытн.одичавш.пленник
553	Опытн.одичавш.лучник
554	Опытн.одичавш.генерал
591	Жестокий главарь
595	Жестокий Гойм-Хул
601	Орк
602	Дозорный орк
603	Орк-воин
604	Орк-волшебник
631	Спесивый орк
632	Спесивый дозорный орк
633	Спесивый орк-воин
634	Спесивый орк-волшебник
635	Спесивый генерал орков
636	Мрачный орк
637	Мрачный орк-громила
651	Смелый орк
652	Смелый дозорный орк
653	Смелый орк-воин
654	Смелый орк-волшебник
655	Смелый генерал орков
656	Смелый мрачный орк
657	Смел.мрачный орк-громила
691	Старший Орк
692	Мрачный старшина орк
693	Призрачн.главарь орков
701	Мрачный фанатик
702	Мрачный Арахан
703	Мрачный воин
704	Мрачный старшина Арахан
705	Мрачный палач
706	Мрачный каратель
707	Мрачный вестник смерти
731	Спесивый мрачн.фанатик
732	Спесивый мрачн.Арахан
733	Спесивый мрачный воин
734	Спесивый мрачн.полковник
735	Спесивый мрачн.стрелок
736	Спесивый мрачн.каратель
737	Спесивый мрач.волшебник
751	Верховный фанатик
752	Верховный Арахан
753	Верховный воин Арахан
754	Верховн.старшина Арахан
755	Верховный палач
756	Верховный каратель
757	Верховный вестник смерти
771	Жестокий фанатик
772	Жестокий Арахан
773	Жестокий воин Арахан
774	Жестокий старшина Арахан
775	Жестокий палач
776	Жестокий каратель
777	Жестокий вестник смерти
791	Мрачный главарь
792	Мрачный призрачн.главарь
793	Элитный мрачный главарь
794	Элитный призрачн.главарь
795	Элитный воин
796	Элитный мрачный воин
901	Дух покинутого тела
902	Чумной пес
903	Чумной воин
904	Чумной меченосец
905	Чумной копьеносец
906	Чумной лучник
907	Чумной вожак
931	Яростн.дух покинут.тела
932	Яростный чумной пес
933	Яростный чумной воин
934	Яростный чумной воин
935	Ярост.чумной копьеносец
936	Яростный чумной лучник
937	Яростный чумной вожак
991	Чума
992	Возбудитель Чумы
993	Громада-возбудитель Чумы
1001	Солдат Демона
1002	Лучник Демона
1003	Копьеносец Демона
1004	Шаман Демона
1031	Гнусный солдат
1032	Гнусный лучник
1033	Гнусный копьеносец
1034	Гнусный шаман
1035	Дух Злобы
1036	Дух Хаоса
1037	Гнусный Вожак Демонских
1038	Мастер Меча Черепа
1039	Летучий Череп
1040	Бессмертный дух
1041	Демонический зверь
1061	Гнусный призрач.солдат
1062	Гнусный призрач.лучник
1063	Гнусный призрачный воин
1064	Гнусный призрачн.шаман
1065	Гнусный Дух Злобы
1066	Гнусный Дух Хаоса
1067	Гнусный призрачн.главарь
1068	Призрачн. Мастер Меча
1069	Гнусный Летучий Череп
1070	Бессмертный дух
1071	Демонический зверь
1091	Босс Демонов
1092	Гордый Босс Демонов
1093	Жнец Смерти
1094	Гнусный Босс Демонов
1095	Голубая смерть
1096	????
1101	Заколдованный лед
1102	Ледяной кит-убийца
1103	Ледяное насекомое
1104	Ледяной лев
1105	Ледяной человек
1106	Йети
1107	Ледяной фантом
1131	Потусторонний лед. оск.
1132	Потусторонняя лед. кас.
1133	Потусторонний лед. жук
1134	Потусторонний лед. лев
1135	Потусторонний лед. муж
1136	Потусторонний йети
1137	Потусторонний лед. голем
1151	Ледяной дьявол
1152	Кит-убийца-ледяной рог
1153	Ледяное насекомое
1154	Зойл-Гу
1155	Ледяной муж
1156	Ледяной исполин
1157	Ледяной фантом
1171	Зловещий заколдован. лёд
1172	Зловещий лед.кит-убийца
1173	Зловещее лед. насекомое
1174	Зловещий ледяной лев
1175	Зловещий ледяной муж
1176	Зловещий йети
1177	Зловещий ледяной фантом
1191	Ледяная ведьма
1192	Могучая ледяная ведьма
1301	Древесный ляг-солдат
1302	Главарь древесных лягов
1303	Голем
1304	Призрак желтого тигра
1305	Генерал бычих лягов
1306	Злов.призрак желт.тигра
1307	Злов.призрак желт.тигра
1308	NoNAme
1309	NoNAme
1310	NoNAme
1331	Могуч.древесн.ляг-солдат
1332	Мог.главарь древес.лягов
1333	Могучий голем
1334	Могуч.призрак желт.тигра
1335	Могуч.генерал быч.лягов
1401	Разрушитель
1402	Воин с топором
1403	Тысяча воинов
1501	Каменный фантом
1502	Каменный Голем
1503	Громадн.скалистый фантом
1601	Огр-воин
1602	Огр-палач
1603	Огр-берсеркер
1901	Девятихвост
1902	Элитный девятихвост
1903	Элитный девятихвост
1904	NoNAme
1905	NoNAme
1906	NoNAme
2001	Детёныш паука
2002	Ядовитый паук
2003	Красный ядовитый паук
2004	Паук-клещи
2005	Паук-солдат
2031	Детеныш ядовитого паука
2032	Смертный ядовитый паук
2033	Красн.смерт.яд.паук
2034	Ядовитый паук-клещи
2035	Ядовитый паук-солдат
2036	Гордый паук солдат
2051	Злобный детёныш паука
2052	Злобный смертн.паук
2053	Злобный красн.ядов.паук
2054	Злобн.ядовит.паук-клещи
2055	Злобн.ядовит паук-солдат
2061	Маленький ядовит.паук
2062	Смертный ядовитый паук
2063	Красн.смертн.ядовит.паук
2064	Ядовитый паук-клещи
2065	Ядовитый паук-солдат
2071	Кровожадн.детёныш паука
2072	Кровожадн.смертн.паук
2073	Кровожадн.смертн.паук
2074	Кровожадн.паук-клещи
2075	Кровожадн.паук-солдат
2076	Кровожадн.матёрый паук
2091	Королева пауков
2092	Баронесса пауков
2093	Чёрная королева пауков
2094	Барон пауков
2095	Яйцо паука
2101	Лис пустыни
2102	Парящее око пустыни
2103	Босс скорпионов
2104	Воин-скорпион
2105	Скорпион-лучник
2106	Змий-меченосец
2107	Змий-лучник
2108	Мародёр пустыни
2131	Воин-скорпион
2132	Лучник-скорпион
2133	Змий-меченосец
2134	Змий-лучник
2135	Мародёр пустыни
2151	Матёрый лис пустыни
2152	Матёрый дервиш
2153	Матёрый Босс скорпионов
2154	Матёрый воин-скорпион
2155	Матёрый лучник-скорпион
2156	Матёрый змий-меченосец
2157	Матёрый змий-лучник
2158	Матёрый мародёр пустыни
2191	Гигантс.черепаха пустыни
2192	Чёрная черепаха пустыни
2201	Порабощённый боев.тигр
2202	Огненный призрак
2203	Боевой тигр
2204	Пламя
2205	Воин пламени
2206	Владыка пламени
2207	Мрачный владыка пламени
2231	Матёрый порабощён.тигр
2232	Матёрый огненный призрак
2233	Матёрый боевой тигр
2234	Матёрое пламя
2235	Матёрый воин пламени
2291	Красный Дракон
2301	Призрачное дерево
2302	Призрачный пень
2303	Дриада
2304	Призрачная ветла
2305	Дерево Злобы
2306	Громадн.призрачн.дерево
2307	Лорд призрачн.деревьев
2311	Красн.призрачное дерево
2312	Красн.призрачный пень
2313	Красная дриада
2314	Красн.призрачная ветла
2315	Красн.дерево злобы
2401	Сетао Боец
2402	Сетао Охотник
2403	Сетао Мистик
2404	Сетао Вожак
2411	Сетао Солдат
2412	Сетао Лучник
2413	Сетао Судья
2414	Сетао Командующий
2431	????
2432	????
2433	????
2434	????
2451	?????
2452	?????
2453	?????
2454	?????
2491	Сетао-Командующий
2492	Сетао-Генерал
2493	Беран-Сету
2494	Сетао-Генерал
2495	Сетао-Генерал
2501	Адская медуза
2502	Адский пес
2503	Зомби
2504	Адский офицер
2505	Адский охранник
2506	Двухголовый ад. лучник
2507	Адский захватчик
2508	Адский воин
2509	Адский лучник
2510	Адский копьеносец
2511	Адский жрец
2512	Адский капитан
2513	Адский палач
2514	Адский генерал
2541	Жестокий адский воин
2542	Жестокий адский лучник
2543	Жестокий ад. копьеносец
2544	Жестокий адский жрец
2545	Жестокий адский капитан
2546	Жестокий адский палач
2547	Жестокий адский генерал
2591	Тартар
2592	Наследник ада
2593	Наследник ада
2594	Наследник ада
2595	Эреб
2596	Исчадие Азраэля
2597	Харон
2598	Азраэль
3001	Гнолл-Истребитель
3002	Гнолл-Стрелок
3003	Гнолл-Защитник
3004	Гнолл-Маг
3005	Гнолл-Генерал
3090	Владыка Гнолл
3091	Верховный Гнолл-Охранник
3101	Одноглазый Забияка
3102	Циклоп-Солдат
3103	Циклоп-Маг
3104	Циклоп-Палач
3105	Генерал Оутис
3190	Аргес
3191	Полифем
3201	Мантикор-Истребитель
3202	Мантикор-Солдат
3203	Мантикор-Маг
3204	Мантикор-Палач
3205	Генерал Кор
3290	Ракшас
3291	Мартиаксвар
3301	Лемур-Истребитель
3302	Лемур-Солдат
3303	Лемур-Маг
3304	Лемур-Палач
3305	Лемур-Генерал
3390	Лемур-Князь
3391	Лемур-Телохранитель
3401	Мурена тритона
3402	Солдат акулы
3403	Маг тритона
3404	Охотник тритона
3405	Потрошитель тритона
3490	Генерал Каппа
3491	Тритон
3501	Красн. амазонка плутовка
3502	Красн. убийца плутовка
3503	Крас. чародейка плутовка
3504	Красн. палач мошенник
3505	Черный Генерал
3551	Жес. крас. амазонка плут
3552	Жес. крас. убийца плут.
3553	Жес. крас. чар. плутовка
3554	Жес. кра. палач мошенник
3555	Белый Генерал
3590	Костянное лицо
3591	Красный вождь
3595	Жес. костянное лицо
3596	Жестокий красный вождь
3601	Краб-Истребитель
3602	Скорпион-стрелок
3603	Креветка-солдат
3604	Дьявольский отшельник
3605	Бронированный краб
3690	Генерал Омар
3691	Король краб
3701	Гигантский кусака
3702	Гигантский мясник
3703	Гигантский маг
3704	Двойной гигант
3705	Капитан крюк
3790	Горгулья
3791	Король Вобба
3801	Палач людоед
3802	Лучник людоед
3803	Агрессивный людоед
3804	Людоед маг
3805	Генерал Огг
3890	Капитан Шрек
3891	Великий людоед
3901	Злобная ива
3902	Эотен
3903	Скумен
3904	Капитан крюк
3905	Зе-Ранг
3906	Джинь-Хи
3907	Крас. чародейка плутовка
3908	Жес. кра. палач мошенник
3909	Белый Генерал
3910	Костянное лицо
3911	Аку-Боку
3912	Дендрарий
3913	Сикамор
5001	Пират Танака
5002	Хайе-Тайе
5003	Обезьяна
5004	Пират Танака
5101	Рядовая обезьяна-заморыш
5102	Меткая обез.-заморыш
5103	Боевая обезьяна-заморыш
5104	Обезьян.генерал-заморыш
5111	Рядовая обезьяна
5112	Меткая обезьяна
5113	Боевая обезьяна
5114	Обезьяний генерал
5115	Каменная обезьяна
5116	Обезьяний вожак
5121	Опытная рядовая обезьяна
5122	Опытн.меткая обезьяна
5123	Опытная боевая обезьяна
5124	Опытн. обезьян.генерал
5125	Опытн. камен. обезьяна
5126	Опытн.золотоя обезьяна
5127	Опытн.обезьян.вожак
5131	Умная рядовая обезьяна
5132	Умная меткая обезьяна
5133	Умная боевая обезьяна
5134	Умный обезьян.генерал
5141	Хитрая рядовая обезьяна
5142	Хитрая меткая обезьяна
5143	Хитрая боевая обезьяна
5144	Хитрый обезьян.генерал
5145	Хитрая камен.обезьяна
5146	Хитрый обезьяний вожак
5151	Злобная рядовая обезьяна
5152	Злобная меткая обезьяна
5153	Злобная боевая обезьяна
5154	Злобный обезьян.генерал
5155	Злобн.камен.обезьяна
5156	Злобная золотая обезьяна
5157	Злобн.обезьян.вожак
5161	Горная обезьяна
5162	Идущая обезьяна
5163	Обезьяний лорд
