VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
101	??	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	20	24	126	6	7	18	27	15	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
102	??	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	23	28	162	6	7	23	34	39	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
103	????	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	25	30	182	6	7	25	38	51	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
104	????	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	25	38	225	6	7	30	45	75	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
105	?? ????	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	297	6	7	37	56	111	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
106	????	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	40	49	412	6	7	47	70	159	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
107	?? ????	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	614	6	12	80	120	234	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0							0	0	0	0	0
108	???	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	30	37	248	6	7	32	49	87	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
109	?? ???	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	389	3	7	56	84	148	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0							0	0	0	0	0
110	?	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	39	47	381	6	7	44	67	147	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
111	???	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	44	53	572	6	7	76	114	220	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0							0	0	0	0	0
112	???	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	50	62	624	6	7	61	92	385	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
113	??	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	54	66	845	6	12	100	150	510	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0							0	0	0	0	0
114	???	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	49	60	585	6	12	59	88	365	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0
115	??	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1007	10	22	112	168	582	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0							0	0	0	0	0
131	???? ??	KNIGHT	MONSTER	MELEE	8		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	32	39	435	6	7	60	91	198	12	100	120	100	2000	175	30028	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0							0	0	0	0	0
